       T1      T2     T3       T4       T5       T6     T7       T8       T9       T10      T11      T12      T13     T14      T15    T16      T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27      T28      T29     T30      T31      T32    T33      T34      T35      T36    T37      T38       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  -----  -------  -------  -------  -------  -------  -------  ------  -------  -----  -------  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     8     48.5495  -        -        -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             50.9311            4              100
T2     8     64.1128  11.1014  -        -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             73.4939            6              100
T3     8     68.1128  19.8509  0.7206   -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             105.925            7              100
T4     8     65.8304  18.3182  69.3333  6.2485   -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             75.5981            8              42
T5     0     68.8733  15.6902  69.3333  14.6715  0.0    -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             179.276           12              100
T6   0.5714  66.3304  13.1771  69.3333  18.5943  100.0  12.1252  -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             285.39             7              100
T7   1.2381  62.7048  12.617   63.3212  15.804   88.0   74.1654  4.0      -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             268.234           15              100
T8   1.2381  53.7048  13.3335  54.3044  5.9949   100.0  74.8383  64.0     68.0     -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             75.705             5              100
T9     0     67.2254  12.5823  73.0667  5.9949   100.0  72.7621  64.0     84.0     56.0     -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             212.877           13              48
T10    0     66.0825  13.2294  74.6667  2.1464   100.0  73.075   40.0     44.0     60.0     20.0     -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             62.4329            4              100
T11  0.5714  65.8652  15.7206  76.2667  5.0718   100.0  73.4254  44.0     44.0     60.0     52.0     32.0     -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             172.366            8              100
T12    0     65.3048  13.5231  76.2667  3.9289   100.0  68.4789  44.0     44.0     60.0     52.0     16.0     0.0     -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             67.2815            4              100
T13    0     67.3048  6.9117   76.2667  2.9988   100.0  64.4332  32.0     48.0     60.0     52.0     12.0     20.0    0.0      -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             97.8136            6              100
T14  1.7143  65.7414  13.8797  46.7262  11.5783  100.0  68.9293  64.0     72.0     60.0     76.0     20.0     12.0    17.0957  0.0    -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             282.975           15              100
T15  1.5429  65.3018  14.5053  65.5566  10.7566  92.0   69.456   64.0     72.0     60.0     76.0     24.0     20.0    21.6589  0.0    9.6      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             129.733            4              100
T16  1.2889  67.0081  11.6564  68.0     10.1645  92.0   71.4544  64.0     72.0     60.0     64.0     20.0     20.0    20.9946  0.0    44.0     80.0     -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             34.8906            4              100
T17  1.4603  65.8652  12.8033  66.6667  9.6881   100.0  70.8434  28.0     32.0     60.0     68.0     28.0     20.0    16.4312  0.0    44.0     80.0     36.0   -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             42.5268            4              100
T18    0     64.159   10.1054  68.8     5.5872   100.0  57.8236  52.0     36.0     60.0     68.0     24.0     20.0    15.0401  0.0    48.0     80.0     28.0   1.8645   -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             107.724            7              100
T19  0.6154  54.5101  10.6269  65.6     16.3818  100.0  48.0076  44.0     48.0     60.0     52.0     24.0     20.0    18.7848  0.0    40.0     80.0     28.0   29.5491  16.2076  -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             151.55            10              100
T20  0.7644  39.9459  18.768   22.303   13.3369  100.0  49.0435  48.0     76.0     60.0     48.0     32.0     1.7925  10.6093  0.0    36.0     80.0     24.0   21.9683  88.4436  54.0159  -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             234.914           12              100
T21  0.6678  43.1235  15.8496  23.9443  13.1198  100.0  49.5616  48.0     76.0     60.0     44.0     32.0     1.5509  10.4378  0.0    44.0     80.0     24.0   24.8146  82.38    100.0    7.4044   -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             54.0473            4              100
T22  0.8914  45.7923  17.0389  69.3333  15.5996  100.0  54.0986  40.0     44.2501  60.0     36.0     14.1709  4.3596  8.2323   0.0    44.0     22.2615  24.0   20.2465  78.6424  100.0    11.7664  12.4726  -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             123.819            7              100
T23  0.8914  53.0857  14.3601  69.3333  15.1788  100.0  47.3548  40.0     39.8014  62.6667  36.0     2.927    2.3596  7.2983   0.0    48.0     17.4419  28.0   19.353   73.6878  100.0    11.3444  14.5383  22.2105  -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             90.6184            5              100
T24  0.8914  63.7238  14.2865  69.3333  16.854   96.0   51.2665  36.0     56.8889  60.0     36.0     5.927    12.0    7.6267   0.0    44.0     24.9617  24.0   23.6798  71.8077  100.0    12.9375  13.1703  28.7758  20.6359  -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             36.8191            4              100
T25  0.8914  29.8938  17.305   69.3333  14.3589  96.0   41.4568  40.0     72.0     60.0     36.0     16.0     12.0    8.7274   0.0    48.0     76.1231  0.0    17.6163  72.8868  100.0    11.2897  11.8381  25.2164  47.1149  15.1275  -        -        -       -        -        -      -        -        -        -      -        -               0                0             220.655           11              100
T26    0     46.6951  16.4159  69.3333  14.4793  64.0   41.906   40.0     42.8571  60.0     44.0     2.2381   1.4162  11.3243  0.0    36.0     60.8556  24.0   13.155   61.637   100.0    11.93    15.9128  22.6643  37.5683  14.6025  13.3752  -        -       -        -        -      -        -        -        -      -        -               0                0             143.72             8              100
T27    0     49.4411  13.8898  67.8095  14.9846  0.0    34.5071  40.5714  56.6606  11.9349  43.0476  4.6055   0.7734  11.4192  0.0    16.4706  10.0368  28.0   15.5641  26.2354  100.0    10.9205  10.6015  20.6797  23.2657  12.8791  13.5876  32.6667  -       -        -        -      -        -        -        -      -        -               0                0             217.897           12              100
T28  0.5714  54.7695  15.7836  56.7753  14.1273  100.0  46.727   40.0     68.0     60.0     44.0     16.0     0.7273  7.6271   0.0    44.0     80.0     24.0   13.7923  22.0307  100.0    10.7929  12.2748  22.2661  23.6262  13.2755  10.8526  40.0     3.4667  -        -        -      -        -        -        -      -        -               0                0             82.6747            6              100
T29  0.5714  58.5006  14.5633  68.0     15.3846  92.0   55.818   44.0     76.0     60.0     40.0     20.0     20.0    1.3889   0.0    44.0     80.0     24.0   16.6764  20.7463  100.0    8.1905   13.2667  26.2812  25.9705  13.7953  10.3866  40.0     3.8222  13.8608  -        -      -        -        -        -      -        -               0                0             59.4364            4              100
T30  0.5714  63.0443  15.8507  69.3333  13.7352  100.0  56.2946  40.0     48.0     60.0     40.0     20.0     20.0    5.5841   0.0    44.0     80.0     8.0    12.3158  43.466   100.0    12.5701  13.0916  19.498   27.2947  17.8122  10.786   32.0     3.7333  15.951   6.6667   -      -        -        -        -      -        -               0                0             91.6362            6              100
