       T1      T2     T3       T4       T5       T6     T7       T8       T9       T10      T11      T12      T13     T14      T15    T16      T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27      T28      T29     T30      T31      T32    T33      T34      T35      T36    T37      T38       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  -----  -------  -------  -------  -------  -------  -------  ------  -------  -----  -------  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     8     47.9341  -        -        -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             50.9311            4              100
T2     8     63.4462  8.4522   -        -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             73.4939            6              100
T3     8     65.4462  13.7045  0.4853   -        -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             105.925            7              100
T4     8     61.8817  13.055   69.3333  5.5151   -      -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             75.5981            8              42
T5     0     66.2579  11.9672  69.3333  13.4148  0.0    -        -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             179.276           12              100
T6   0.5714  63.715   10.1132  69.3333  16.7336  100.0  12.1252  -        -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             285.39             7              100
T7   1.2381   60.8    8.8076   63.3212  14.6919  88.0   71.6831  4.0      -        -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             268.234           15              100
T8   1.2381   51.8    10.3726  54.3044  5.719    100.0  73.3091  64.0     68.0     -        -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             75.705             5              100
T9     0     65.3206  9.7174   73.0667  5.719    100.0  72.3812  64.0     84.0     56.0     -        -        -       -        -      -        -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -      -        -               0                0             212.877           13              48
