       T1      T2     T3       T4       T5       T6      T7       T8       T9      T10    T11      T12    T13    T14      T15    T16     T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27      T28    T29     T30      T31      T32    T33      T34      T35      T36      T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ------  -------  -------  ------  -----  -------  -----  -----  -------  -----  ------  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  ------  -------  -------  -----  -------  -------  -------  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     0     64.5636  -        -        -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             37.9061            4              100
T2     0     62.584   14.6486  -        -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             47.9288            5              100
T3     0     67.3758  17.965   66.6667  -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             73.4697            5              100
T4     0     67.3758  20.6634  68.0     10.8085  -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             60.2713            6              42
T5     0     67.7604  15.3556  66.6667  18.6127  9.3333  -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             55.7661            6              100
T6     0     65.6382  17.9778  68.0     15.8193  100.0   3.4256   -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             65.9521            5              100
T7     0     64.9019  14.0953  66.6667  14.7731  60.0    73.9077  36.0     -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             164.451           15              100
T8     0     65.0045  13.4094  66.6667  11.2101  72.0    73.7298  60.0     68.0    -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             65.7086            4              100
T9     0     64.0045  16.2096  68.2667  11.0984  52.0    75.0706  36.0     96.0    60.0   -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             307.63            15              48
T10    0     64.0045  15.7183  68.8     9.7651   48.0    74.3342  36.0     96.0    60.0   16.0     -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -        -      -             0                0             53.9911            4              100
