       T1      T2     T3       T4       T5       T6      T7       T8       T9      T10    T11      T12    T13    T14      T15    T16     T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27     T28    T29     T30      T31      T32    T33      T34      T35      T36      T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ------  -------  -------  ------  -----  -------  -----  -----  -------  -----  ------  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  ------  -----  ------  -------  -------  -----  -------  -------  -------  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     0     64.5636  -        -        -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             37.9061            4              100
T2     0     61.3972  10.6093  -        -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             47.9288            5              100
T3     0     66.189   11.8433  66.6667  -        -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             73.4697            5              100
T4     0     66.189   13.495   68.0     9.8152   -       -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             60.2713            6              42
T5     0     66.5736  10.9502  66.6667  16.7356  9.3333  -        -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             55.7661            6              100
T6     0     62.2847  11.7229  68.0     13.7192  100.0   3.2802   -        -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             65.9521            5              100
T7     0     63.6638  9.9254   66.6667  13.0196  60.0    73.9077  36.0     -       -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             164.451           15              100
T8     0     63.7664  9.8338   66.6667  10.1546  72.0    73.7298  60.0     68.0    -      -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             65.7086            4              100
T9     0     62.7664  11.4747  68.2667  10.4429  52.0    74.2706  36.0     96.0    60.0   -        -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             307.63            15              48
T10    0     62.7664  11.0171  68.8     9.1096   48.0    74.3342  36.0     96.0    60.0   16.0     -      -      -        -      -       -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -        -      -             0                0             53.9911            4              100
