       T1      T2     T3       T4       T5       T6    T7       T8       T9     T10    T11    T12      T13     T14      T15    T16    T17      T18      T19      T20      T21      T22      T23      T24      T25      T26      T27      T28      T29     T30      T31     T32    T33      T34      T35      T36      T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ----  -------  -------  -----  -----  -----  -------  ------  -------  -----  -----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  ------  -----  -------  -------  -------  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1   0.1867   4.433   -        -        -        -     -        -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             46.4249            4              100
T2     0     62.6779  14.0963  -        -        -     -        -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             81.5085            7              100
T3     0     61.6779  12.9576  64.0     -        -     -        -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             40.6251            4              100
T4     0     59.8674  13.5034  69.3333  7.1795   -     -        -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             51.062             5              42
T5     0     61.3636  11.814   68.0     11.4558  4.0   -        -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             106.658            6              100
T6     0     64.9754  13.7375  68.0     10.3206  52.0  11.806   -        -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             43.3918            4              100
T7     0     60.4842  9.9915   69.3333  10.12    60.0  58.8572  36.0     -      -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             430.353           15              100
T8     0     67.6177  7.7064   76.8     2.4101   84.0  54.525   60.0     68.0   -      -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             126.816            9              100
T9   0.5714  59.5247  5.0858   76.8     2.775    84.0  30.9196  36.0     84.0   60.0   -      -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             82.1912            7              48
T10  0.5714  59.5247  5.2233   76.8     1.475    72.0  28.4539  36.0     44.0   60.0   8.0    -        -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             52.6457            4              100
T11  0.5714  50.3388  7.2592   76.8     10.4133  8.0   31.9118  64.0     72.0   40.0   36.0   8.0      -       -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             178.823           12              100
T12    0     50.0958  4.4486   76.8     8.3672   56.0  21.0065  60.0     80.0   44.0   32.0   16.0     0.0     -        -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             62.0094            4              100
T13  0.5714  51.0938  4.8312   76.8     8.517    64.0  21.6005  60.0     96.0   60.0   28.0   8.0      20.0    11.624   -      -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             66.342             4              100
T14  0.5714  48.0606  9.7559   69.3333  9.5888   40.0  62.0332  60.0     88.0   52.0   24.0   8.0      0.5071  13.7218  0.0    -      -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             137.723            7              100
T15  0.5714  48.0606  9.7336   69.3333  9.4561   40.0  60.6604  60.0     84.0   44.0   32.0   8.0      0.6563  13.5593  0.0    32.0   -        -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             467.538            4              100
T16  0.5714  47.013   4.4589   76.8     10.2928  12.0  36.094   60.0     68.0   48.0   28.0   4.0      0.0     15.3659  0.0    36.0   80.0     -        -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             61.4655            7              100
T17  0.5714  50.5758  3.7912   76.8     6.1134   32.0  27.6274  36.0     32.0   60.0   16.0   8.0      4.0     16.0034  0.0    20.0   80.0     4.0      -        -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             32.5028            4              100
T18  0.5714  50.5887  3.7912   76.8     5.1867   44.0  21.2732  36.0     32.0   60.0   16.0   8.0      8.0     16.9469  0.0    20.0   80.0     36.0     4.6039   -        -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             35.2964            4              100
T19  0.5714  53.4372  3.4114   76.8     8.7518   40.0  23.2005  40.0     100.0  60.0   20.0   8.0      20.0    15.955   0.0    16.0   80.0     36.0     18.7297  4.9384   -        -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             44.1221            5              100
T20  0.5714  55.7858  10.5463  11.7607  6.0665   24.0  59.9603  40.0     72.0   60.0   20.0   4.0      12.16   12.924   0.0    20.0   80.0     28.0     21.924   89.4267  11.8569  -        -        -        -        -        -        -        -       -        -       -      -        -        -        -        -      -             0                0             153.095           15              100
