       T1      T2     T3       T4       T5       T6    T7       T8       T9       T10      T11     T12      T13     T14      T15    T16     T17      T18      T19      T20      T21      T22      T23      T24      T25      T26      T27      T28    T29     T30      T31      T32    T33      T34      T35      T36     T37     T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ----  -------  -------  -------  -------  ------  -------  ------  -------  -----  ------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  ------  -------  -------  -----  -------  -------  -------  ------  ------  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1   0.086   3.6189   -        -        -        -     -        -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             50.4212            4              100
T2   0.5714  66.6414  15.3735  -        -        -     -        -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             103.823           10              100
T3   0.8914  65.6998  13.1327  5.2526   -        -     -        -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             86.8504            7              100
T4     0     59.5065  11.2215  69.3333  4.0829   -     -        -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             157.801           15              42
T5   0.6154  65.9021  9.9442   70.6667  12.3549  0.0   -        -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             308.218           12              100
T6   0.6154  65.9021  10.0277  69.3333  11.8264  0.0   0.0      -        -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             43.3838            4              100
T7   0.5714  66.854   9.0009   0.0      15.4685  0.0   71.1741  0.0      -        -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             266.638           15              100
T8     0     57.7087  6.8248   52.0     0.7273   0.0   59.2271  64.0     60.0     -        -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             85.456             7              100
T9     0     47.6706  1.9053   56.0     0.0      0.0   59.1711  64.0     80.0     60.0     -       -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             58.9072            4              48
T10    0     4.5714   1.5747   0.0      0.0      0.0   49.9346  36.0     32.0     60.0     0.0     -        -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             55.3975            4              100
T11    0     23.8603  1.7306   64.0     0.0      0.0   61.0371  48.0     52.0     60.0     0.0     0.0      -       -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             66.0145            4              100
T12    0     44.8984  2.4271   26.6667  0.0      0.0   49.9705  64.0     84.0     60.0     0.0     32.0     0.0     -        -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             64.2467            4              100
T13    0     12.2508  1.339    0.0      0.0      0.0   4.2693   16.0     0.0      0.0      0.0     44.0     20.0    0.0      -      -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             177.047           10              100
T14    0     65.2176  8.3628   0.0      9.8593   0.0   56.5942  9.3333   3.5817   7.0476   0.0     28.6154  0.4444  17.3441  0.0    -       -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             216.379           13              100
T15    0     62.4125  5.4001   0.0      7.0084   0.0   48.6563  9.3333   3.5817   2.6667   1.4545  25.086   0.0     15.8811  0.0    0.0     -        -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             111.441            4              100
T16    0     66.2842  1.696    0.0      0.0      0.0   47.317   14.6667  0.0      0.0      0.7273  32.0     20.0    16.1439  0.0    0.0     3.1111   -        -        -        -        -        -        -        -        -        -        -      -       -        -        -      -        -        -        -       -       -             0                0             33.8029            4              100
