       T1      T2   T3       T4       T5       T6      T7       T8       T9       T10      T11      T12      T13      T14    T15      T16    T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  ----  -------  -------  -------  ------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -----  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     48      26   -        -        -        -       -        -        -        -        -        -        -        -      -        -      -        -      -               0                0             79.5047            7              10
T2     50      16   25.9839  -        -        -       -        -        -        -        -        -        -        -      -        -      -        -      -               0                0             48.1846            5              10
T3     50      16   26.452   18.6967  -        -       -        -        -        -        -        -        -        -      -        -      -        -      -               0                0             36.8378            4              10
T4     54      22   24.1454  21.6058  14.0287  -       -        -        -        -        -        -        -        -      -        -      -        -      -               0                0             165.401           15              10
T5     54      22   24.3646  20.887   15.0611  8.2167  -        -        -        -        -        -        -        -      -        -      -        -      -               0                0             47.9115            5              10
T6     54      26   24.8408  20.72    14.6308  7.9114  15.8545  -        -        -        -        -        -        -      -        -      -        -      -               0                0             51.2552            4              10
T7     54      24   24.8103  20.9122  15.5031  7.1222  17.2578  19.3333  -        -        -        -        -        -      -        -      -        -      -               0                0             88.6493            5              10
T8     50      16   24.4628  20.9258  16.4434  7.1813  15.4885  48.0     1.6116   -        -        -        -        -      -        -      -        -      -               0                0             307.582            6              10
T9     48      24   25.7453  20.8035  13.8356  9.6724  18.1552  46.0     76.2376  10.2209  -        -        -        -      -        -      -        -      -               0                0             190.47            15              10
T10  52.0702   36   25.367   18.9657  8.7659   7.7868  16.8343  42.0     74.5014  17.6473  14.5111  -        -        -      -        -      -        -      -               0                0             82.7533            8              10
T11    52      34   25.6842  19.0567  10.4333  7.7045  17.5501  42.0     70.5979  17.0758  38.0     8.9444   -        -      -        -      -        -      -               0                0             159.693           14              10
T12    50      28   23.7024  16.5381  12.6762  7.7092  20.3033  46.0     69.8809  16.9001  40.0     9.9097   12.8876  -      -        -      -        -      -               0                0             162.689           10              10
T13  50.1739   34   25.8798  17.4539  9.282    7.895   19.4303  42.0     67.8336  12.6932  38.0     11.4192  12.0309  32.0   -        -      -        -      -               0                0             137.334           11              10
T14    50      32   26.0027  20.6374  16.5807  9.3247  21.0233  40.0     66.4247  14.7953  38.0     10.9135  12.5381  58.0   35.3616  -      -        -      -               0                0             136.534           10              10
T15    50      32   24.5446  19.6103  13.7892  8.6142  19.0965  42.0     67.9562  17.3007  38.0     11.3784  13.0822  58.0   38.049   2.0    -        -      -               0                0             72.5164            6              10
T16    48      36   24.4304  20.3582  16.0572  8.5902  19.1463  46.0     66.0672  14.9488  38.0     11.256   13.5012  56.0   37.8124  2.0    10.1507  -      -               0                0             35.314             4              10
T17    50      32   25.8608  17.7504  16.5184  7.9137  16.9414  42.0     67.5677  11.1782  36.0     11.6205  13.1622  56.0   37.0738  2.0    11.1283  78.0   -               0                0             79.509             6              10
T18    50      32   25.8608  18.2786  16.3653  7.9184  16.6577  42.0     68.3263  10.9779  38.0     11.424   13.1622  58.0   37.0476  2.0    10.4013  70.0   40.3333         0                0             49.3237            4              10
T19    46      18   24.0494  19.6537  16.0072  8.3552  18.9431  46.0     68.5267  10.3804  32.0     7.1457   12.0357  60.0   39.965   2.0    9.0172   70.0   67.0         36.0693          43.3263          170.418            8              10
