       T1       T2     T3       T4       T5       T6       T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     46       32     -        -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.9679          42.9838          41.9797            4              100
T2     46       18     28.9564  -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.1782          42.5817          60.7142            6              100
T3     46       22     28.2821  18.6967  -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          36.4317          43.1399          42.8597            5              100
T4     44       22     25.263   30.4496  12.1541  -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.715           41.3795          86.4719           10              100
T5     46       18     24.6473  28.9581  19.0687  9.4029   -        -        -        -        -       -        -        -      -        -      -        -      -          34.646           39.9513          62.3711            4              100
T6     46     30.0435  23.0689  24.6809  14.169   11.7589  7.6754   -        -        -        -       -        -        -      -        -      -        -      -          29.4683          37.2009          162.961           15              58
T7     46       16     24.2542  24.7404  11.4928  10.8529  30.6831  10.0622  -        -        -       -        -        -      -        -      -        -      -          31.4847          36.9895          80.4976            6              100
T8     46       14     23.1594  24.3617  12.7174  9.0022   30.768   48.0     38.4962  -        -       -        -        -      -        -      -        -      -          34.6357          39.2259          49.6025            4              100
T9   38.2669    26     24.7519  21.6601  11.6128  12.2644  31.5056  48.0     91.5602  17.61    -       -        -        -      -        -      -        -      -          25.3038          30.3796          161.896           15              100
T10    48       26     25.2735  26.4426  11.1005  10.5393  36.7131  48.0     88.233   16.6124  0.8008  -        -        -      -        -      -        -      -           27.86           33.2512          37.1584            4              100
T11    50       28     23.591   26.0279  19.004   9.2852   34.8737  48.0     84.8597  11.9476  30.0    12.0296  -        -      -        -      -        -      -          34.6702          39.0325          85.2022            7              100
T12    50       34     22.5647  25.3947  19.2338  9.5379   33.2572  48.0     87.8522  8.7873   26.0    15.6412  15.7316  -      -        -      -        -      -          33.844           36.7913          43.766             5              78
T13    52       32     24.7273  20.9148  13.4556  13.2172  27.781   20.0     75.2955  7.2394   30.0    14.4107  12.7719  38.0   -        -      -        -      -          31.939           36.1324          76.7266            7              100
T14    46       32     24.5953  18.6967  14.1458  9.64     32.4946  24.0     52.3619  7.5045   16.0    12.0127  14.2096  62.0   30.863   -      -        -      -          33.6773          39.1727          50.1897            5              100
T15    46       28     26.2068  17.8443  16.3135  13.2782  28.806   48.0     55.4094  12.0011  16.0    16.4278  14.0916  62.0   45.3046  0.0    -        -      -          34.317           39.6547          59.5834            7              82
T16    46       34     26.8345  17.911   18.5394  9.386    27.902   48.0     53.7443  9.0704   18.0    13.2813  14.6311  60.0   51.4263  0.0    9.8569   -      -          36.3544          39.764           44.6546            4              100
T17    46       32     28.2521  15.7321  17.9509  8.0585   28.3032  6.5714   77.96    8.7814   28.0    13.946   13.9329  62.0   49.5677  0.0    18.6081  24.0   -          36.6442          40.3374          95.8337           10              100
T18    46       32     27.2662  5.7938   17.0568  7.7207   23.2449  6.0      71.2608  11.3262  20.0    12.3826  14.8117  40.0   49.7264  0.0    15.8865  76.0   41.0       36.1857          38.296           34.3945            4              100
T19    46       30     27.3397  11.1524  21.4074  8.4703   23.8067  34.0     73.0101  14.6291  32.0    10.3336  14.3019  40.0   50.7959  0.0    19.6199  76.0   100.0      35.6752          38.5634          88.3195            9              100
