       T1       T2     T3       T4       T5       T6       T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     46       32     -        -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          35.3132          42.6047          41.9797            4              100
T2     46       18     27.6025  -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.6004          42.1957          60.7142            6              100
T3     46       22     28.2821  18.6967  -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          35.6262          42.7511          42.8597            5              100
T4     44       22     24.4549  29.3982  12.1541  -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.9201          40.9123          86.4719           10              100
T5     46       18     23.6426  27.8047  18.1603  8.2186   -        -       -        -        -       -        -        -      -        -      -        -      -          33.7583          39.499           62.3711            4              100
T6     46     30.0435  22.8689  22.7832  12.9522  10.4168  7.5642   -       -        -        -       -        -        -      -        -      -        -      -          28.504           36.8019          162.961           15              58
T7     46       16     23.8337  23.5358  10.6216  8.5194   30.3273  9.5192  -        -        -       -        -        -      -        -      -        -      -          30.3711          36.5688          80.4976            6              100
T8     46       14     22.8927  23.2547  11.5385  7.4381   30.2585  48.0    37.2998  -        -       -        -        -      -        -      -        -      -          33.5961          38.815           49.6025            4              100
T9   38.2669    26     24.4792  20.9072  11.332   8.9672   30.8711  48.0    91.5602  15.8739  -       -        -        -      -        -      -        -      -          24.1073          29.8428          161.896           15              100
T10    48       26     24.3846  25.1717  10.5842  7.9287   36.0785  48.0    88.1514  14.9679  0.8008  -        -        -      -        -      -        -      -          26.7188          32.7578          37.1584            4              100
T11    50       28     23.3244  25.1156  18.6037  7.3307   34.5331  48.0    84.778   9.7046   30.0    9.9072   -        -      -        -      -        -      -          33.7915          38.564           85.2022            7              100
T12    50       34     22.0314  24.4859  18.8335  7.7403   32.8113  48.0    87.7314  7.8369   26.0    13.5177  14.8092  -      -        -      -        -      -          32.9116          36.3834          43.766             5              78
T13    52       32     24.1529  19.5652  12.8241  12.3177  27.2865  20.0    74.4269  6.2359   30.0    12.9762  12.5366  38.0   -        -      -        -      -          30.9079           35.81           76.7266            7              100
T14    46       32     24.021   18.6967  12.8001  8.4958   31.9002  24.0    51.7286  6.5025   16.0    10.8687  14.2096  62.0   29.833   -      -        -      -          32.8431          38.7907          50.1897            5              100
T15    46       28     25.4219  17.8443  15.317   11.9403  28.3182  48.0    55.2428  10.7119  16.0    14.31    13.7716  62.0   44.1914  0.0    -        -      -          33.2032          39.2793          59.5834            7              82
T16    46       34     25.7419  17.911   17.8049  8.493    27.5742  48.0    53.172   7.8745   18.0    11.6741  14.2301  60.0   50.2871  0.0    9.1993   -      -          35.2877          39.3812          44.6546            4              100
T17    46       32     26.3405  15.3497  17.3282  7.5742   27.5064  6.5714  77.6125  6.9821   28.0    12.7775  13.4871  62.0   47.7461  0.0    17.9442  24.0   -          35.5398          39.9752          95.8337           10              100
T18    46       32     25.3546  5.7938   16.5632  7.2354   23.071   6.0     71.0615  8.7945   20.0    11.4109  13.9063  40.0   47.9048  0.0    15.1075  76.0   41.0       35.0485          37.9154          34.3945            4              100
T19    46       30     25.9447  11.1524  20.5915  7.8714   23.4661  34.0    72.4977  11.6235  32.0    9.6052   13.3966  40.0   49.4711  0.0    18.6694  76.0   100.0      34.534           38.1963          88.3195            9              100
