      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    52    30   -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             61.2965            6              20
T2    52    18   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             40.8781            4              20
T3    52    18   0.0   8.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             79.9181            8              20
T4    54    32   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             167.476           15              20
T5    52    30   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             54.8882            4              20
T6    50    32   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -             0                0             34.4367            4              20
T7    48    30   0.0   0.0   0.0   0.0   20.0  14.0  -     -      -      -      -      -      -      -      -      -      -             0                0             391.672           10              20
T8    50    20   0.0   0.0   0.0   0.0   20.0  44.0  4.0   -      -      -      -      -      -      -      -      -      -             0                0             39.0148            4              20
T9    50    32   0.0   0.0   0.0   0.0   14.0  34.0  32.0  0.0    -      -      -      -      -      -      -      -      -             0                0             106.114            9              20
T10   60    36   0.0   0.0   0.0   0.0   16.0  14.0  32.0  0.0    12.0   -      -      -      -      -      -      -      -             0                0             87.5944            6              20
T11   50    30   0.0   0.0   0.0   0.0   22.0  24.0  24.0  0.0    44.0   0.0    -      -      -      -      -      -      -             0                0             153.579           11              20
T12   48    30   0.0   0.0   0.0   0.0   18.0  16.0  22.0  0.0    42.0   0.0    0.0    -      -      -      -      -      -             0                0             77.6209            7              20
T13   46    30   0.0   0.0   0.0   0.0   18.0  14.0  22.0  0.0    40.0   0.0    0.0    34.0   -      -      -      -      -             0                0             58.236             4              20
T14   54    30   0.0   8.0   0.0   0.0   18.0  14.0  24.0  0.0    34.0   0.0    0.0    62.0   0.0    -      -      -      -             0                0             178.548            9              20
T15   50    30   0.0   8.0   0.0   0.0   20.0  22.0  24.0  0.0    28.0   0.0    0.0    60.0   4.0    0.0    -      -      -             0                0             92.4633            7              20
T16   48    30   0.0   8.0   0.0   0.0   22.0  24.0  24.0  0.0    34.0   0.0    0.0    66.0   4.0    0.0    2.0    -      -             0                0             81.3858            4              20
T17   50    30   0.0   6.0   0.0   0.0   22.0  22.0  26.0  0.0    30.0   0.0    0.0    64.0   4.0    0.0    0.0    66.0   -             0                0             29.8765            4              20
T18   50    32   0.0   8.0   0.0   0.0   22.0  22.0  24.0  0.0    32.0   0.0    0.0    42.0   4.0    0.0    0.0    76.0   10.0          0                0             30.0716            4              20
T19   48    30   0.0   8.0   0.0   0.0   22.0  18.0  26.0  0.0    34.0   0.0    0.0    42.0   4.0    0.0    0.0    76.0   54.0       22.6555           30.64           60.7869            4              20
