       T1      T2   T3       T4       T5       T6       T7       T8       T9       T10      T11      T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     52      30   -        -        -        -        -        -        -        -        -        -        -        -      -        -      -        -      -             0                0             61.2965            6              20
T2     52      18   28.0892  -        -        -        -        -        -        -        -        -        -        -      -        -      -        -      -             0                0             40.8781            4              20
T3     52      18   27.8094  18.6967  -        -        -        -        -        -        -        -        -        -      -        -      -        -      -             0                0             79.9181            8              20
T4     54      32   26.0374  28.2634  13.7216  -        -        -        -        -        -        -        -        -      -        -      -        -      -             0                0             167.476           15              20
T5   52.1212   30   25.9004  28.5302  18.4291  8.6736   -        -        -        -        -        -        -        -      -        -      -        -      -             0                0             54.8882            4              20
T6     50      32   26.1247  29.458   17.6734  8.6553   14.9631  -        -        -        -        -        -        -      -        -      -        -      -             0                0             34.4367            4              20
T7   48.3825   30   29.1799  29.4481  17.7488  10.0654  33.5946  17.889   -        -        -        -        -        -      -        -      -        -      -             0                0             391.672           10              20
T8   50.0625   20   27.9929  28.9579  17.4484  10.4219  30.2921  44.0     46.2189  -        -        -        -        -      -        -      -        -      -             0                0             39.0148            4              20
T9   50.3125   32   28.1356  28.8246  14.4888  9.2067   25.3806  34.5081  75.0703  15.4958  -        -        -        -      -        -      -        -      -             0                0             106.114            9              20
T10    60      36   28.6584  29.1807  14.279   9.7586   29.6257  17.7901  74.9744  14.9769  15.0444  -        -        -      -        -      -        -      -             0                0             87.5944            6              20
T11    50      30   29.3835  30.104   10.7842  8.5485   30.7497  24.0     71.6686  14.1209  44.0     14.1065  -        -      -        -      -        -      -             0                0             153.579           11              20
T12  48.1176   30   27.93    30.0079  11.7859  8.2414   27.8596  16.0     68.7196  12.8827  42.0     14.9221  15.675   -      -        -      -        -      -             0                0             77.6209            7              20
T13  46.1603   30   28.0712  30.5608  10.8712  8.5823   27.872   15.3333  69.1438  13.6277  40.0     14.6744  16.1902  34.0   -        -      -        -      -             0                0             58.236             4              20
T14    54      30   28.0249  18.6967  5.7629   7.8643   26.3314  14.0     55.8284  14.4955  34.0     11.8417  14.5912  62.0   37.2418  -      -        -      -             0                0             178.548            9              20
T15    50      30   27.5167  20.4673  8.4342   8.9649   27.7956  22.0     52.5378  17.1699  28.0     13.2941  15.4041  60.0   37.5391  0.0    -        -      -             0                0             92.4633            7              20
T16    48      30   27.5357  19.53    2.5647   8.4736   29.293   24.0     53.6105  17.3218  34.0     12.1894  15.7177  66.0   38.8342  0.0    13.1683  -      -             0                0             81.3858            4              20
T17    50      30   26.498   19.5842  11.0295  8.5665   29.5006  22.0     58.8164  17.664   30.0     14.6897  15.3995  64.0   39.1348  0.0    11.9315  66.0   -             0                0             29.8765            4              20
T18    50      32   26.4541  18.6967  2.0192   9.0232   30.9361  22.0     52.5423  15.5599  32.0     12.1146  15.5468  42.0   38.6205  0.0    11.0007  76.0   42.0          0                0             30.0716            4              20
T19    48      30   26.5476  18.6967  9.4355   8.6895   32.0058  18.0     55.3044  13.3272  34.0     12.8045  15.8809  42.0   38.2577  0.0    10.7747  76.0   58.0       36.9103          41.3553          60.7869            4              20
