       T1       T2     T3       T4       T5       T6       T7       T8      T9       T10      T11    T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     46       26     -        -        -        -        -        -       -        -        -      -        -        -      -        -      -        -      -             0                0             59.2073            4              200
T2     46       16     28.0185  -        -        -        -        -       -        -        -      -        -        -      -        -      -        -      -             0                0             50.2986            5              200
T3     46       28     23.887   18.6967  -        -        -        -       -        -        -      -        -        -      -        -      -        -      -             0                0             49.3344            5              200
T4     44       30     26.3501  29.4919  11.8874  -        -        -       -        -        -      -        -        -      -        -      -        -      -             0                0             56.4145            5              200
T5     46     25.7016  27.8132  28.1334  22.1962  7.324    -        -       -        -        -      -        -        -      -        -      -        -      -             0                0             68.5794            6              200
T6     50     7.1102   22.6519  28.6355  19.4603  12.9285  7.9074   -       -        -        -      -        -        -      -        -      -        -      -             0                0             79.314             8              58
T7     44     19.1857  31.4145  29.2967  20.5878  10.7408  24.7739  6.3616  -        -        -      -        -        -      -        -      -        -      -             0                0             190.816           13              200
T8     46       18     30.1039  28.9886  20.3042  10.0625  25.1849  48.0    39.5396  -        -      -        -        -      -        -      -        -      -             0                0             156.128            4              200
T9   44.4031    30     27.9717  26.8599  15.6051  12.1518  28.8454  48.0    96.5259  16.1463  -      -        -        -      -        -      -        -      -             0                0             206.755           12              200
T10    46       30     24.6378  12.0561  15.1323  9.3349   27.1569  46.2    90.1006  19.702   1.197  -        -        -      -        -      -        -      -             0                0             104.963            7              200
T11    44       22     27.4321  7.9791   18.8456  9.9946   20.4211  38.0    69.0747  19.3983  92.0   11.4492  -        -      -        -      -        -      -             0                0              271.8            15              200
T12    50       22     25.8559  24.6714  14.5626  10.8026  23.9802  18.0    71.8122  12.5765  92.0   15.4393  15.3261  -      -        -      -        -      -             0                0             83.7753            5              78
T13    50     7.2264   25.4174  20.7228  16.2075  11.3602  21.1184  4.7683  52.4512  12.6088  90.0   14.5391  13.6972  0.0    -        -      -        -      -             0                0             214.062           10              200
T14    58       30     25.548   8.8195   14.2208  10.7017  24.8168  2.0     21.4024  11.2113  32.0   12.9808  16.2753  62.0   35.7007  -      -        -      -             0                0             87.649             4              200
T15    56      28.4    24.6543  20.2522  15.6647  8.3841   22.8713  6.0     33.097   15.2128  32.0   15.8091  15.6885  62.0   47.194   2.0    -        -      -             0                0             100.103            7              82
T16    46       32     27.4754  8.777    17.3985  7.8588   32.0366  18.0    37.6593  15.7183  32.0   14.9599  16.4785  58.0   52.2565  0.0    12.6902  -      -             0                0             54.0971            4              100
T17    52       32     26.503   13.5015  23.9652  7.3112   19.0572  0.5714  52.6586  15.5453  32.0   13.9124  14.3454  62.0   50.9017  0.0    16.2906  42.0   -             0                0             50.8206            5              200
T18    52       30     27.0126  5.3323   0.4444   6.1384   20.0189  10.0    36.8631  17.5752  32.0   3.1545   12.7708  40.0   52.0048  0.0    15.6851  82.0   42.0          0                0             104.509            8              200
T19    50     28.6667  26.998   13.352   23.2614  7.6295   21.8103  24.0    52.461   16.4962  34.0   3.1352   11.8353  40.0   52.0126  2.0    17.2126  86.0   100.0      32.6265          38.9947          110.644            7              200
