       T1      T2    T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17     T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  ------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1   1.7522  0.7807  -        -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             67.3578            5              10
T2   1.2833    14    5.8632   -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             158.433           15              10
T3   2.1435    14    26.0734  19.6015  -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             145.364           15              10
T4   2.2539    14    25.8577  16.4069  22.0729  -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             31.8103            4              10
T5   2.1435    14    27.0814  15.784   23.3063  4.0512   -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             244.757            9              10
T6   2.1435    14    25.3826  15.0168  23.7767  10.6751  17.0966  -        -        -        -      -        -        -      -        -      -       -      -             0                0             87.751             6              10
T7   2.1968    14    25.4322  10.8467  23.6988  10.5514  17.1667  14.169   -        -        -      -        -        -      -        -      -       -      -             0                0             70.9751            6              10
T8   2.1968    14    24.9741  10.4501  23.2387  10.2736  17.1667  14.6481  27.2841  -        -      -        -        -      -        -      -       -      -             0                0             70.0535            4              10
T9   2.0368    14    26.475   12.0148  23.2387  10.1593  17.1667  14.0023  19.378   11.6163  -      -        -        -      -        -      -       -      -             0                0             40.4405            4              10
T10  1.5568    14    27.2208  11.7556  23.6434  10.3467  17.1667  14.7036  20.9974  11.3499  24.0   -        -        -      -        -      -       -      -             0                0             45.3239            4              10
T11  1.8768    14    26.9963  10.7191  23.05    10.1705  17.1667  14.7036  18.9448  11.9653  24.0   4.9049   -        -      -        -      -       -      -             0                0             58.8658            5              10
T12  0.9206    14    25.6227  18.8765  21.968   9.3057   17.1667  11.0007  21.9023  12.462   24.0   11.9458  13.857   -      -        -      -       -      -             0                0             228.165           13              10
T13  0.5191    14    25.2621  18.6679  21.732   9.1792   18.2756  7.3942   26.7704  13.9788  24.0   13.3719  15.2957  32.0   -        -      -       -      -             0                0             101.473            6              10
T14  0.6791    14    25.2621  16.6066  21.204   9.6635   18.1601  7.4895   25.4649  14.0126  24.0   13.6443  15.2824  32.0   19.9647  -      -       -      -             0                0             57.2362            4              10
T15  0.5191    14    25.2576  18.1488  18.2863  10.1736  14.1797  9.155    20.8774  10.3014  24.0   14.2347  15.8972  32.0   36.9329  2.0    -       -      -             0                0             241.252           15              10
T16  0.7216    14    24.5945  15.5468  19.8788  10.5449  14.4463  14.6941  19.3474  10.6509  24.0   13.2128  14.7008  32.0   41.1008  28.0   9.1645  -      -             0                0             65.9287            5              10
T17  0.6971    14    25.0141  17.0573  20.2854  10.4966  13.9606  14.9941  19.8351  9.9635   24.0   13.8494  14.4175  32.0   40.4272  30.0   9.9823  60.0   -             0                0             48.4747            4              10
T18  0.7216    14    25.0141  10.6058  22.159   10.5565  13.3005  14.6512  19.8678  10.3427  24.0   13.4817  13.9797  32.0   41.4086  36.0   9.3176  76.0   45.0          0                0             59.4972            4              10
T19  0.8816    14    24.3723  10.0854  21.6257  10.8522  11.9625  14.8509  24.6863  11.2568  24.0   14.143   13.0604  32.0   39.9122  50.0   9.8942  76.0   45.0       29.8867          26.1865          42.0377            4              10
