       T1      T2    T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17     T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  ------  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1   1.7522  0.7807  -        -        -        -       -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             67.3578            5              10
T2   1.2833    14    5.7419   -        -        -       -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             158.433           15              10
T3   2.1435    14    25.7206  18.5947  -        -       -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             145.364           15              10
T4   2.2539    14    25.5049  15.7279  20.9798  -       -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             31.8103            4              10
T5   2.1435    14    26.462   15.2022  22.2131  3.8845  -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             244.757            9              10
T6   2.1435    14    25.1187  14.4062  22.6836  9.4929  16.0877  -        -        -        -      -        -        -      -        -      -       -      -             0                0             87.751             6              10
T7   2.1968    14    25.0706  10.8467  22.6056  9.6124  16.1578  14.169   -        -        -      -        -        -      -        -      -       -      -             0                0             70.9751            6              10
T8   2.1968    14    24.6125  10.4501  22.1456  9.3347  16.1578  14.6481  25.25    -        -      -        -        -      -        -      -       -      -             0                0             70.0535            4              10
T9   2.0368    14    26.1134  11.861   22.1456  9.2752  16.1578  14.0023  17.8755  11.2354  -      -        -        -      -        -      -       -      -             0                0             40.4405            4              10
T10  1.5568    14    26.8592  11.6017  22.5502  9.3261  16.1578  14.7036  19.3521  10.7189  24.0   -        -        -      -        -      -       -      -             0                0             45.3239            4              10
T11  1.8768    14    26.6346  10.7191  21.9568  9.2047  16.1578  14.7036  17.302   11.0266  24.0   4.6944   -        -      -        -      -       -      -             0                0             58.8658            5              10
T12  0.9206    14    25.1278  18.0454  20.8205  8.1327  16.1578  10.7341  20.3635  11.9969  24.0   10.1718  13.2566  -      -        -      -       -      -             0                0             228.165           13              10
T13  0.5191    14    24.9005  17.8367  20.5846  8.0082  17.6146  7.1276   25.4485  13.3319  24.0   10.733   14.0564  32.0   -        -      -       -      -             0                0             101.473            6              10
T14  0.6791    14    24.9005  15.9293  20.2966  8.4926  17.4991  7.2228   24.1992  12.7435  24.0   11.0054  14.032   32.0   19.0606  -      -       -      -             0                0             57.2362            4              10
T15  0.5191    14    24.9276  17.3996  17.8184  8.8327  14.1797  8.1897   19.7593  9.2464   24.0   11.9781  14.2449  32.0   34.8959  2.0    -       -      -             0                0             241.252           15              10
T16  0.7216    14    24.2644  14.9715  19.1252  9.2963  14.4463  14.6941  18.4132  9.846    24.0   10.9563  14.0022  32.0   38.8476  28.0   8.9163  -      -             0                0             65.9287            5              10
T17  0.6971    14    24.684   16.3081  19.5318  9.0741  13.9606  14.7274  18.7654  9.0297   24.0   11.4447  13.7189  32.0   38.174   30.0   9.7342  60.0   -             0                0             48.4747            4              10
T18  0.7216    14    24.684   10.3896  21.1949  9.3079  13.3005  14.6512  18.8212  9.4089   24.0   10.8952  13.2812  32.0   39.4632  36.0   9.0694  76.0   45.0          0                0             59.4972            4              10
T19  0.8816    14    24.0422  9.8692   20.6615  9.6549  11.9625  14.8509  23.7348  10.4519  24.0   11.4232  12.6346  32.0   37.681   50.0   9.646   76.0   45.0       29.1912          25.7689          42.0377            4              10
