       T1      T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14      T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -------  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     46    0.6781   -        -        -        -        -        -        -        -        -      -        -        -        -        -      -        -      -             0                0             98.3915            7              100
T2     46      14     7.5751   -        -        -        -        -        -        -        -      -        -        -        -        -      -        -      -             0                0             39.6342            4              100
T3     46      14     27.2323  16.5886  -        -        -        -        -        -        -      -        -        -        -        -      -        -      -             0                0             49.738             5              100
T4     46      14     29.1412  29.681   6.8501   -        -        -        -        -        -      -        -        -        -        -      -        -      -             0                0             98.1433            9              100
T5     46      14     27.2451  28.8648  22.779   4.9716   -        -        -        -        -      -        -        -        -        -      -        -      -             0                0             76.5382            6              100
T6     46      14     27.043   28.5694  22.6009  9.0597   13.7652  -        -        -        -      -        -        -        -        -      -        -      -             0                0             41.0382            4              58
T7     46    12.0597  28.4407  27.3368  20.2278  9.7736   23.4343  6.4231   -        -        -      -        -        -        -        -      -        -      -             0                0             376.842           15              100
T8     46      14     28.5889  28.3825  20.7874  9.7736   22.9027  48.0     10.4002  -        -      -        -        -        -        -      -        -      -             0                0             68.4723            5              100
T9   6.1143    28     26.6045  24.9496  15.4371  9.3466   25.9095  46.0     75.3414  13.7041  -      -        -        -        -        -      -        -      -             0                0             135.011            9              100
T10  6.0645  0.9333   21.3356  10.562   7.946    6.9876   23.7503  6.7      77.3838  23.3401  10.0   -        -        -        -        -      -        -      -             0                0             142.868           10              100
T11    8     20.2667  20.6487  19.3555  15.4638  7.0089   25.5453  8.2      68.8362  21.3676  20.0   7.2753   -        -        -        -      -        -      -             0                0             79.6873            5              100
T12    8     5.2444   19.5413  16.591   15.802   7.2695   27.3148  4.0      75.2916  19.2577  24.0   12.0757  14.8491  -        -        -      -        -      -             0                0             49.8826            4              78
T13    40    4.6667   22.016   23.1292  8.1444   8.0634   25.3289  4.5182   51.3659  14.5064  16.0   12.3701  13.0084  20.5045  -        -      -        -      -             0                0             98.6458            6              100
T14    54      28     21.6308  18.6967  7.0898   10.4534  27.774   0.0      37.2437  9.006    24.0   8.822    13.3022  56.0     27.6682  -      -        -      -             0                0             71.2154            5              100
T15    52      26     21.7384  18.1967  1.3252   9.2357   30.0992  2.0      32.6834  9.1315   30.0   9.8325   14.4202  44.0     39.3717  4.0    -        -      -             0                0             76.4943            5              82
T16    46      14     22.2397  18.6967  15.2971  10.0936  26.064   2.7      35.7425  9.3801   14.0   6.1848   14.3377  30.0     44.2899  0.0    4.0      -      -             0                0             37.1898            4              100
T17    46      18     20.828   15.0717  18.025   9.226    30.5448  13.5541  43.0506  17.8008  14.0   10.1143  14.0792  42.0     46.421   0.0    17.578   24.0   -             0                0             126.41             9              100
T18    46      18     22.9632  5.3323   15.7272  10.2547  28.2902  15.2283  32.4304  17.9907  14.0   7.8949   13.2531  38.0     44.8782  0.0    20.2992  76.0   42.0          0                0             50.1597            4              100
T19    46      14     23.5761  10.1012  21.0002  9.9069   18.0518  15.6476  33.4054  15.7764  14.0   7.6411   13.6224  38.0     43.1618  2.0    17.4372  76.0   98.0       31.9208          30.3045          136.253            8              100
