      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    0     0    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             81.0496            5              20
T2    4     14   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             110.353            9              20
T3    0     14   0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             107.018           11              20
T4    0     14   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             152.998           15              20
T5    0     14   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             45.2506            4              20
T6    0     14   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -             0                0             257.809            6              20
T7    0     14   0.0   0.0   0.0   0.0   22.0  0.0   -     -      -      -      -      -      -      -      -      -      -             0                0             296.834           15              20
T8    4     14   0.0   0.0   0.0   0.0   18.0  48.0  0.0   -      -      -      -      -      -      -      -      -      -             0                0             114.517            8              20
T9    0     14   0.0   0.0   0.0   0.0   22.0  10.0  22.0  0.0    -      -      -      -      -      -      -      -      -             0                0             191.761           15              20
T10   0     18   0.0   0.0   0.0   0.0   20.0  2.0   22.0  0.0    18.0   -      -      -      -      -      -      -      -             0                0             59.929             4              20
T11   0     14   0.0   0.0   0.0   0.0   20.0  18.0  20.0  0.0    14.0   0.0    -      -      -      -      -      -      -             0                0             86.385             8              20
T12   0     16   0.0   0.0   0.0   0.0   12.0  0.0   12.0  0.0    18.0   0.0    0.0    -      -      -      -      -      -             0                0             242.454           15              20
T13   0     16   0.0   0.0   0.0   0.0   12.0  0.0   12.0  0.0    16.0   0.0    0.0    4.0    -      -      -      -      -             0                0             77.6783            5              20
T14   0     16   0.0   0.0   0.0   0.0   12.0  0.0   12.0  0.0    14.0   0.0    0.0    32.0   2.0    -      -      -      -             0                0             52.9278            4              20
T15   0     18   0.0   0.0   0.0   0.0   12.0  0.0   10.0  0.0    22.0   0.0    0.0    32.0   4.0    2.0    -      -      -             0                0             132.032           11              20
T16   0     14   0.0   0.0   0.0   0.0   14.0  0.0   12.0  0.0    20.0   0.0    0.0    32.0   4.0    2.0    0.0    -      -             0                0             58.9177            4              20
T17   0     18   0.0   0.0   0.0   0.0   12.0  0.0   10.0  0.0    20.0   0.0    0.0    32.0   4.0    2.0    0.0    6.0    -             0                0             69.3068            4              20
T18   0     14   0.0   0.0   0.0   0.0   12.0  0.0   10.0  0.0    20.0   0.0    0.0    32.0   4.0    6.0    0.0    74.0   20.0          0                0             33.5554            4              20
T19   0     14   0.0   2.0   0.0   0.0   12.0  0.0   18.0  0.0    20.0   0.0    0.0    32.0   2.0    44.0   0.0    76.0   88.0       19.1261           20.44           235.82            15              20
