       T1      T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   1.3054  0.7299   -        -        -        -        -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             81.0496            5              20
T2    4.76     14     5.8685   -        -        -        -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             110.353            9              20
T3   1.9339    14     31.5448  16.8438  -        -        -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             107.018           11              20
T4    0.64     14     31.9532  27.172   12.1773  -        -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             152.998           15              20
T5    0.96     14     32.4705  28.6524  23.5249  0.0      -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             45.2506            4              20
T6   2.0939    14     32.6643  25.6319  22.9589  11.1162  14.3682  -        -        -        -      -        -        -      -        -      -        -        -               0                0             257.809            6              20
T7   1.2956    14     29.8849  28.2548  21.0358  11.0487  32.1445  10.7561  -        -        -      -        -        -      -        -      -        -        -               0                0             296.834           15              20
T8   4.4368    14     30.828   28.7249  21.6985  11.0487  28.5621  48.4444  13.451   -        -      -        -        -      -        -      -        -        -               0                0             114.517            8              20
T9   0.4705    14     29.9867  27.8841  14.7307  11.3999  32.5698  15.9558  66.6005  12.5587  -      -        -        -      -        -      -        -        -               0                0             191.761           15              20
T10  1.626     18     29.5901  27.6413  11.793   11.4723  29.4514  7.9558   67.3524  13.5051  18.0   -        -        -      -        -      -        -        -               0                0             59.929             4              20
T11  0.2183    14     29.6914  27.8415  14.1465  10.9973  29.3544  21.7886  64.3681  12.5811  14.0   6.6321   -        -      -        -      -        -        -               0                0             86.385             8              20
T12  0.1825    16     23.1905  22.5446  13.6707  10.872   27.8951  5.3409   32.8984  9.0418   18.0   14.9875  14.4134  -      -        -      -        -        -               0                0             242.454           15              20
T13  0.1825  16.2667  22.7071  21.5957  13.6539  9.8167   29.6376  4.7854   33.1877  9.5681   16.0   14.9504  13.9468  9.923  -        -      -        -        -               0                0             77.6783            5              20
T14  0.2183    16     23.1392  22.6951  13.0512  10.5857  29.2854  5.0259   34.6749  9.2552   14.0   14.6984  14.2456  32.0   24.8562  -      -        -        -               0                0             52.9278            4              20
T15  0.1976    18     26.315   24.3982  12.6681  7.9883   28.5228  5.9678   28.7633  8.927    22.0   16.242   14.458   32.0   39.5719  2.0    -        -        -               0                0             132.032           11              20
T16  0.1976    14     26.2674  25.6543  14.5987  9.3431   30.5228  6.0648   32.9695  8.9445   20.0   16.4608  14.2785  32.0   46.4515  2.0    13.4097  -        -               0                0             58.9177            4              20
T17  0.1976    18     25.8112  23.5414  11.7944  9.0593   28.8953  5.7136   29.1832  10.1266  20.0   16.6071  14.7231  32.0   46.8608  2.0    13.0868  18.0877  -               0                0             69.3068            4              20
T18  0.1976    14     26.3479  24.1795  13.2606  10.219   29.1875  6.0648   31.4285  11.049   20.0   17.3639  14.7044  32.0   47.1848  6.0    11.9403  75.3333  44.1667         0                0             33.5554            4              20
T19  1.4333    14     28.3539  23.4905  15.1912  10.9376  22.7438  14.7334  32.5763  11.8747  20.0   12.1724  15.0961  32.0   39.9966  44.0   13.6398  76.0     88.0         32.1158          29.6492          235.82            15              20
