       T1      T2     T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   1.3054  0.7299   -        -        -        -       -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             81.0496            5              20
T2    4.76     14     5.7473   -        -        -       -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             110.353            9              20
T3   1.9339    14     30.8089  15.9415  -        -       -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             107.018           11              20
T4    0.64     14     31.0216  26.874   12.1773  -       -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             152.998           15              20
T5    0.96     14     31.4979  27.8599  22.4317  0.0     -        -        -        -        -      -        -        -      -        -      -        -        -               0                0             45.2506            4              20
T6   2.0939    14     31.7097  24.8512  21.8657  10.039  14.1777  -        -        -        -      -        -        -      -        -      -        -        -               0                0             257.809            6              20
T7   1.2956    14     29.0263  27.1478  20.0806  10.018  31.7967  10.4119  -        -        -      -        -        -      -        -      -        -        -               0                0             296.834           15              20
T8   4.4368    14     29.5694  27.6179  20.6054  10.018  28.3882  48.4444  11.4941  -        -      -        -        -      -        -      -        -        -               0                0             114.517            8              20
T9   0.4705    14     29.1281  26.7771  14.4199  8.6141  32.2292  15.5356  65.6033  11.3466  -      -        -        -      -        -      -        -        -               0                0             191.761           15              20
T10  1.626     18     28.7315  26.5343  11.4821  8.7434  29.1108  7.5356   66.1734  12.4705  18.0   -        -        -      -        -      -        -        -               0                0             59.929             4              20
T11  0.2183    14     28.8328  26.7244  13.9865  9.4674  29.0139  21.4636  63.0632  11.6725  14.0   5.5848   -        -      -        -      -        -        -               0                0             86.385             8              20
T12  0.1825    16     22.5898  21.4867  11.6027  9.5587  27.2279  5.2409   31.083   8.3461   18.0   13.6133  12.3655  -      -        -      -        -        -               0                0             242.454           15              20
T13  0.1825  16.2667  22.0186  20.7117  11.6656  8.8014  29.1303  4.6854   31.2601  8.8725   16.0   13.5762  12.2622  9.923  -        -      -        -        -               0                0             77.6783            5              20
T14  0.2183    16     22.3946  21.8112  11.4428  9.2125  28.7781  4.9259   32.6921  8.5596   14.0   13.4621  12.214   32.0   22.6926  -      -        -        -               0                0             52.9278            4              20
T15  0.1976    18     25.1538  23.511   10.9651  7.0568  28.0222  5.5601   27.0234  8.3693   22.0   14.7428  12.9445  32.0   38.0605  2.0    -        -        -               0                0             132.032           11              20
T16  0.1976    14     25.1062  24.6291  14.2268  8.1317  30.0222  5.6571   31.5029  8.3868   20.0   14.9616  12.765   32.0   44.3212  2.0    11.4583  -        -               0                0             58.9177            4              20
T17  0.1976    18     24.6501  22.6542  11.3871  7.8898  28.2281  5.3059   27.3504  9.6371   20.0   15.108   13.2097  32.0   44.7305  2.0    11.1115  18.0877  -               0                0             69.3068            4              20
T18  0.1976    14     25.0183  23.1384  13.2606  9.137   28.5203  5.6571   30.0619  10.5595  20.0   15.8386  12.9366  32.0   44.7688  6.0    10.2555  75.3333  44.1667         0                0             33.5554            4              20
T19  1.4333    14     27.7492  22.66    15.1912  9.9069  22.4099  14.7334  31.9444  11.0084  20.0   10.6308  14.0275  32.0   38.3655  44.0   11.6884  76.0     88.0         31.3674          29.0862          235.82            15              20
