       T1       T2     T3       T4       T5       T6       T7       T8       T9       T10      T11      T12      T13      T14     T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     52     8.0916   -        -        -        -        -        -        -        -        -        -        -        -       -        -      -        -      -             0                0             80.8456            7              200
T2     48       14     9.1983   -        -        -        -        -        -        -        -        -        -        -       -        -      -        -      -             0                0             47.8663            4              200
T3     50       14     29.8385  17.4228  -        -        -        -        -        -        -        -        -        -       -        -      -        -      -             0                0             37.6618            4              200
T4     46       14     30.612   31.7416  6.9068   -        -        -        -        -        -        -        -        -       -        -      -        -      -             0                0             74.1643            7              200
T5     50       14     26.5048  28.1246  20.8337  6.9827   -        -        -        -        -        -        -        -       -        -      -        -      -             0                0             99.183             8              200
T6     48       14     26.9765  28.1492  22.1066  10.3627  9.1013   -        -        -        -        -        -        -       -        -      -        -      -             0                0             45.5255            5              58
T7     50      30.5    31.1873  29.2458  16.6126  10.8043  26.9226  7.1337   -        -        -        -        -        -       -        -      -        -      -             0                0             152.484           11              200
T8     50       30     27.2583  20.2615  15.4322  10.8043  25.2535  48.0     5.1651   -        -        -        -        -       -        -      -        -      -             0                0             184.924            5              200
T9     8.2    20.3801  21.4347  20.3302  14.2962  11.2604  24.9053  48.0     94.6887  15.0268  -        -        -        -       -        -      -        -      -             0                0             252.265           15              200
T10  28.1143   1.855   18.7488  3.5545   11.9463  9.4214   26.7297  26.0772  86.8871  23.1471  0.4524   -        -        -       -        -      -        -      -             0                0             131.112            8              200
T11    52     15.7111  18.2154  5.5323   16.3397  8.031    26.9069  17.9612  84.382   21.2428  14.0     10.9261  -        -       -        -      -        -      -             0                0             49.9281            4              200
T12    48     1.6636   18.8115  6.9105   13.5984  9.822    28.8502  15.5442  67.2474  16.5817  12.0533  13.82    15.5092  -       -        -      -        -      -             0                0             82.5425            7              78
T13  38.4445  0.4444   26.1398  16.7888  13.9804  10.5511  23.1648  14.9311  53.7626  14.9621  4.2667   13.4121  14.4346  6.7251  -        -      -        -      -             0                0             148.672            9              200
T14    56     8.4444   23.9486  18.6967  6.8177   6.8487   18.8058  0.0      22.2783  1.2229   4.0      6.7334   4.0328   62.0    30.3809  -      -        -      -             0                0             86.8086            6              200
T15    48     10.4444  24.903   18.6967  8.5774   7.7054   20.0474  2.5      28.7347  2.2241   6.0      9.5305   6.9127   62.0    50.5496  2.0    -        -      -             0                0             53.2216            5              82
T16    54       32     25.0652  18.6967  16.2106  6.3221   17.9026  16.2008  38.4504  11.4003  14.0     3.2256   6.9444   64.0    49.1314  0.0    4.0      -      -             0                0             98.5824            4              100
T17    48       32     22.9158  12.7981  23.0074  7.1638   18.7587  14.2655  37.9111  17.862   12.0     13.6235  15.6157  64.0    49.1869  2.0    20.9687  24.0   -             0                0             143.382            7              200
T18    46       32     25.4992  5.5323   21.0251  9.9543   23.5963  15.0191  34.1289  19.8068  14.0     2.0834   14.5917  40.0    49.9744  2.0    19.7843  76.0   40.0          0                0             52.0823            4              200
T19    46       26     26.7543  18.6967  16.7958  7.1938   14.6817  14.5482  57.4545  18.1883  16.0     1.2569   8.809    40.0    49.8992  30.0   19.5527  76.0   100.0      32.7561          29.2865          164.777           11              200
