       T1      T2     T3       T4       T5       T6    T7       T8    T9    T10    T11      T12     T13    T14      T15    T16    T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27      T28      T29     T30      T31      T32    T33      T34      T35      T36     T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ----  -------  ----  ----  -----  -------  ------  -----  -------  -----  -----  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -------  -------  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     4     65.5636  -        -        -        -     -        -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             39.4905            5              100
T2     0     67.7095  13.9192  -        -        -     -        -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             90.651            11              100
T3     4      65.27   19.9665  73.3333  -        -     -        -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             182.639           14              100
T4     4      65.27   19.9665  72.0     9.6474   -     -        -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             40.5201            4              42
T5     0      65.77   18.6253  72.0     14.8     4.0   -        -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             134.972           11              100
T6     0      65.77   18.9473  70.6667  13.8903  40.0  5.2814   -     -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             463.048            7              100
T7     0     66.7095  18.7877  72.0     14.7403  24.0  50.5958  28.0  -     -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             505.559           15              100
T8     0     66.7095  16.6631  73.3333  11.3701  4.0   54.267   64.0  72.0  -      -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             85.9679            8              100
T9     0     66.7095  17.1571  73.3333  6.6928   8.0   54.645   44.0  84.0  60.0   -        -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             56.1554            6              48
T10    0     66.7095  17.0207  73.3333  6.6928   8.0   54.1077  36.0  36.0  60.0   16.0     -       -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             100.027            4              100
T11    0     67.2095  17.8769  74.6667  7.1994   4.0   54.8417  40.0  32.0  60.0   52.0     32.0    -      -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             87.9723            7              100
T12    0     65.5095  17.2057  74.6667  3.9593   4.0   53.6029  36.0  32.0  60.0   48.0     32.0    12.0   -        -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             47.4534            5              100
T13    0     64.5095  18.0114  72.0     6.1987   4.0   46.0354  32.0  56.0  60.0   56.0     28.0    24.0   2.7429   -      -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             294.412            9              100
T14    0     65.1762  19.7209  72.0     7.6749   4.0   52.2241  64.0  64.0  60.0   56.0     28.0    24.0   18.2569  0.0    -      -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             43.0018            4              100
T15    0     65.1762  16.9326  72.0     7.6749   4.0   50.3622  64.0  72.0  60.0   56.0     28.0    24.0   18.2569  0.0    24.0   -        -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             198.969            4              100
T16    0     65.1762  18.4084  74.6667  6.1987   4.0   49.0623  64.0  76.0  60.0   52.0     28.0    20.0   17.6993  0.0    60.0   80.0     -      -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             229.94            12              100
T17    0     65.1762  17.8774  74.6667  6.1987   4.0   46.1602  40.0  32.0  60.0   56.0     28.0    20.0   17.6993  0.0    60.0   80.0     40.0   -        -        -        -        -        -        -        -        -        -        -       -        -        -      -        -        -        -       -      -             0                0             48.3328            4              100
