       T1      T2     T3       T4       T5       T6    T7       T8    T9    T10    T11    T12    T13    T14      T15    T16    T17      T18    T19      T20      T21      T22      T23      T24      T25      T26      T27     T28    T29     T30      T31      T32    T33      T34      T35      T36     T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  ----  -------  ----  ----  -----  -----  -----  -----  -------  -----  -----  -------  -----  -------  -------  -------  -------  -------  -------  -------  -------  ------  -----  ------  -------  -------  -----  -------  -------  -------  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     4     65.4317  -        -        -        -     -        -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             75.611             7              100
T2     4     67.4081  9.7673   -        -        -     -        -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             69.286             6              100
T3     4     64.8604  11.1358  72.0     -        -     -        -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             92.4157            8              100
T4     4     65.8604  12.2718  69.3333  8.2147   -     -        -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             80.9081            7              42
T5     0     65.9319  11.6496  69.3333  11.4231  4.0   -        -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             88.4633            8              100
T6     0     66.4319  12.4031  69.3333  12.4333  4.0   5.963    -     -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             321.827            4              100
T7     0     67.9319  12.2848  70.6667  11.1536  4.0   59.7554  28.0  -     -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             242.117           15              100
T8     0     65.8652  11.08    69.3333  12.7766  4.0   61.7497  60.0  76.0  -      -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             60.2674            5              100
T9     0     66.9319  11.7369  69.3333  5.7433   4.0   59.7424  48.0  80.0  60.0   -      -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             63.8919            6              48
T10    0     66.9319  11.7822  69.3333  3.2605   4.0   58.6467  44.0  72.0  60.0   16.0   -      -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             57.9689            4              100
T11    4     64.8652  13.7844  69.3333  7.2196   4.0   57.9713  60.0  60.0  60.0   68.0   32.0   -      -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             183.377            9              100
T12    4     64.8652  12.862   69.3333  5.8605   4.0   57.786   56.0  64.0  60.0   68.0   40.0   12.0   -        -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             99.4109            5              100
T13    4     65.8652  11.029   69.3333  5.2252   4.0   56.4768  56.0  80.0  60.0   64.0   36.0   24.0   3.0907   -      -      -        -      -        -        -        -        -        -        -        -        -       -      -       -        -        -      -        -        -        -       -      -             0                0             130.254            5              100
