      T1     T2     T3       T4       T5       T6    T7       T8    T9    T10    T11    T12    T13    T14      T15    T16    T17    T18    T19      T20      T21    T22     T23      T24      T25      T26      T27     T28    T29     T30      T31    T32    T33      T34      T35      T36    T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  ----  -------  ----  ----  -----  -----  -----  -----  -------  -----  -----  -----  -----  -------  -------  -----  ------  -------  -------  -------  -------  ------  -----  ------  -------  -----  -----  -------  -------  -------  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    4    67.4984  -        -        -        -     -        -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.4717          43.4944          37.1165            4              100
T2    4    67.3317  9.3792   -        -        -     -        -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.1451          43.3833          92.7496           10              100
T3    4    67.9874  11.2472  72.0     -        -     -        -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.6944          42.9661          143.993           12              100
T4    4    67.9874  11.2472  73.3333  6.4049   -     -        -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.8383          42.9879          34.2815            4              42
T5    4    67.3208  12.107   74.6667  8.66     4.0   -        -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.3164          42.3228          65.6946            7              100
T6    4    67.3208  11.4575  74.6667  8.1745   4.0   5.5837   -     -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.6751          42.6958          43.5901            4              100
T7    0    68.8556  12.3033  70.6667  8.9212   4.0   39.8886  28.0  -     -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.7926          42.7897          169.198           15              100
T8    0    68.1889  9.6714   72.0     5.9097   4.0   42.6066  60.0  72.0  -      -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          36.1047          43.6297          123.779           11              100
T9    0    68.1889  9.7817   70.6667  5.3687   4.0   42.3293  40.0  80.0  60.0   -      -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          35.7936          43.3401          70.3826            8              48
T10   0    68.1889  9.7259   70.6667  5.1097   4.0   41.8426  40.0  84.0  60.0   16.0   -      -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          35.7668          43.3854          35.5474            4              100
T11   0    68.8556  9.7259   70.6667  4.5171   4.0   41.8204  36.0  88.0  60.0   20.0   32.0   -      -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          35.9458          43.3401          36.6953            4              100
T12   0    68.1889  10.0656  70.6667  5.3335   4.0   42.6715  36.0  84.0  60.0   20.0   24.0   8.0    -        -      -      -      -      -        -        -      -       -        -        -        -        -       -      -       -        -      -      -        -        -        -      -      -          35.8631          43.1459          60.8201            6              100
