       T1      T2     T3       T4       T5       T6       T7       T8    T9       T10    T11    T12     T13     T14      T15    T16    T17    T18    T19     T20      T21      T22     T23      T24      T25      T26      T27      T28    T29     T30      T31     T32    T33      T34      T35      T36      T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ------  -------  -------  -------  -------  -------  -------  ----  -------  -----  -----  ------  ------  -------  -----  -----  -----  -----  ------  -------  -------  ------  -------  -------  -------  -------  -------  -----  ------  -------  ------  -----  -------  -------  -------  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1   0.1039   5.433   -        -        -        -        -        -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             44.779             5              100
T2     0     65.5827  23.1198  -        -        -        -        -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             157.746           15              100
T3   1.7143  65.5827  22.9319  68.0     -        -        -        -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             105.226            9              100
T4   1.7143  65.5827  22.9319  68.0     3.7756   -        -        -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             33.5622            4              42
T5   0.5714  65.3827  20.2974  68.0     12.993   4.0      -        -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             370.248           11              100
T6   0.5714  66.3827  20.2537  68.0     11.3582  4.0      0.0      -     -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             156.965            4              100
T7   0.5714  66.3827  19.8292  68.0     11.4257  4.0      11.9363  28.0  -        -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             90.9133            5              100
T8   0.5714  66.3827  19.5048  68.0     12.0903  4.0      13.1128  28.0  68.0     -      -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             38.3726            4              100
T9   0.5714  64.916   20.6905  68.0     10.3913  4.0      13.0577  28.0  88.0     60.0   -      -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             365.229           10              48
T10  0.5714  64.7636  20.7256  68.0     9.9703   4.0      13.1956  28.0  88.0     60.0   16.0   -       -       -        -      -      -      -      -       -        -        -       -        -        -        -        -        -      -       -        -       -      -        -        -        -        -      -             0                0             40.505             4              100
