      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    54    0    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             73.5255            5              500
T2    54    14   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             53.823             4              500
T3    50    14   0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             64.6892            7              500
T4    2     0    0.0   2.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             159.675           13              500
T5    34    32   0.0   10.0  0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             57.7513            5              500
T6    36    32   0.0   8.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -             0                0             44.4411            4              58
T7    34    2    0.0   0.0   0.0   0.0   0.0   0.0   -     -      -      -      -      -      -      -      -      -      -             0                0             159.921           10              500
T8    0     0    0.0   0.0   0.0   0.0   0.0   42.0  0.0   -      -      -      -      -      -      -      -      -      -             0                0             65.2117            7              500
T9    0     14   0.0   2.0   0.0   0.0   0.0   22.0  2.0   0.0    -      -      -      -      -      -      -      -      -             0                0             161.679           15              500
T10   16    14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    -      -      -      -      -      -      -      -             0                0             43.6288            5              500
T11   0     14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    22.0   0.0    -      -      -      -      -      -      -             0                0             70.9977            5              500
T12   0     10   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    18.0   0.0    0.0    -      -      -      -      -      -             0                0             81.5692           10              78
T13   36    30   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    32.0   -      -      -      -      -             0                0             137.709           10              500
T14   0     0    0.0   6.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    60.0   0.0    -      -      -      -             0                0             98.2106            7              500
T15   0     0    0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    50.0   0.0    0.0    -      -      -             0                0             158.352           20              82
T16   0     0    0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    50.0   0.0    0.0    0.0    -      -             0                0             29.2049            4              100
T17   0     8    0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    32.0   0.0    0.0    16.0   24.0   -             0                0             87.5749           10              500
T18   0     0    0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    78.0   0.0           0                0             43.3921            5              500
T19   0     0    0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    44.0   0.0    0.0    0.0    24.0   58.0          0                0             153.993           13              500
