       T1       T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17     T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             73.5255            5              500
T2     54       14     0.0      -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             53.823             4              500
T3     50       14     26.8764  13.4748  -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             64.6892            7              500
T4     4.3       0     20.053   30.8097  11.8111  -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             159.675           13              500
T5   35.7615    32     22.2027  20.1134  23.4584  8.0925   -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             57.7513            5              500
T6   38.1044    32     21.665   18.6967  23.5661  6.874    12.4235  -        -        -        -      -        -        -      -        -      -       -      -             0                0             44.4411            4              58
T7   34.0625   5.573   23.9219  5.4756   23.1899  9.1658   17.1011  13.8185  -        -        -      -        -        -      -        -      -       -      -             0                0             159.921           10              500
T8      0        0     7.5376   4.3475   12.5541  0.0      0.0      42.9444  0.0      -        -      -        -        -      -        -      -       -      -             0                0             65.2117            7              500
T9   0.1081     14     24.6158  14.113   23.1899  4.8894   14.2399  24.9323  39.1     9.6062   -      -        -        -      -        -      -       -      -             0                0             161.679           15              500
T10  16.0625    14     24.372   5.3323   22.7495  5.1875   13.2656  10.2874  14.4602  13.0087  0.0    -        -        -      -        -      -       -      -             0                0             43.6288            5              500
T11     0       14     24.3067  8.1881   21.9265  6.3903   10.9658  0.0      0.3265   0.0      22.0   0.9111   -        -      -        -      -       -      -             0                0             70.9977            5              500
T12  0.0909   11.041   24.2051  15.9547  23.3673  6.0668   16.5839  3.9252   11.5578  1.4281   18.0   13.7363  10.7202  -      -        -      -       -      -             0                0             81.5692           10              78
T13   36.16   30.2857  24.0151  10.3987  5.7809   7.5658   16.8505  5.4709   13.248   9.359    0.0    10.9231  16.1026  32.0   -        -      -       -      -             0                0             137.709           10              500
T14     0        0     0.0      11.3885  2.1629   0.6026   0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      60.0   0.0      -      -       -      -             0                0             98.2106            7              500
T15     0     2.5668   20.9417  17.4163  8.3597   10.9903  16.5839  5.1558   4.4041   9.2123   0.0    12.4671  9.1917   50.0   30.2173  0.0    -       -      -             0                0             158.352           20              82
T16     0     4.4515   19.609   18.0466  10.0113  10.9276  16.2776  4.9699   1.6495   10.0962  0.0    13.2242  10.0954  50.0   30.5294  0.0    9.2235  -      -             0                0             29.2049            4              100
T17  0.6992   8.6667   8.1662   7.5533   8.7836   4.4222   12.7651  0.0      12.8738  6.2568   0.0    9.2892   8.5932   32.0   7.2808   0.0    25.061  24.0   -             0                0             87.5749           10              500
T18     0        0     0.0      5.3323   0.0      0.8321   1.0303   0.0      0.4239   0.0      0.0    0.697    0.0      36.0   0.0      0.0    4.0     78.0   40.0          0                0             43.3921            5              500
T19     0        0     0.0      18.6967  1.0968   0.6026   0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      44.0   0.0      0.0    2.0205  24.0   60.0          0                0             153.993           13              500
