       T1       T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17     T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  ------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             73.5255            5              500
T2     54       14     0.0      -        -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             53.823             4              500
T3     50       14     26.5443  12.7732  -        -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             64.6892            7              500
T4     4.3       0     20.053   29.843   11.8111  -        -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             159.675           13              500
T5   35.7615    32     21.8054  20.1134  22.3652  8.0074   -        -        -        -        -      -        -        -      -        -      -       -      -             0                0             57.7513            5              500
T6   38.1044    32     21.6316  18.6967  22.3704  6.8032   11.9346  -        -        -        -      -        -        -      -        -      -       -      -             0                0             44.4411            4              58
T7   34.0625   5.573   22.8997  4.9346   22.0967  8.2557   15.9588  13.8185  -        -        -      -        -        -      -        -      -       -      -             0                0             159.921           10              500
T8      0        0     7.0025   4.3475   12.5541  0.0      0.0      42.9444  0.0      -        -      -        -        -      -        -      -       -      -             0                0             65.2117            7              500
T9   0.1081     14     24.1491  13.3037  22.0967  4.3737   13.8494  24.9323  36.4149  8.7316   -      -        -        -      -        -      -       -      -             0                0             161.679           15              500
T10  16.0625    14     23.8983  5.3323   21.6564  4.7545   12.8646  10.0541  12.6945  11.9657  0.0    -        -        -      -        -      -       -      -             0                0             43.6288            5              500
T11     0       14     24.0117  8.1881   21.3009  6.1306   10.5648  0.0      0.2449   0.0      22.0   0.9111   -        -      -        -      -       -      -             0                0             70.9977            5              500
T12  0.0909   11.041   23.7606  15.478   22.2742  5.2755   15.5592  3.6615   10.5327  1.1781   18.0   11.9323  10.1274  -      -        -      -       -      -             0                0             81.5692           10              78
T13   36.16   30.2857  23.0446  10.3987  5.7809   6.3099   15.8258  5.1679   12.4817  7.9627   0.0    9.8141   15.1558  32.0   -        -      -       -      -             0                0             137.709           10              500
T14     0        0     0.0      11.3885  2.1629   0.6026   0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      60.0   0.0      -      -       -      -             0                0             98.2106            7              500
T15     0     2.5668   20.1442  16.4869  6.7206   10.0489  15.5592  4.8481   4.1647   8.54     0.0    11.3233  8.624    50.0   29.6429  0.0    -       -      -             0                0             158.352           20              82
T16     0     4.4515   18.8115  16.9743  8.9962   10.0195  15.4061  4.3765   1.4101   9.1356   0.0    11.6423  9.3516   50.0   29.977   0.0    7.8988  -      -             0                0             29.2049            4              100
T17  0.6992   8.6667   8.1662   7.5533   8.7836   4.4222   12.4794  0.0      11.8225  5.8663   0.0    8.0766   8.116    32.0   7.2808   0.0    25.061  24.0   -             0                0             87.5749           10              500
T18     0        0     0.0      5.3323   0.0      0.8321   1.0303   0.0      0.4239   0.0      0.0    0.697    0.0      36.0   0.0      0.0    4.0     78.0   40.0          0                0             43.3921            5              500
T19     0        0     0.0      18.6967  1.0968   0.6026   0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      44.0   0.0      0.0    2.0205  24.0   60.0          0                0             153.993           13              500
