       T1       T2     T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15     T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  ------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -        -       -        -        -        -        -      -        -        -      -       -      -        -      -             0                0             71.8988            5              500
T2     54       14     0.0      -        -        -       -        -        -        -        -      -        -        -      -       -      -        -      -             0                0             58.7958            4              500
T3     52       14     24.3427  12.4347  -        -       -        -        -        -        -      -        -        -      -       -      -        -      -             0                0             55.549             5              500
T4   4.3333      0     19.2722  26.879   3.2954   -       -        -        -        -        -      -        -        -      -       -      -        -      -             0                0             187.722           19              500
T5     36       14     21.9974  18.3634  21.1852  5.2351  -        -        -        -        -      -        -        -      -       -      -        -      -             0                0             99.3507            8              500
T6     36     14.3333  20.8863  18.6967  21.6665  7.1489  12.6342  -        -        -        -      -        -        -      -       -      -        -      -             0                0             57.1978            6              58
T7   0.0635   14.2618  22.6074  10.3435  15.35    9.7966  15.8297  11.5983  -        -        -      -        -        -      -       -      -        -      -             0                0             123.388            9              500
T8      0        4     7.3019   5.8149   13.2606  0.0     0.0      44.1     0.0      -        -      -        -        -      -       -      -        -      -             0                0             50.4729            7              500
T9   0.0625     14     24.0976  14.8489  22.3056  3.6015  13.2409  6.0385   37.1061  3.7755   -      -        -        -      -       -      -        -      -             0                0             125.569           12              500
T10  19.4714     8     22.9919  5.3323   22.4063  5.8966  13.772   3.4425   10.1273  16.8324  0.0    -        -        -      -       -      -        -      -             0                0             78.6864            9              500
T11     0        0     0.4444   2.2667   8.989    0.0     0.0      0.0      0.2222   0.0      24.0   0.2353   -        -      -       -      -        -      -             0                0             132.915           10              500
T12     0     1.4136   25.866   14.2657  22.8935  6.6726  15.7418  4.7767   8.6614   3.9968   22.0   10.0661  10.6643  -      -       -      -        -      -             0                0             71.1898           11              78
T13  0.1143   30.4444  24.3936  11.953   22.7792  9.3198  15.4258  5.6822   7.7996   11.7063  24.0   10.4519  11.9761  32.0   -       -      -        -      -             0                0             63.6814            5              500
T14     0        0     0.0      19.8634  2.1629   0.6026  0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      66.0   0.0     -      -        -      -             0                0             78.0848            6              500
T15     0        0     0.0      18.2634  2.1629   0.6026  0.6667   0.0      0.0      2.2434   0.0    0.8324   0.5      66.0   0.0     0.0    -        -      -             0                0             23.2408            4              82
T16     0        0     0.0      16.3586  2.1629   0.6026  0.6667   0.0      0.0      2.0024   0.0    0.8324   0.5      66.0   0.0     0.0    2.0205   -      -             0                0             24.9856            4              100
T17   0.25    12.3636  15.9228  6.3515   15.0334  5.1313  12.1848  0.3333   11.4728  4.6435   2.0    7.9975   9.0166   40.0   5.5133  0.0    21.4033  24.0   -             0                0             54.0875            6              500
T18     0        0     0.0      5.3323   0.0      0.8321  1.0303   0.0      0.4239   0.0      0.0    0.697    0.0      36.0   0.0     0.0    4.0      76.0   40.0          0                0             33.841             4              500
T19     0        0     0.0      18.6967  1.0968   0.6026  0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      44.0   0.0     0.0    2.0205   24.0   63.0          0                0             122.811           12              500
