       T1       T2     T3       T4       T5    T6       T7       T8       T9       T10    T11    T12      T13    T14      T15      T16      T17    T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  ----  -------  -------  -------  -------  -----  -----  -------  -----  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -     -        -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             67.8642            5              500
T2   37.592   24.8342  1.1868   -        -     -        -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             94.2318            8              500
T3     18     13.4477  29.4719  15.5123  -     -        -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             128.302           10              500
T4   10.4444  8.0693   20.6351  24.5617  0.0   -        -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             73.6041            7              500
T5      0     0.2667   16.5373  30.3317  14.0  0.851    -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             78.1526            6              500
T6     36     12.237   16.9312  24.7284  14.0  6.5878   4.1963   -        -        -      -      -        -      -        -        -        -      -        -               0                0             103.18            11              58
T7     20      11.51   5.3323   21.5956  14.0  5.6358   17.4899  6.0657   -        -      -      -        -      -        -        -        -      -        -               0                0             130.483           12              500
T8      0     9.1096   12.1985  25.3829  10.5  5.8642   12.2403  11.8538  9.2689   -      -      -        -      -        -        -        -      -        -               0                0             198.861           15              78
T9      0     1.0429   8.423    11.3145  0.0   1.4222   4.737    0.9027   43.5714  0.0    -      -        -      -        -        -        -      -        -               0                0             71.7448            7              500
T10     0     0.5714   1.9544   3.9692   10.0  0.0      0.0      0.0      41.4667  24.0   0.0    -        -      -        -        -        -      -        -               0                0             84.7208            6              500
T11     0        4     5.3323   0.0      0.0   0.0      0.0      0.697    44.3333  17.0   76.0   3.3691   -      -        -        -        -      -        -               0                0             50.8059            4              500
T12     0     6.8014   15.7119  20.2578  32.0  9.2156   10.5472  14.7147  1.8724   24.0   76.0   34.1412  32.0   -        -        -        -      -        -               0                0             91.3832           11              82
T13     0     3.3712   9.8359   0.0      0.0   0.6026   0.25     0.8324   0.0      0.0    24.0   0.0      60.0   0.0      -        -        -      -        -               0                0             108.996            8              500
T14     0     11.6748  21.2135  25.5724  14.0  6.5773   9.2532   9.1366   9.9503   20.0   76.0   13.8624  32.0   38.5501  0.0      -        -      -        -               0                0             113.013            8              500
T15  36.1481  11.4232  13.3258  26.6741  14.0  6.1863   9.6307   13.1803  14.2608  16.0   26.0   15.6077  32.0   21.0658  22.6881  4.8759   -      -        -               0                0             96.3978            8              500
T16    32     9.9228   6.2718   23.2234  32.0  9.5571   9.8371   12.233   6.245    0.0    28.0   12.8935  34.0   17.7504  23.4001  14.6656  2.0    -        -               0                0             97.3538            8              500
T17    30     10.6377  6.6292   23.9574  32.0  9.2923   10.1529  11.4715  4.3939   0.0    30.0   13.228   34.0   16.2941  23.4001  16.6099  2.0    40.0444  -               0                0             32.7424            4              100
T18     0     2.0205   18.6967  0.0      26.0  0.6026   0.25     0.4722   0.0      0.0    24.0   0.0      60.0   0.0      1.7964   0.5      0.0    66.0     0.6667          0                0             212.658           17              500
T19     0     12.0057  18.6967  23.6078  32.0  10.0694  7.137    6.7788   0.8444   0.0    26.0   10.065   36.0   9.3441   7.2001   9.2152   2.0    51.0     15.4526         0                0             75.0809            5              500
