       T1       T2     T3       T4       T5    T6      T7       T8       T9       T10    T11    T12      T13    T14      T15      T16      T17    T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  ----  ------  -------  -------  -------  -----  -----  -------  -----  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -     -       -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             67.8642            5              500
T2   37.592   24.6437  1.1868   -        -     -       -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             94.2318            8              500
T3     18     12.9023  29.3428  15.5123  -     -       -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             128.302           10              500
T4   10.4444  7.9784   20.6351  24.2125  0.0   -       -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             73.6041            7              500
T5      0     0.2667   16.5373  30.3317  14.0  0.851   -        -        -        -      -      -        -      -        -        -        -      -        -               0                0             78.1526            6              500
T6     36     11.986   16.7407  24.195   14.0  6.0784  4.1963   -        -        -      -      -        -      -        -        -        -      -        -               0                0             103.18            11              58
T7     20      11.11   5.3323   20.2956  14.0  5.1259  16.7628  5.396    -        -      -      -        -      -        -        -        -      -        -               0                0             130.483           12              500
T8      0     8.0401   11.9634  24.9385  10.5  5.2752  11.5085  10.4023  8.7829   -      -      -        -      -        -        -        -      -        -               0                0             198.861           15              78
T9      0     1.0048   7.6829   10.7008  0.0   1.4222  4.737    0.6536   43.5714  0.0    -      -        -      -        -        -        -      -        -               0                0             71.7448            7              500
T10     0     0.5714   1.9544   3.4265   10.0  0.0     0.0      0.0      41.4667  24.0   0.0    -        -      -        -        -        -      -        -               0                0             84.7208            6              500
T11     0        4     5.3323   0.0      0.0   0.0     0.0      0.697    44.3333  17.0   76.0   3.3691   -      -        -        -        -      -        -               0                0             50.8059            4              500
T12     0     6.8014   15.4331  19.5767  32.0  8.1563  10.1462  13.0827  1.8724   24.0   76.0   32.85    32.0   -        -        -        -      -        -               0                0             91.3832           11              82
T13     0     3.3712   9.8359   0.0      0.0   0.6026  0.25     0.8324   0.0      0.0    24.0   0.0      60.0   0.0      -        -        -      -        -               0                0             108.996            8              500
T14     0     11.3591  20.1329  24.6879  14.0  5.9775  8.3028   8.3204   9.9503   20.0   76.0   12.3353  32.0   36.6809  0.0      -        -      -        -               0                0             113.013            8              500
T15  36.1481  11.046   12.638   26.0074  14.0  5.5662  9.275    11.8207  14.2608  16.0   26.0   14.3564  32.0   19.9276  21.4131  4.8759   -      -        -               0                0             96.3978            8              500
T16    32      9.421   6.2718   22.6554  32.0  7.4577  9.8371   11.129   5.7855   0.0    28.0   12.0859  34.0   15.8198  22.307   14.6656  2.0    -        -               0                0             97.3538            8              500
T17    30     10.1359  6.6292   23.3895  32.0  7.4211  9.707    10.4009  4.1422   0.0    30.0   12.4203  34.0   14.8763  22.307   15.8893  2.0    40.0444  -               0                0             32.7424            4              100
T18     0     2.0205   18.6967  0.0      26.0  0.6026  0.25     0.4722   0.0      0.0    24.0   0.0      60.0   0.0      1.7964   0.5      0.0    66.0     0.6667          0                0             212.658           17              500
T19     0     12.0057  18.6967  22.5305  32.0  8.9223  6.3793   6.2636   0.8444   0.0    26.0   10.065   36.0   8.5714   7.0401   8.7268   2.0    51.0     14.5916         0                0             75.0809            5              500
