       T1       T2     T3    T4       T5       T6       T7       T8       T9       T10     T11      T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  ----  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   35.3286  16.2996  -     -        -        -        -        -        -        -       -        -        -      -      -        -        -        -      -               0                0             92.7292           13              82
T2   15.7845  41.8285  76.0  -        -        -        -        -        -        -       -        -        -      -      -        -        -        -      -               0                0             163.649           13              500
T3      0     0.4239   76.0  0.0      -        -        -        -        -        -       -        -        -      -      -        -        -        -      -               0                0             78.0809            6              500
T4   0.8655      0     68.0  44.1333  20.6667  -        -        -        -        -       -        -        -      -      -        -        -        -      -               0                0             105.548           10              500
T5      0        0     26.0  2.9333   57.0     0.0      -        -        -        -       -        -        -      -      -        -        -        -      -               0                0             145.527           10              500
T6      0        0     30.0  6.3333   48.0     14.0     0.5      -        -        -       -        -        -      -      -        -        -        -      -               0                0             51.9111            4              500
T7   14.8949  1.7208   76.0  6.7667   49.0     28.0     14.5295  4.5281   -        -       -        -        -      -      -        -        -        -      -               0                0             46.8021            4              500
T8   12.8521  4.5752   76.0  15.9283  48.0     14.0     11.8652  13.0225  4.5114   -       -        -        -      -      -        -        -        -      -               0                0             47.0248            6              500
T9   12.0582  10.6391  76.0  13.8557  48.0     14.0     3.2993   8.2347   21.0299  6.1924  -        -        -      -      -        -        -        -      -               0                0             87.2911            6              500
T10  11.6868  12.007   78.0  14.2446  49.0     14.0     4.0904   7.3489   21.0299  5.1519  13.8103  -        -      -      -        -        -        -      -               0                0             45.5946            4              58
T11    0.4       0     0.0   0.0      0.0      0.0      0.0      0.0      12.2606  0.0     52.0     0.0      -      -      -        -        -        -      -               0                0             176.623           11              500
T12    0.4       0     0.0   0.0      0.0      0.0      0.0      0.0      12.2606  0.0     54.0     0.0      2.0    -      -        -        -        -      -               0                0             31.4821            4              78
T13    0.4       0     0.0   0.0      0.0      0.0      0.0      0.0      12.2606  0.0     52.0     0.0      2.0    8.0    -        -        -        -      -               0                0             32.2242            4              100
T14     0        0     24.0  0.0      40.0     0.0      0.5      0.25     2.4296   0.6026  0.0      0.8324   0.0    62.0   0.0      -        -        -      -               0                0             114.841            8              500
T15     0        0     24.0  0.0      40.0     0.0      11.1411  0.25     13.2606  0.6026  0.0      0.8324   2.0    60.0   28.9382  2.0205   -        -      -               0                0             45.1471            4              500
T16  2.7347   15.9912  24.0  0.4444   46.0     0.0      1.6467   4.4078   10.9148  2.4443  14.846   5.5929   0.0    32.0   7.0968   22.6074  6.0709   -      -               0                0             70.8038            8              500
T17  16.0472  15.1097  24.0  14.5446  46.0     28.9351  5.7829   8.014    22.2655  7.074   0.1822   10.4069  0.0    32.0   22.7221  11.9797  14.6238  0.0    -               0                0             125.427            9              500
T18  14.6003   0.631   24.0  0.8444   46.0     32.0     2.9377   0.7111   5.1089   0.0     0.0      0.2965   2.0    32.0   23.2776  4.6374   14.1042  24.0   16.4206         0                0             88.2843            6              500
T19  4.1172   8.0594   24.0  0.0      40.0     0.0      11.4179  8.4305   3.851    7.9143  12.0     9.6827   0.0    32.0   5.624    10.1228  7.7962   11.0   25.7656         0                0             163.342           13              500
