      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    54    0    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             100.927            5              500
T2    54    14   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             59.1962            4              500
T3    20    32   0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             178.442           12              500
T4    12    0    0.0   2.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             150.797           10              500
T5    28    4    0.0   10.0  0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -             0                0             90.413             5              500
T6    34    8    0.0   10.0  0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -             0                0             54.4561            4              58
T7    0     12   0.0   2.0   0.0   0.0   0.0   0.0   -     -      -      -      -      -      -      -      -      -      -             0                0             145.978            7              500
T8    0     0    0.0   0.0   0.0   0.0   0.0   42.0  0.0   -      -      -      -      -      -      -      -      -      -             0                0             160.376           11              500
T9    0     14   0.0   2.0   0.0   0.0   0.0   4.0   2.0   0.0    -      -      -      -      -      -      -      -      -             0                0             117.409            7              500
T10   22    14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    -      -      -      -      -      -      -      -             0                0             90.9593            6              500
T11   10    14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    28.0   0.0    -      -      -      -      -      -      -             0                0             117.77             6              500
T12   0     14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    24.0   0.0    0.0    -      -      -      -      -      -             0                0             109.133           10              78
T13   36    14   0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    24.0   0.0    0.0    32.0   -      -      -      -      -             0                0             62.7322            4              500
T14   0     0    0.0   10.0  0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    62.0   0.0    -      -      -      -             0                0             115.475            7              500
T15   0     0    0.0   10.0  0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    62.0   0.0    0.0    -      -      -             0                0             30.2767            4              82
T16   0     0    0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    60.0   0.0    0.0    0.0    -      -             0                0             50.231             4              100
T17   0     0    0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    42.0   0.0    2.0    8.0    24.0   -             0                0             68.5003            5              500
T18   0     0    0.0   2.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    78.0   0.0           0                0             71.4865            5              500
T19   0     0    0.0   8.0   0.0   0.0   0.0   0.0   0.0   0.0    0.0    0.0    0.0    42.0   0.0    0.0    0.0    24.0   64.0          0                0              263.7            16              500
