       T1       T2     T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15    T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  -----  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54        0     -        -        -        -       -        -        -        -        -      -        -        -      -      -      -        -      -             0                0             119.284            5              500
T2     54       14     0.0      -        -        -       -        -        -        -        -      -        -        -      -      -      -        -      -             0                0             80.6667            4              500
T3     52       20     26.5448  12.8431  -        -       -        -        -        -        -      -        -        -      -      -      -        -      -             0                0             67.5622            5              500
T4     21        0     18.443   30.9451  4.5299   -       -        -        -        -        -      -        -        -      -      -      -        -      -             0                0             145.443           10              500
T5   37.1195  8.8381   23.2377  18.3634  22.4067  3.7286  -        -        -        -        -      -        -        -      -      -      -        -      -             0                0             129.749            7              500
T6    37.5    13.5606  24.4165  18.6967  23.8965  9.6066  14.0127  -        -        -        -      -        -        -      -      -      -        -      -             0                0             126.828           10              58
T7      2     10.7088  24.4464  7.8315   15.1709  6.9829  17.2099  12.0964  -        -        -      -        -        -      -      -      -        -      -             0                0             212.974           11              500
T8      0        0     9.5045   4.7702   13.4273  0.4333  0.0      42.9444  0.0      -        -      -        -        -      -      -      -        -      -             0                0             147.496           10              500
T9   0.9638     22     24.9882  16.8649  15.8536  5.4033  16.209   8.1423   40.1952  13.0353  -      -        -        -      -      -      -        -      -             0                0             226.09            14              500
T10    37       14     26.134   5.3323   11.5139  7.0873  16.7322  11.4238  11.2095  14.6449  0.0    -        -        -      -      -      -        -      -             0                0             65.4065            5              500
T11  0.6667     14     24.4818  5.361    8.9975   7.4355  9.0551   0.0      1.2669   7.3333   24.0   0.9588   -        -      -      -      -        -      -             0                0             106.274            5              500
T12   0.093     14     27.2055  16.1683  11.8139  6.9777  16.2595  4.0824   5.9171   2.4762   10.0   13.3705  12.551   -      -      -      -        -      -             0                0             106.334           10              78
T13   2.25    32.4444  25.7209  7.9535   13.1485  5.8277  16.6748  0.8444   10.8952  6.7261   10.0   11.9722  12.8675  32.0   -      -      -        -      -             0                0             66.7823            4              500
T14     0        0     0.0      18.7777  2.1629   0.6026  0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      60.0   0.0    -      -        -      -             0                0             191.736           10              500
T15     0        0     0.0      16.7777  2.1629   0.6026  0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      62.0   0.0    0.0    -        -      -             0                0             31.988             4              82
T16     0        0     0.0      17.4443  2.1629   0.6026  0.6667   0.0      0.0      0.25     0.0    0.8324   0.5      62.0   0.0    0.0    2.0205   -      -             0                0             45.5853            4              100
T17  0.5106     14     10.2949  4.8679   16.3334  5.1653  11.9517  1.1431   17.2341  4.5663   0.0    6.137    8.7575   32.0   3.118  0.0    20.9276  24.0   -             0                0             113.439            8              500
T18     0        0     9.273    5.3323   0.0      0.8321  2.6184   0.0      0.4239   0.0      0.0    0.697    0.0      38.0   0.0    0.0    4.0      76.0   40.0          0                0             56.932             4              500
T19     0        0     0.0      18.6967  1.0968   0.6026  0.6667   0.0      0.0      0.25     0.0    1.0546   0.5      42.0   0.0    0.0    2.0205   24.0   62.0          0                0             240.821           16              500
