       T1       T2     T3       T4       T5       T6       T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54       24     -        -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.1328          42.6809          92.4687            4              500
T2     46       14     28.0626  -        -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.4134          42.0684          237.729            6              500
T3     46       40     22.5267  18.6967  -        -        -        -        -        -        -       -        -        -      -        -      -        -      -          35.7237          42.8948          214.998            6              500
T4     54       32     23.2873  31.709   11.4785  -        -        -        -        -        -       -        -        -      -        -      -        -      -          32.7796          40.7608          503.257           15              500
T5     52       32     23.1252  29.6899  22.9351  10.2282  -        -        -        -        -       -        -        -      -        -      -        -      -          32.5502          38.852           213.364            6              500
T6     60     30.5714  22.9605  30.7463  22.1485  11.4023  9.8088   -        -        -        -       -        -        -      -        -      -        -      -          28.5245          39.7257          231.826           15              58
T7     62     25.0238  26.1369  27.7201  18.5655  11.0571  35.1683  9.4301   -        -        -       -        -        -      -        -      -        -      -          32.3221          38.5911          479.143           11              500
T8     48       32     25.336   20.8989  20.168   10.2536  36.5986  48.0     30.0212  -        -       -        -        -      -        -      -        -      -          35.7632          41.4421          139.124            4              500
T9   8.9167   26.0533  20.9936  12.5925  12.4756  11.5917  37.8365  48.0     97.3133  16.0818  -       -        -        -      -        -      -        -      -          20.6249          27.4459          585.096           15              500
T10  28.4716    30     26.0173  25.6283  14.4642  10.4143  31.5414  48.0     97.6408  19.2192  0.5903  -        -        -      -        -      -        -      -          25.7022          33.3532          266.956            7              500
T11    30       30     24.1217  6.4323   17.0418  9.2713   28.506   48.0     87.9588  23.1791  92.0    10.3956  -        -      -        -      -        -      -          32.7263          36.2641          547.044           12              500
T12    40       34     20.522   24.7149  19.8025  9.9249   25.695   48.0     86.5211  14.0717  92.0    15.5993  13.9468  -      -        -      -        -      -          31.0889          34.508           118.885            9              78
T13    40     4.5156   22.776   23.5336  13.9431  9.8762   20.5915  12.5714  74.7182  15.4256  92.0    15.102   13.0732  0.0    -        -      -        -      -          28.6217          33.7875          301.556            7              500
T14    56       30     23.2255  16.8631  14.0493  10.6055  23.8488  4.0      59.2584  10.7925  44.0    14.3244  13.8152  62.0   37.3183  -      -        -      -          32.4972          39.3069          180.182            4              500
T15    60       30     23.2305  24.3254  13.8999  9.6007   23.3091  14.0     68.2656  13.3188  42.0    15.5337  13.1993  62.0   47.9166  0.0    -        -      -          32.2374          39.3766          71.4564            6              82
T16    52       30     24.5019  15.1032  16.7593  7.9303   32.3422  32.0     70.2837  18.8507  44.0    15.0555  15.9296  62.0   48.9092  0.0    10.2457  -      -          34.5277          40.1227          78.8237            4              100
T17  50.0312    32     26.0752  11.2015  21.9937  6.2479   24.3269  5.7987   77.6502  21.6645  38.0    14.3176  13.2852  62.0   49.8636  0.0    13.3165  50.0   -          34.8353          39.2606          204.161            5              500
T18    56       30     27.4446  5.3323   8.7947   8.2819   28.0458  30.0     75.0127  18.9968  42.0    13.799   14.7684  42.0   49.484   0.0    15.0437  82.0   41.0       33.8982          38.913           198.106            5              500
T19    54       34     28.7379  16.7619  16.2414  7.6498   26.0457  48.0     84.6382  19.3315  44.0    9.4673   13.0031  40.0   47.9743  0.0    16.4666  84.0   100.0      32.6082          38.2085          479.343           11              500
