       T1      T2   T3       T4       T5       T6       T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  ----  -------  -------  -------  -------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     52      34   -        -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          35.4828          43.3913          71.2896            4              500
T2     48      26   28.6064  -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          35.3466          42.3502          193.771            6              500
T3     48      40   27.8076  18.6967  -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          35.8351          42.821           96.5431            4              500
T4     54      32   25.44    29.8396  12.1541  -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.8953          42.5589          197.827            8              500
T5     54      32   24.9497  26.4829  23.8849  8.2109   -        -       -        -        -       -        -        -      -        -      -        -      -          34.6443          41.1604          210.938            7              500
T6     54      32   24.6166  26.5376  24.3471  8.2923   11.659   -       -        -        -       -        -        -      -        -      -        -      -          33.7619          41.5174          130.107            8              58
T7   58.0606   32   26.9693  29.5124  23.1559  9.9839   26.3651  8.5508  -        -        -       -        -        -      -        -      -        -      -          33.8923          41.0957          290.576            8              500
T8     46      38   26.4134  29.8399  22.8145  10.5173  22.9367  48.0    34.6494  -        -       -        -        -      -        -      -        -      -          35.7489          42.5401          121.982            4              500
T9   48.1884   24   29.0222  28.7943  16.3099  12.1113  27.7619  48.0    95.6793  16.1868  -       -        -        -      -        -      -        -      -          25.8211          34.0226          366.657           13              500
T10    46      30   22.5225  19.5408  13.9946  9.5425   27.9823  48.0    86.1127  21.6794  0.9444  -        -        -      -        -      -        -      -          29.5524          36.4978          391.795           15              500
T11    44      18   22.5218  7.4915   16.7452  8.1377   28.9982  48.0    75.8552  23.498   92.0    11.2679  -        -      -        -      -        -      -          33.7039          36.3526          519.923           14              500
T12    44      18   21.8207  14.7327  16.51    8.0592   30.5572  48.0    82.1883  22.8269  92.0    12.5191  14.725   -      -        -      -        -      -          33.3802          36.1605          62.2486            4              78
T13    50      28   26.022   23.8734  16.1091  7.5731   22.4439  34.0    67.6382  19.0326  92.0    13.2571  14.9131  2.0    -        -      -        -      -          30.6798          35.5709          282.725            8              500
T14    54      28   26.1683  22.542   14.6558  7.0211   26.0035  26.0    32.9956  17.956   56.0    12.2578  14.3771  62.0   38.6482  -      -        -      -          32.7953          39.126           147.535            4              500
T15    54      32   26.9949  25.6292  16.5046  8.3109   24.1097  48.0    43.0969  23.5093  50.0    12.2319  14.7209  62.0   46.578   0.0    -        -      -          32.8842          38.5654          177.658           14              82
T16    48      30   27.0833  25.5601  16.0149  8.7194   26.6415  48.0    45.661   24.0872  58.0    11.8795  14.3896  62.0   52.2543  0.0    11.4241  -      -          34.1799          39.2441          67.686             4              100
T17    50      34   27.3948  20.2781  24.4911  6.5155   16.9606  3.4667  57.4772  6.9053   42.0    9.5542   13.6126  62.0   50.9161  0.0    13.9848  60.0   -          34.8954          39.3496          370.026           13              500
T18    46      34   23.8221  5.3323   12.6576  6.7775   29.1683  18.0    54.9533  8.6985   58.0    4.307    14.1459  42.0   50.8292  0.0    13.055   82.0   43.0       34.765           38.7367          229.718            8              500
T19    50      28   24.9723  6.6415   20.8834  6.0091   28.4505  34.0    76.8624  7.5229   58.0    6.7721   14.3237  40.0   51.0813  4.0    16.1043  84.0   96.0       34.4814          38.0922          270.412            8              500
