       T1       T2     T3       T4       T5       T6      T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     54       24     -        -        -        -       -        -        -        -        -       -        -        -      -        -      -        -      -          34.4679          42.2797          92.4687            4              500
T2     46       14     26.7172  -        -        -       -        -        -        -        -       -        -        -      -        -      -        -      -          34.8032          41.6694          237.729            6              500
T3     46       40     22.5267  18.6967  -        -       -        -        -        -        -       -        -        -      -        -      -        -      -          34.9512          42.5016          214.998            6              500
T4     54       32     23.2873  30.8829  11.3356  -       -        -        -        -        -       -        -        -      -        -      -        -      -          32.1148          40.3119          503.257           15              500
T5     52       32     22.9146  28.1221  21.7222  8.8524  -        -        -        -        -       -        -        -      -        -      -        -      -          31.7237           38.47           213.364            6              500
T6     60     30.5714  22.9605  29.4209  21.1333  9.9044  9.6184   -        -        -        -       -        -        -      -        -      -        -      -          27.6849          39.351           231.826           15              58
T7     62     25.0238  26.0015  26.465   17.7884  8.4007  34.8126  9.1948   -        -        -       -        -        -      -        -      -        -      -          31.1598          38.0678          479.143           11              500
T8     48       32     25.336   19.731   19.391   8.8473  36.4247  48.0     28.2257  -        -       -        -        -      -        -      -        -      -          34.7608          40.9191          139.124            4              500
T9   8.9167   26.0533  20.9936  12.5925  12.1838  8.5258  37.2982  48.0     97.3133  13.5421  -       -        -        -      -        -      -        -      -          19.3809          26.9536          585.096           15              500
T10  28.4716    30     25.0476  24.7117  14.2078  8.0931  31.3675  48.0     97.6408  17.7525  0.5903  -        -        -      -        -      -        -      -          24.5569          32.7924          266.956            7              500
T11    30       30     23.2466  6.4323   16.3922  8.1749  28.3321  48.0     87.435   21.2211  92.0    8.5318   -        -      -        -      -        -      -          31.8265          35.7833          547.044           12              500
T12    40       34     20.522   23.7986  18.5091  8.1395  25.5211  48.0     86.1855  11.875   92.0    13.6347  12.6269  -      -        -      -        -      -          30.0381          34.0011          118.885            9              78
T13    40     4.5156   22.4056  22.2007  13.1321  8.5692  20.2638  12.5714  73.5236  13.7825  92.0    13.333   13.0732  0.0    -        -      -        -      -          27.609           33.352           301.556            7              500
T14    56       30     22.9178  15.9229  13.2859  9.0404  23.6749  4.0      57.8672  8.689    44.0    13.0842  13.5799  62.0   35.0463  -      -        -      -          31.5083          38.8156          180.182            4              500
T15    60       30     22.5334  22.9222  13.0889  8.4086  23.1352  14.0     67.2084  11.2193  42.0    13.8101  13.0088  62.0   46.8947  0.0    -        -      -          31.2427          38.8974          71.4564            6              82
T16    52       30     23.9276  14.4679  15.6089  6.977   32.1683  32.0     69.2007  17.0843  44.0    13.6177  15.7391  62.0   47.6171  0.0    9.6934   -      -          33.5464          39.636           78.8237            4              100
T17  50.0312    32     24.5672  10.9243  21.0487  5.5156  24.1529  5.7987   76.901   19.952   38.0    12.5787  13.0947  62.0   48.6298  0.0    12.6285  50.0   -          33.7513          38.7743          204.161            5              500
T18    56       30     26.0641  5.3323   8.2478   7.2491  27.8719  30.0     74.3572  17.9393  42.0    12.3784  14.2298  42.0   48.0703  0.0    14.3556  82.0   41.0       32.8437          38.4486          198.106            5              500
T19    54       34     27.6241  16.2602  15.5567  6.1366  25.8717  48.0     84.4307  18.1306  44.0    8.7086   12.0143  40.0   46.6517  0.0    15.818   84.0   100.0      31.6245          37.7163          479.343           11              500
