      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    48    4    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.2017           32.84           74.2127            4              500
T2    48    0    4.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.7647           30.56           203.995            7              500
T3    60    0    0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.2185           30.6            368.106           15              500
T4    58    0    0.0   0.0   32.0  -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.6218           29.92           89.3635            4              500
T5    52    0    0.0   0.0   24.0  0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          23.6303           31.28           195.383            6              500
T6    56    0    0.0   0.0   30.0  0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          23.4622           30.8            85.2957            7              58
T7    54    0    2.0   0.0   28.0  0.0   0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          22.3866           29.48           187.945            8              500
T8    54    0    0.0   0.0   32.0  0.0   0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          21.1092           28.8            90.9616            8              78
T9    52    0    2.0   0.0   18.0  0.0   0.0   0.0   48.0  14.0   -      -      -      -      -      -      -      -      -          23.0252           29.4            95.7081            4              500
T10   50    0    0.0   0.0   22.0  0.0   0.0   0.0   48.0  90.0   76.0   -      -      -      -      -      -      -      -          22.6891           26.8             510.4            14              500
T11   54    4    2.0   0.0   22.0  0.0   0.0   0.0   48.0  90.0   82.0   0.0    -      -      -      -      -      -      -          22.6218           28.08           212.823            8              500
T12   48    0    2.0   0.0   22.0  0.0   0.0   0.0   48.0  90.0   80.0   4.0    2.0    -      -      -      -      -      -          22.1513           27.56           142.561           12              82
T13   48    2    4.0   0.0   22.0  0.0   0.0   0.0   48.0  74.0   82.0   2.0    62.0   0.0    -      -      -      -      -          21.4118           29.36           138.927            4              500
T14   40    0    0.0   0.0   20.0  0.0   0.0   0.0   48.0  44.0   78.0   4.0    36.0   80.0   0.0    -      -      -      -          11.3613           23.28           410.08            15              500
T15   50    0    0.0   0.0   20.0  0.0   0.0   0.0   48.0  26.0   80.0   4.0    62.0   72.0   0.0    0.0    -      -      -          17.0084           28.8            456.096           15              500
T16   52    0    0.0   0.0   20.0  0.0   0.0   0.0   30.0  32.0   14.0   2.0    50.0   60.0   0.0    0.0    2.0    -      -          18.4202           28.32           274.359            8              500
T17   54    0    0.0   0.0   20.0  0.0   0.0   0.0   38.0  50.0   44.0   2.0    44.0   60.0   0.0    0.0    2.0    20.0   -          19.7311           28.96           56.1001            4              100
T18   48    0    0.0   0.0   20.0  0.0   0.0   0.0   38.0  52.0   74.0   2.0    42.0   68.0   0.0    0.0    4.0    94.0   0.0        20.2689           29.44           199.84             6              500
T19   50    0    0.0   0.0   20.0  0.0   0.0   0.0   36.0  48.0   74.0   4.0    44.0   60.0   0.0    0.0    8.0    98.0   14.0       16.5714           28.48           187.196            5              500
