       T1       T2     T3       T4       T5       T6    T7       T8       T9       T10     T11      T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ----  -------  -------  -------  ------  -------  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   39.1845  15.7547  -        -        -        -     -        -        -        -       -        -        -      -      -        -        -        -      -            36.8092          43.4489          37.9573            5              82
T2   36.4476  91.1947  50.5159  -        -        -     -        -        -        -       -        -        -      -      -        -        -        -      -            18.3626          29.0467          361.277           15              500
T3   38.1337  90.1017  76.0     11.4095  -        -     -        -        -        -       -        -        -      -      -        -        -        -      -            28.7108          37.3208          84.3402            4              500
T4   34.004   88.2229  76.0     48.0     40.3333  -     -        -        -        -       -        -        -      -      -        -        -        -      -            35.473           39.9353          93.0916            4              500
T5   35.3855  92.137   76.0     48.0     96.0     16.0  -        -        -        -       -        -        -      -      -        -        -        -      -            36.2463          40.0365          142.214            5              500
T6   37.552   90.9531  76.0     48.0     96.0     30.0  13.1426  -        -        -       -        -        -      -      -        -        -        -      -            35.6833          41.0853          117.985            4              500
T7   33.432   88.4869  76.0     48.0     76.0     34.0  12.6306  7.9056   -        -       -        -        -      -      -        -        -        -      -            35.2891          40.4277          325.243            9              500
T8   37.6218  71.4543  76.0     48.0     70.0     32.0  12.875   17.7011  12.2018  -       -        -        -      -      -        -        -        -      -            34.8975          38.7626          194.151            9              500
T9   35.5048  80.2477  76.0     25.6227  60.0     30.0  12.7894  16.4364  19.0776  5.9511  -        -        -      -      -        -        -        -      -            34.6499          39.0233          199.998            7              500
T10  35.407   80.2779  76.0     17.6227  60.0     30.0  11.6766  16.1809  18.9475  6.1846  41.3125  -        -      -      -        -        -        -      -            34.123           39.0245          45.1245            4              58
T11  35.5489  69.575   76.0     46.5714  59.0     34.0  12.925   16.7001  21.1727  5.2294  46.0     10.4423  -      -      -        -        -        -      -            35.2832          40.0519          217.317            6              500
T12  34.3454  73.5722  76.0     44.5714  59.0     30.0  10.3157  16.7419  20.4077  5.3963  44.0     12.7905  2.0    -      -        -        -        -      -            35.0462          39.7273          72.6046            6              78
T13  35.2107  72.585   76.0     42.5714  58.0     30.0  11.9241  16.0954  21.6001  5.949   46.0     12.9115  0.0    32.0   -        -        -        -      -            35.4726          40.3012          59.5027            4              100
T14  35.3849  61.3156  24.0     48.0     58.0     32.0  12.3346  16.2184  21.8221  5.2388  46.0     10.7266  0.0    60.0   23.2291  -        -        -      -            35.2006          41.9724          145.59             4              500
T15  39.0467  65.2764  24.0     48.0     58.0     32.0  11.8157  14.2793  20.9533  5.6944  46.0     13.0397  0.0    62.0   26.4458  12.5869  -        -      -            34.892           42.2432          102.821            4              500
T16  41.6939  73.7612  24.0     22.5873  56.0     32.0  9.8034   16.32    21.9554  5.3075  46.0     12.1585  0.0    62.0   24.7421  16.4703  13.9687  -      -            36.3641          42.3083          181.721            7              500
T17  40.4422  79.3714  34.0     35.954   53.0     38.0  13.7779  16.6787  19.3289  9.8349  46.0     10.1204  2.0    62.0   26.7407  16.9385  27.01    22.0   -            35.3801          40.4625          221.79             6              500
T18  42.0237  80.2633  24.0     33.6667  57.0     26.0  14.2366  19.0771  20.6407  9.7898  46.0     10.7806  0.0    62.0   27.9245  15.5423  30.4771  48.0   18.0777      35.8847          39.4274          191.675            5              500
T19  42.2946  77.3661  24.0     12.7957  59.0     30.0  13.7715  15.5709  22.3493  7.6684  54.0     11.8643  0.0    62.0   25.2752  14.5828  27.0975  52.0   29.116       34.6324          39.8751          227.307            8              500
