      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    46    4    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.9664           32.6            82.1613            4              500
T2    46    0    4.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.563            30.88           168.563            6              500
T3    46    0    0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.6555           30.56           153.81             6              500
T4    48    0    0.0   0.0   28.0  -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.7227           30.96           86.3276            4              500
T5    46    0    0.0   0.0   30.0  0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          23.4286           31.56           191.369            6              500
T6    48    0    0.0   0.0   32.0  0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.958            31.36           90.6666            7              58
T7    50    0    0.0   0.0   30.0  0.0   0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          22.2857           29.88           212.31             9              500
T8    48    0    0.0   0.0   32.0  0.0   0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          21.1092           29.04           96.6168            8              78
T9    46    0    0.0   0.0   30.0  0.0   0.0   0.0   48.0  14.0   -      -      -      -      -      -      -      -      -          22.7227           29.84           80.3261            4              500
T10   46    0    0.0   0.0   20.0  0.0   0.0   0.0   48.0  92.0   76.0   -      -      -      -      -      -      -      -          24.1008           27.36           425.573           12              500
T11   44    4    4.0   0.0   20.0  0.0   0.0   0.0   48.0  92.0   82.0   0.0    -      -      -      -      -      -      -          23.1597           28.28           204.594            8              500
T12   46    0    2.0   0.0   22.0  0.0   0.0   0.0   48.0  92.0   82.0   2.0    2.0    -      -      -      -      -      -          23.2605            28             141.676           11              82
T13   46    0    4.0   0.0   22.0  0.0   0.0   0.0   48.0  70.0   82.0   2.0    62.0   0.0    -      -      -      -      -          22.2185           29.8            153.995            4              500
T14   48    0    2.0   0.0   30.0  0.0   0.0   0.0   48.0  56.0   82.0   4.0    46.0   76.0   0.0    -      -      -      -          13.1765           25.24           379.474           13              500
T15   54    0    0.0   0.0   30.0  0.0   0.0   0.0   48.0  34.0   80.0   4.0    60.0   76.0   0.0    0.0    -      -      -          17.7479           28.64           183.466            6              500
T16   48    0    0.0   0.0   32.0  0.0   0.0   0.0   48.0  30.0   78.0   2.0    62.0   70.0   0.0    0.0    2.0    -      -          18.4874           28.68           194.457            6              500
T17   48    0    0.0   0.0   30.0  0.0   0.0   0.0   48.0  40.0   80.0   2.0    62.0   74.0   0.0    0.0    2.0    20.0   -          20.0672           29.8            61.1145            4              100
T18   48    0    0.0   0.0   28.0  0.0   0.0   0.0   48.0  58.0   82.0   2.0    42.0   68.0   0.0    0.0    4.0    100.0  2.0        20.7731           30.68           332.071           11              500
T19   48    0    8.0   0.0   22.0  0.0   0.0   0.0   46.0  34.0   80.0   4.0    60.0   46.0   0.0    0.0    4.0    100.0  18.0       14.6891           27.36           561.577           15              500
