       T1       T2     T3       T4       T5    T6       T7       T8       T9      T10      T11      T12      T13    T14      T15      T16      T17    T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  ----  -------  -------  -------  ------  -------  -------  -------  -----  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     46     5.5754   -        -        -     -        -        -        -       -        -        -        -      -        -        -        -      -        -            35.814           43.1668          82.1613            4              500
T2     46     13.9325  16.8024  -        -     -        -        -        -       -        -        -        -      -        -        -        -      -        -            36.6617          41.245           168.563            6              500
T3     46     16.5084  29.4121  26.0284  -     -        -        -        -       -        -        -        -      -        -        -        -      -        -            35.9139           41.18           153.81             6              500
T4     48     13.5689  28.8876  29.1285  28.0  -        -        -        -       -        -        -        -      -        -        -        -      -        -            35.9882          41.8037          86.3276            4              500
T5     46     13.1162  29.5087  29.626   30.0  8.4965   -        -        -       -        -        -        -      -        -        -        -      -        -            36.0734          42.1469          191.369            6              500
T6     48     11.0374  29.8381  27.3387  32.0  8.1991   9.941    -        -       -        -        -        -      -        -        -        -      -        -            35.8786          42.0483          90.6666            7              58
T7     50     12.3488  25.187   21.8488  30.0  8.3579   21.1105  11.2641  -       -        -        -        -      -        -        -        -      -        -             35.78           40.2527          212.31             9              500
T8     48     10.4918  22.316   23.7175  32.0  7.9964   14.4382  14.7675  6.8011  -        -        -        -      -        -        -        -      -        -            34.5337          39.1701          96.6168            8              78
T9     46      9.908   16.5572  23.2038  30.0  7.2288   12.8753  14.3345  48.0    13.9111  -        -        -      -        -        -        -      -        -            35.185           40.0798          80.3261            4              500
T10    46     11.7165  22.6881  22.8412  20.0  9.2826   21.7586  10.6462  48.0    92.0     76.0     -        -      -        -        -        -      -        -            36.6317          37.4056          425.573           12              500
T11    44     8.3004   7.6323   22.2374  20.0  9.1625   13.5132  1.3285   48.0    92.0     82.0     39.3024  -      -        -        -        -      -        -            34.7319          38.3363          204.594            8              500
T12    46     11.8823  5.5903   23.2726  22.0  9.9035   18.7382  12.561   48.0    92.0     82.0     45.3864  2.0    -        -        -        -      -        -            36.4931          38.2651          141.676           11              82
T13    46     11.519   8.9417   24.6468  22.0  9.6161   14.9147  10.3655  48.0    70.0     82.0     46.4792  62.0   0.1739   -        -        -      -        -            35.429           39.7068          153.995            4              500
T14   48.6    13.6995  22.7958  27.7437  30.0  10.1082  19.5514  11.1376  48.0    56.0     82.0     50.7694  46.0   93.4375  11.7295  -        -      -        -            27.7051          35.1356          379.474           13              500
T15    54     12.4212  29.534   25.6054  30.0  10.3244  18.0957  13.9712  48.0    34.0     80.0     53.4369  60.0   94.6515  18.0448  14.2281  -      -        -            32.4249          39.6463          183.466            6              500
T16  48.2857  10.8938  28.7123  24.8636  32.0  7.9066   18.1188  14.2822  48.0    30.0     79.0303  52.2223  62.0   88.0575  19.7618  14.8195  2.0    -        -            33.2306          39.5799          194.457            6              500
T17  48.2857  11.5208  28.3681  25.7323  30.0  7.8148   18.3079  13.8269  48.0    40.0     80.0     52.9726  62.0   89.8363  19.7266  15.1459  2.0    39.8889  -            34.7343          40.3932          61.1145            4              100
T18    48     12.3834  26.2433  28.6042  28.0  7.823    17.0711  10.8671  48.0    58.0     82.0     52.7194  42.0   88.2335  22.1977  14.7867  4.0    100.0    17.7024      35.0616          41.0687          332.071           11              500
T19    48     12.0805  20.8059  26.413   22.0  11.0737  19.8749  10.0673  46.0    34.0     80.0     51.927   60.0   78.2223  18.6977  15.3778  4.0    100.0    26.9539      30.3204          37.4104          561.577           15              500
