      T1    T2   T3    T4    T5     T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  -----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    2     6    -     -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.1681           33.32           76.6712            6              82
T2    4     80   52.0  -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          6.9244            21.32           349.009           15              500
T3    2     76   82.0  12.0  -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          17.0084           29.56           274.281           12              500
T4    0     68   82.0  48.0  16.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.0588           31.52           90.6462            4              500
T5    0     72   82.0  48.0  100.0  14.0  -     -     -     -      -      -      -      -      -      -      -      -      -          22.5546           31.76           191.05             7              500
T6    2     72   82.0  48.0  100.0  28.0  0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.4874           32.2            154.752            5              500
T7    0     64   82.0  48.0  100.0  30.0  0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          21.2101           31.36           392.229           13              500
T8    0     38   76.0  40.0  90.0   28.0  0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          18.5882           27.6            383.974           15              500
T9    0     38   80.0  6.0   66.0   32.0  0.0   0.0   0.0   0.0    -      -      -      -      -      -      -      -      -          20.5042           27.52           183.023            6              500
T10   0     38   80.0  4.0   64.0   30.0  0.0   0.0   0.0   0.0    38.0   -      -      -      -      -      -      -      -            20              27.6            51.1825            4              58
T11   0     40   82.0  8.0   70.0   34.0  0.0   0.0   0.0   0.0    44.0   0.0    -      -      -      -      -      -      -          23.4958           29.68           132.473            4              500
T12   0     30   80.0  4.0   60.0   36.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    -      -      -      -      -      -          21.2101           29.2            118.072           10              78
T13   0     36   82.0  6.0   66.0   36.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    34.0   -      -      -      -      -          23.8655           29.24           57.8377            4              100
T14   0     32   38.0  28.0  62.0   36.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    -      -      -      -          23.7983           31.92           132.476            4              500
T15   2     40   34.0  24.0  62.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    0.0    -      -      -          23.8319           31.48           116.079            4              500
T16   0     36   38.0  0.0   60.0   22.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    62.0   0.0    10.0   0.0    -      -          23.4622           30.44           295.349           12              500
T17   4     40   48.0  2.0   78.0   20.0  0.0   0.0   0.0   0.0    50.0   0.0    2.0    62.0   0.0    0.0    14.0   18.0   -          20.5378           29.76           551.881           15              500
T18   4     40   24.0  2.0   58.0   22.0  0.0   0.0   0.0   0.0    54.0   0.0    0.0    6.0    0.0    0.0    18.0   92.0   4.0        22.084            27.2            488.95            13              500
T19   2     36   24.0  0.0   58.0   26.0  0.0   0.0   0.0   0.0    54.0   0.0    0.0    30.0   0.0    0.0    18.0   88.0   0.0        22.2857           28.68           187.82             7              500
