       T1       T2     T3       T4       T5       T6    T7       T8       T9       T10      T11      T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ----  -------  -------  -------  -------  -------  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   41.006   14.6294  -        -        -        -     -        -        -        -        -        -        -      -      -        -        -        -      -            37.4741          43.6424          76.6712            6              82
T2   40.8847  95.2722  52.0     -        -        -     -        -        -        -        -        -        -      -      -        -        -        -      -            21.1441          31.0534          349.009           15              500
T3   43.2984  92.373   82.0     17.7172  -        -     -        -        -        -        -        -        -      -      -        -        -        -      -            30.699           39.7865          274.281           12              500
T4   38.6906  86.6506  82.0     48.0     40.0     -     -        -        -        -        -        -        -      -      -        -        -        -      -            36.396           42.2334          90.6462            4              500
T5   40.6047  87.4052  82.0     48.0     100.0    14.0  -        -        -        -        -        -        -      -      -        -        -        -      -            35.9664          42.4189          191.05             7              500
T6   43.1307  88.5242  82.0     48.0     100.0    28.0  14.794   -        -        -        -        -        -      -      -        -        -        -      -            35.6769          42.8146          154.752            5              500
T7   40.0643  86.6521  82.0     48.0     100.0    30.0  13.1182  11.3191  -        -        -        -        -      -      -        -        -        -      -            35.2128          41.7979          392.229           13              500
T8   40.7716  67.5903  76.3333  41.2273  91.8     28.0  13.8256  23.0469  11.2469  -        -        -        -      -      -        -        -        -      -            32.9343          38.0804          383.974           15              500
T9   39.0676  60.2031  80.0615  16.6766  66.5714  32.0  16.6089  21.8132  22.0976  7.0362   -        -        -      -      -        -        -        -      -            34.9014          37.9755          183.023            6              500
T10  39.0676  62.7588  80.0615  15.9241  64.5714  30.0  16.659   22.0637  22.0976  6.6913   39.1769  -        -      -      -        -        -        -      -            34.2417          38.0073          51.1825            4              58
T11  39.0309  55.7798  82.0     16.5193  70.0     34.0  16.3701  22.334   21.5433  6.5702   44.0     12.8046  -      -      -        -        -        -      -            37.1834          39.9869          132.473            4              500
T12  36.6914  49.804   80.0615  16.9986  60.0     36.0  11.4701  20.9256  22.2357  6.9566   46.0     14.4949  2.0    -      -        -        -        -      -            34.2694          39.2227          118.072           10              78
T13  37.8885  55.0432  82.0     20.3433  68.0     36.0  11.8617  21.2726  22.4969  6.4968   46.0     15.2945  2.0    34.0   -        -        -        -      -            37.1499          39.362           57.8377            4              100
T14  38.6754  47.4085  38.0     31.8159  64.0     36.0  11.9608  21.1269  22.1091  6.5516   46.0     15.0739  0.0    62.0   26.1159  -        -        -      -            36.3244          42.0445          132.476            4              500
T15  40.3161  53.8516  34.0     26.127   64.0     32.0  14.9482  20.6573  22.0968  6.7217   46.0     14.8354  0.0    62.0   28.364   13.3447  -        -      -            36.3879          41.8551          116.079            4              500
T16  41.7443  58.2623  38.0     13.4861  60.0     22.0  12.9132  19.6562  22.8323  6.2142   46.0     12.3772  2.0    62.0   27.7275  19.3045  13.5913  -      -            36.9892          40.4421          295.349           12              500
T17  44.7669  75.6872  48.0     8.9146   81.0     20.0  10.7669  23.7411  15.6558  10.085   50.0     9.458    2.0    62.0   29.9551  12.5366  22.5497  18.0   -            35.1605          40.3532          551.881           15              500
T18  46.0825  72.5175  24.0     2.0      59.0     22.0  14.0133  22.7475  13.6499  10.2295  54.0     12.414   0.0    6.0    28.7208  13.4987  26.6042  92.0   8.9489       36.1771          37.9421          488.95            13              500
T19  43.7625  70.1732  24.0     5.7388   60.0     26.0  13.2314  22.1418  17.2124  8.6337   54.0     13.6737  0.0    30.0   26.0756  16.3887  26.3423  88.0   30.8268      35.6489          39.9056          187.82             7              500
