      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50    20   -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.395            31.48           181.831            9              500
T2    44    18   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.6555           30.76           242.202            9              500
T3    42    34   0.0   8.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.7227           31.92           119.117            5              500
T4    54    30   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          21.7143           31.04           148.243            6              500
T5    50    32   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          21.1429           30.52           164.958            6              500
T6    48    32   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          17.9832           29.8            106.483           12              58
T7    46    28   0.0   0.0   0.0   0.0   22.0  2.0   -     -      -      -      -      -      -      -      -      -      -          18.3866           29.92           192.949            6              500
T8    46    12   0.0   0.0   0.0   0.0   22.0  48.0  8.0   -      -      -      -      -      -      -      -      -      -          22.0168           31.2            112.16             4              500
T9    46    24   0.0   2.0   0.0   0.0   24.0  48.0  82.0  0.0    -      -      -      -      -      -      -      -      -          5.3445            19.04           333.938           12              500
T10   68    20   0.0   0.0   0.0   0.0   20.0  48.0  74.0  0.0    0.0    -      -      -      -      -      -      -      -          12.4706           24.28           180.436            7              500
T11   50    22   0.0   2.0   0.0   0.0   12.0  48.0  58.0  0.0    92.0   0.0    -      -      -      -      -      -      -          17.9496           23.96           501.496           15              500
T12   52    22   0.0   0.0   0.0   0.0   16.0  48.0  48.0  0.0    92.0   0.0    0.0    -      -      -      -      -      -          17.042            23.28            67.75             7              78
T13   54    22   0.0   0.0   0.0   0.0   4.0   48.0  42.0  0.0    92.0   0.0    0.0    0.0    -      -      -      -      -          13.9496           22.6            159.392            5              500
T14   48    22   0.0   0.0   0.0   0.0   8.0   48.0  36.0  0.0    66.0   0.0    0.0    62.0   2.0    -      -      -      -          18.6218           28.2            134.469            4              500
T15   48    22   0.0   0.0   0.0   0.0   6.0   48.0  32.0  0.0    56.0   0.0    0.0    62.0   2.0    0.0    -      -      -          18.4202           27.04           115.148           11              82
T16   44    24   0.0   0.0   0.0   0.0   6.0   48.0  38.0  0.0    64.0   0.0    0.0    62.0   2.0    0.0    0.0    -      -          20.437            28.04           45.2406            4              100
T17   44    28   0.0   2.0   0.0   0.0   6.0   48.0  44.0  0.0    52.0   0.0    0.0    62.0   2.0    0.0    0.0    58.0   -          21.3445           27.56           151.786            5              500
T18   46    26   0.0   2.0   0.0   0.0   12.0  48.0  46.0  0.0    64.0   0.0    0.0    44.0   2.0    0.0    0.0    82.0   2.0        20.6723           27.48           176.811            6              500
T19   46    24   0.0   0.0   0.0   0.0   14.0  48.0  58.0  0.0    62.0   0.0    0.0    44.0   2.0    0.0    0.0    78.0   100.0      21.2437           27.24           279.658            9              500
