       T1      T2   T3       T4       T5       T6       T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  ----  -------  -------  -------  -------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     50      20   -        -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.6515          42.2531          181.831            9              500
T2     44      18   27.688   -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          33.8828          41.1374          242.202            9              500
T3     42      34   23.5645  19.03    -        -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.0845          42.7784          119.117            5              500
T4     54      30   24.3744  30.1741  11.2208  -        -        -       -        -        -       -        -        -      -        -      -        -      -          34.1195           42.19           148.243            6              500
T5     50      32   26.3054  26.4985  23.7095  7.4612   -        -       -        -        -       -        -        -      -        -      -        -      -          33.649           41.2249          164.958            6              500
T6     48      32   23.9734  28.6944  24.0036  10.4912  8.8894   -       -        -        -       -        -        -      -        -      -        -      -          30.3705          40.4002          106.483           12              58
T7     46      28   24.0967  29.3952  21.6929  8.9831   28.1918  6.4112  -        -        -       -        -        -      -        -      -        -      -          32.5091          40.7788          192.949            6              500
T8     46      12   24.0711  29.1967  22.3293  10.074   28.5464  48.0    28.2903  -        -       -        -        -      -        -      -        -      -          35.4804          41.8426          112.16             4              500
T9   46.1783   24   25.0236  24.6837  14.8219  11.9286  30.5908  48.0    96.4379  18.6232  -       -        -        -      -        -      -        -      -          19.624           28.3113          333.938           12              500
T10    68      20   22.8336  24.5829  16.0052  10.7847  27.6836  48.0    91.2608  18.7442  0.9747  -        -        -      -        -      -        -      -          26.6546          34.5224          180.436            7              500
T11    50      22   23.4307  13.344   17.0179  8.3884   21.311   48.0    81.1095  17.2161  92.0    11.6964  -        -      -        -      -        -      -          31.5877          34.5611          501.496           15              500
T12    52      22   21.0458  23.6234  18.1323  8.734    23.1411  48.0    72.0997  15.5296  92.0    14.7019  15.136   -      -        -      -        -      -          31.0935          34.0319           67.75             7              78
T13    54      22   22.0632  23.4719  13.892   9.1092   22.5333  48.0    72.1121  12.3943  92.0    14.2429  13.9073  0.0    -        -      -        -      -          28.3358          34.0233          159.392            5              500
T14    48      22   21.5901  23.4492  12.8556  6.8265   26.055   48.0    54.2535  11.431   66.0    12.9482  13.4805  62.0   34.3246  -      -        -      -          31.8548          38.7727          134.469            4              500
T15    48      22   23.7015  25.8707  14.822   7.1625   24.2364  48.0    55.8601  14.2333  56.0    14.3713  13.6918  62.0   44.5441  0.0    -        -      -          32.2968          37.7756          115.148           11              82
T16    44      24   24.383   25.6062  16.1545  7.7299   25.3144  48.0    62.4109  14.8031  64.0    13.9536  15.9053  62.0   51.7696  0.0    11.8953  -      -          34.5288          38.8006          45.2406            4              100
T17    44      28   25.5999  11.8857  23.3833  8.7949   22.457   48.0    70.1367  16.6674  52.0    14.7355  13.6995  62.0   51.844   0.0    14.5753  58.0   -          35.6752          38.1298          151.786            5              500
T18    46      26   26.6215  5.3323   10.1029  7.942    23.635   48.0    60.257   18.1709  64.0    8.8553   14.1455  44.0   51.8386  0.0    15.9207  82.0   42.0       33.7415          37.7942          176.811            6              500
T19    46      24   27.2112  18.9807  14.5716  6.5885   24.4792  48.0    71.8128  19.1914  62.0    8.0734   12.2418  44.0   51.979   0.0    15.5491  82.0   100.0      33.9478          37.4947          279.658            9              500
