       T1       T2     T3       T4       T5       T6       T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  -------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     56       30     -        -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -            35.5856          42.0082          126.225            5              500
T2     44       32     28.1713  -        -        -        -        -       -        -        -       -        -        -      -        -      -        -      -            35.3497          42.3839          176.329            6              500
T3     46       32     25.3579  18.6967  -        -        -        -       -        -        -       -        -        -      -        -      -        -      -            34.7761          42.2098          377.553           15              500
T4     50       32     25.4872  28.8056  10.4315  -        -        -       -        -        -       -        -        -      -        -      -        -      -            33.2925          41.6477          157.637            6              500
T5     50       32     25.5622  24.4996  28.2213  6.6581   -        -       -        -        -       -        -        -      -        -      -        -      -            31.3459          39.0146          437.565           15              500
T6     50     16.7972  23.8708  24.6334  23.2683  8.8687   10.9408  -       -        -        -       -        -        -      -        -      -        -      -            28.025           38.6623          173.468           15              58
T7     50     28.5714  29.2859  28.4017  24.2697  10.9301  26.4729  7.7831  -        -        -       -        -        -      -        -      -        -      -            31.2991          38.0829          262.578            8              500
T8     48       32     27.5906  22.621   22.8781  10.9005  26.1806  48.0    29.6373  -        -       -        -        -      -        -      -        -      -            35.4991          40.6917          104.048            4              500
T9   40.3642   28.08   25.8233  21.9629  13.6245  10.5393  30.9414  48.0    96.2848  18.9883  -       -        -        -      -        -      -        -      -            19.7488          26.8554          447.019           15              500
T10    62       32     22.7006  6.2018   14.5573  9.1172   28.7572  48.0    88.6882  25.8951  0.7857  -        -        -      -        -      -        -      -            27.1424          34.0613          429.365           15              500
T11    52       30     23.5229  6.3323   15.1287  10.2577  27.4389  48.0    78.245   22.3639  92.0    11.8489  -        -      -        -      -        -      -            32.1953          35.8212          465.202           13              500
T12  56.0588    32     22.9738  18.3811  16.9719  9.2999   28.5039  48.0    80.2637  21.5777  92.0    13.693   14.8431  -      -        -      -        -      -            30.6903          35.5379          88.6159            7              78
T13    54     5.2726   23.0888  19.5962  9.0391   10.3136  25.0187  4.938   61.4429  19.7131  90.0    13.0574  13.8321  1.0    -        -      -        -      -            27.8793          34.7507          339.578            9              500
T14    46       32     23.2056  19.2286  10.5795  9.4617   20.56    0.0     42.0805  20.361   36.0    11.813   13.9309  60.0   37.7187  -      -        -      -            30.5168          38.2865          195.101            5              500
T15    46     30.3333  22.5237  23.5883  10.9402  8.3262   21.1079  0.0     47.8677  22.3638  34.0    14.9398  13.2236  60.0   47.7523  0.0    -        -      -            30.9235          38.1569          98.9988            8              82
T16    46       32     25.7152  14.6948  11.2394  7.2309   22.0487  18.0    58.5273  21.9381  34.0    13.5267  12.8211  58.0   51.2249  0.0    12.1207  -      -            32.3048          39.1184          64.9896            4              100
T17    46       32     26.0203  14.094   23.1607  5.5724   19.3409  5.4587  75.7513  13.4679  32.0    11.6284  13.9668  60.0   50.1222  0.0    15.3271  24.0   -            33.7207          37.9594          263.639            8              500
T18    46       32     25.8152  5.3323   14.0726  6.2175   24.7414  2.0     59.8069  10.531   34.0    9.299    12.7988  40.0   50.1279  0.0    16.7483  82.0   43.3333      34.1044          37.6733          217.986            6              500
T19    48       32     27.6034  13.4482  19.7082  8.6211   27.478   36.0    74.7343  13.857   36.0    8.2095   13.2201  38.0   51.6897  4.0    17.255   82.0   100.0        32.9073          37.4286          262.275            7              500
