       T1      T2   T3       T4       T5       T6      T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  ----  -------  -------  -------  ------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     50      20   -        -        -        -       -        -       -        -        -       -        -        -      -        -      -        -      -          34.0877          41.8779          181.831            9              500
T2     44      18   26.4168  -        -        -       -        -       -        -        -       -        -        -      -        -      -        -      -          33.3414          40.7921          242.202            9              500
T3     42      34   23.5645  19.03    -        -       -        -       -        -        -       -        -        -      -        -      -        -      -          33.3128          42.3936          119.117            5              500
T4     54      30   23.8001  29.3425  11.2208  -       -        -       -        -        -       -        -        -      -        -      -        -      -          33.396           41.7492          148.243            6              500
T5     50      32   25.5762  25.4394  22.6163  6.629   -        -       -        -        -       -        -        -      -        -      -        -      -          32.7822          40.8298          164.958            6              500
T6     48      32   23.9734  27.7586  22.9104  9.7854  8.6989   -       -        -        -       -        -        -      -        -      -        -      -          29.4576          40.0158          106.483           12              58
T7     46      28   23.5633  28.2882  20.7075  6.9175  28.0179  6.4112  -        -        -       -        -        -      -        -      -        -      -          31.4135          40.2814          192.949            6              500
T8     46      12   23.5377  28.0897  21.3438  8.5114  27.9633  48.0    26.4658  -        -       -        -        -      -        -      -        -      -          34.5108          41.3463          112.16             4              500
T9   46.1783   24   23.9872  23.6524  14.381   8.8169  30.2264  48.0    96.4379  16.0245  -       -        -        -      -        -      -        -      -          18.379           27.8399          333.938           12              500
T10    68      20   21.0521  23.4759  15.3339  8.2132  27.5097  48.0    91.1114  17.0268  0.9747  -        -        -      -        -      -        -      -          25.5802          34.007           180.436            7              500
T11    50      22   22.5555  13.344   15.8134  7.0754  20.9632  48.0    80.7961  15.9562  92.0    10.16    -        -      -        -      -        -      -          30.7558          34.0512          501.496           15              500
T12    52      22   20.8497  22.2718  16.508   7.2191  22.9672  48.0    71.7094  12.7732  92.0    12.6939  14.1857  -      -        -      -        -      -          30.0745          33.5592           67.75             7              78
T13    54      22   21.5079  22.0187  13.0471  7.9656  22.0455  48.0    70.9128  10.8829  92.0    12.4558  13.9073  0.0    -        -      -        -      -          27.3036          33.5481          159.392            5              500
T14    48      22   21.2824  22.0358  11.7185  5.9041  25.5051  48.0    53.7294  9.3183   66.0    11.3738  13.4805  62.0   32.4201  -      -        -      -          30.9504          38.3024          134.469            4              500
T15    48      22   22.8938  24.9584  13.2316  6.1099  23.5409  48.0    55.251   12.251   56.0    12.6056  13.6918  62.0   42.8845  0.0    -        -      -           31.24           37.3423          115.148           11              82
T16    44      24   23.5753  24.6939  14.8898  6.6837  24.6466  48.0    61.8923  12.5986  64.0    12.5595  15.4371  62.0   50.5305  0.0    11.4324  -      -          33.4699          38.3408          45.2406            4              100
T17    44      28   24.1139  11.4676  22.268   8.0086  21.8633  48.0    69.0201  15.6099  52.0    12.8609  13.4495  62.0   50.5996  0.0    14.2248  58.0   -          34.5714          37.7571          151.786            5              500
T18    46      26   24.6776  5.3323   9.6214   7.1556  23.1895  48.0    60.004   16.9781  64.0    8.1523   13.4868  44.0   50.263   0.0    15.3745  82.0   42.0       32.7752          37.3868          176.811            6              500
T19    46      24   25.3249  18.73    13.902   5.4954  24.3053  48.0    71.42    17.8259  62.0    7.7163   11.2049  44.0   50.9636  0.0    15.0101  82.0   100.0      33.0036          37.0199          279.658            9              500
