       T1       T2     T3       T4       T5       T6      T7       T8      T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  ------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     56       30     -        -        -        -       -        -       -        -        -       -        -        -      -        -      -        -      -            34.9291          41.6077          126.225            5              500
T2     44       32     26.8142  -        -        -       -        -       -        -        -       -        -        -      -        -      -        -      -            34.7824          42.0061          176.329            6              500
T3     46       32     25.0087  18.6967  -        -       -        -       -        -        -       -        -        -      -        -      -        -      -            33.9445          41.8749          377.553           15              500
T4     50       32     24.9434  27.8574  10.4315  -       -        -       -        -        -       -        -        -      -        -      -        -      -            32.5009          41.2033          157.637            6              500
T5     50       32     24.5973  23.0593  27.0926  5.7893  -        -       -        -        -       -        -        -      -        -      -        -      -            30.5322          38.6265          437.565           15              500
T6     50     16.7972  23.5375  23.469   22.2053  7.7791  10.759   -       -        -        -       -        -        -      -        -      -        -      -            27.2127          38.2459          173.468           15              58
T7     50     28.5714  28.6449  26.9531  23.0134  8.7728  26.299   7.3273  -        -        -       -        -        -      -        -      -        -      -            30.1981          37.5637          262.578            8              500
T8     48       32     26.9496  21.387   21.4621  9.3833  26.0067  48.0    27.4922  -        -       -        -        -      -        -      -        -      -            34.5116          40.1409          104.048            4              500
T9   40.3642   28.08   25.2128  21.4412  12.7755  8.3522  30.4031  48.0    96.2848  16.58    -       -        -        -      -        -      -        -      -            18.4969          26.3585          447.019           15              500
T10    62       32     21.0238  6.2018   14.0735  7.3928  28.4233  48.0    88.3599  24.5819  0.7857  -        -        -      -        -      -        -      -            26.0675          33.4956          429.365           15              500
T11    52       30     21.7671  6.3323   13.7251  8.7072  27.0911  48.0    77.84    21.1914  92.0    10.3932  -        -      -        -      -        -      -            31.3403          35.3164          465.202           13              500
T12  56.0588    32     21.7258  17.7248  16.3519  7.6288  28.33    48.0    79.457   20.3753  92.0    12.2842  13.2468  -      -        -      -        -      -            29.7462          35.0225          88.6159            7              78
T13    54     5.2726   22.5145  18.4111  8.0273   9.6166  24.0409  4.938   60.5542  18.7007  90.0    11.7686  13.6416  1.0    -        -      -        -      -            26.8561          34.2802          339.578            9              500
T14    46       32     22.6312  18.0159  9.798    8.465   20.2322  0.0     40.9537  19.1795  36.0    10.5758  13.9309  60.0   35.6991  -      -        -      -            29.6263          37.8099          195.101            5              500
T15    46     30.3333  21.966   22.6603  10.2021  7.3974  20.7802  0.0     47.0925  20.9985  34.0    13.234   13.2236  60.0   46.3073  0.0    -        -      -            29.9194          37.6601          98.9988            8              82
T16    46       32     25.1575  14.1676  10.5813  6.3032  21.721   18.0    57.8995  20.9444  34.0    12.1475  12.6307  58.0   49.8055  0.0    11.9607  -      -            31.3186          38.6161          64.9896            4              100
T17    46       32     24.7949  12.5566  21.3005  5.3393  19.0003  5.4587  74.8384  13.4679  32.0    11.3684  13.4234  60.0   48.4706  0.0    15.0918  24.0   -            32.6883          37.4427          263.639            8              500
T18    46       32     24.7544  5.3323   12.733   5.7329  24.1936  2.0     59.4409  10.531   34.0    8.8056   12.0582  40.0   48.6668  0.0    16.513   82.0   43.3333      33.1175          37.1249          217.986            6              500
T19    48       32     26.2278  13.3192  19.4412  7.4388  27.3041  36.0    74.0211  12.4915  36.0    7.5736   12.5638  38.0   50.1038  4.0    17.0197  82.0   100.0        32.0137          36.8887          262.275            7              500
