      T1     T2     T3       T4       T5    T6       T7       T8       T9       T10      T11      T12      T13      T14      T15      T16      T17    T18      T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    48   9.3613   -        -        -     -        -        -        -        -        -        -        -        -        -        -        -      -        -            34.8984          42.4713          183.972            8              500
T2    44   14.8892  19.0654  -        -     -        -        -        -        -        -        -        -        -        -        -        -      -        -            36.4078          40.5472          115.779            5              500
T3    50   17.2546  29.7982  26.5618  -     -        -        -        -        -        -        -        -        -        -        -        -      -        -            35.9923          41.6082          121.865            5              500
T4    46   11.2918  28.4809  26.288   26.0  -        -        -        -        -        -        -        -        -        -        -        -      -        -            35.8422          41.2296          94.3778            4              500
T5    46   10.7575  29.3932  27.2611  28.0  8.5771   -        -        -        -        -        -        -        -        -        -        -      -        -            35.6433          42.7049          109.587            4              500
T6    48   9.9313   29.0088  24.03    28.0  10.6094  15.8865  -        -        -        -        -        -        -        -        -        -      -        -            34.1696          40.2276          141.727           14              58
T7    46   18.3188  23.8957  22.1197  28.0  6.9718   20.2615  12.1565  -        -        -        -        -        -        -        -        -      -        -            33.7166          39.6663          347.588           14              500
T8    46   14.8387  23.6117  24.6456  34.0  7.7704   20.0147  13.2797  4.8373   -        -        -        -        -        -        -        -      -        -            31.3107          37.947           77.1607            7              78
T9    46   11.1873  7.4607   23.8015  34.0  7.0763   19.4242  14.2076  48.0     10.4444  -        -        -        -        -        -        -      -        -            35.2921          39.6804          103.779            4              500
T10   44   10.6715  16.2238  23.3671  20.0  8.3577   21.0593  11.1773  48.0     92.0     76.0     -        -        -        -        -        -      -        -            35.982           37.4187          290.915            9              500
T11   46   5.5908   5.3323   23.4121  22.0  8.8617   20.9176  5.0775   48.0     90.0     82.0     43.8872  -        -        -        -        -      -        -            33.8063          38.074           185.682            7              500
T12   46   12.6007  5.3323   24.1327  24.0  8.6302   22.2088  12.5631  48.0     90.0     82.0     47.9008  6.0      -        -        -        -      -        -            36.1778          38.599           72.5425            7              82
T13   46   13.819   9.1004   25.3526  22.0  9.0347   16.6978  10.0351  48.0     62.0     80.0     47.5791  62.0     0.1739   -        -        -      -        -            34.3952          40.5402          135.917            4              500
T14   52   13.8033  16.6877  28.0447  28.0  10.4654  20.9166  10.7341  48.0     30.0     80.0     42.2444  64.0     95.7402  13.2763  -        -      -        -            25.9174          33.0806          455.807           15              500
T15   46   12.7801  18.8472  26.0898  32.0  9.1913   19.323   15.3625  42.5143  26.0     82.0     44.1321  58.6667  88.8893  28.8578  9.8324   -      -        -            31.4645          40.738           470.575           15              500
T16   48   12.3809  20.7075  29.1056  24.0  8.8196   19.6658  14.1298  38.0476  32.0     43.2082  44.4201  62.0     82.7328  22.6146  16.3974  2.0    -        -            31.0706          39.1195          234.149            7              500
T17   46   12.4737  23.7319  28.9979  26.0  9.4495   21.3874  12.1905  41.8254  30.0     82.0     45.8715  60.0     83.2514  18.9556  15.975   2.0    41.1667  -            34.2622          40.1972          49.7495            4              100
T18   46   11.952   20.7844  29.9066  20.0  7.5372   19.179   10.4536  37.1429  42.0     76.0     41.9312  46.0     84.4159  16.3748  8.089    4.0    100.0    16.2901      33.3699          41.0521          350.106           11              500
T19   46   13.1394  20.4863  29.3502  22.0  9.8367   20.9031  9.0825   34.0     38.0     78.0     43.1801  60.0     88.4834  16.8531  13.0992  4.0    100.0    26.1393       30.39           39.3742          154.447            4              500
