      T1    T2   T3    T4    T5     T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  -----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    2     6    -     -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.1345           33.44           47.3089            5              82
T2    4     82   32.0  -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          3.2605            14.96           374.96            15              500
T3    2     78   82.0  6.0   -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          14.5546           27.6            210.81             9              500
T4    0     74   82.0  48.0  16.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.2605           30.2            95.1889            4              500
T5    2     72   82.0  48.0  100.0  14.0  -     -     -     -      -      -      -      -      -      -      -      -      -          22.521            30.92           237.598            9              500
T6    2     68   82.0  48.0  100.0  16.0  0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.8908           31.32           112.878            4              500
T7    2     66   82.0  48.0  100.0  28.0  0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          21.3782           30.32           237.894            8              500
T8    2     40   82.0  46.0  96.0   32.0  0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          19.6975           28.12           249.522           10              500
T9    2     52   82.0  8.0   100.0  32.0  0.0   0.0   0.0   0.0    -      -      -      -      -      -      -      -      -          20.7731           28.08           143.024            5              500
T10   2     44   82.0  6.0   100.0  32.0  0.0   0.0   0.0   0.0    34.0   -      -      -      -      -      -      -      -          17.9496           26.88           157.728           15              58
T11   2     40   82.0  24.0  100.0  34.0  0.0   0.0   0.0   0.0    46.0   0.0    -      -      -      -      -      -      -          22.6218            29             196.229            6              500
T12   2     32   82.0  32.0  100.0  32.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    -      -      -      -      -      -          21.7143           28.72           55.2804            6              78
T13   2     40   82.0  20.0  100.0  34.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    34.0   -      -      -      -      -          23.9664           29.04           41.8452            4              100
T14   2     32   64.0  48.0  100.0  34.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    60.0   0.0    -      -      -      -          23.6975           30.68           133.346            4              500
T15   2     46   64.0  48.0  100.0  32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    60.0   0.0    2.0    -      -      -          23.4958           30.6            102.175            4              500
T16   2     42   62.0  0.0   98.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    6.0    0.0    -      -          24.0672           30.24           189.175            7              500
T17   4     48   80.0  4.0   100.0  32.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    62.0   0.0    4.0    16.0   22.0   -          21.3445           30.44           335.986           10              500
T18   4     36   24.0  16.0  88.0   34.0  0.0   0.0   0.0   0.0    44.0   0.0    0.0    4.0    0.0    4.0    24.0   92.0   4.0        21.9832           27.88           415.608           12              500
T19   2     30   24.0  16.0  96.0   32.0  0.0   0.0   0.0   0.0    56.0   0.0    2.0    18.0   0.0    2.0    20.0   92.0   0.0        22.6555           29.24           152.115            5              500
