      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    60    14   -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.4622           31.76           100.626            5              500
T2    46    22   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.6639           31.36           123.962            8              500
T3    44    30   0.0   8.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.563            32.04           41.7657            5              500
T4    50    32   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          22.5882           31.64           62.2536            6              500
T5    46    32   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          21.4118           30.2            176.635           10              500
T6    50    30   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          18.4874           30.32           122.619           15              58
T7    48    28   0.0   0.0   0.0   0.0   18.0  0.0   -     -      -      -      -      -      -      -      -      -      -          18.3866           29.52           167.034            9              500
T8    46    32   0.0   0.0   0.0   0.0   18.0  48.0  4.0   -      -      -      -      -      -      -      -      -      -          21.9832           31.04           46.1472            4              500
T9    52    30   0.0   0.0   0.0   0.0   18.0  48.0  60.0  0.0    -      -      -      -      -      -      -      -      -          16.2353           27.52           99.7312            8              500
T10   56    30   0.0   2.0   0.0   0.0   22.0  48.0  58.0  0.0    0.0    -      -      -      -      -      -      -      -          16.1008           26.12           132.15            11              500
T11   56    22   0.0   2.0   0.0   0.0   18.0  48.0  42.0  0.0    92.0   0.0    -      -      -      -      -      -      -          19.9328           25.52           262.37            15              500
T12   56    20   0.0   0.0   0.0   0.0   20.0  48.0  38.0  0.0    92.0   0.0    0.0    -      -      -      -      -      -          18.4874           24.08           77.464             9              78
T13   54    10   0.0   0.0   0.0   0.0   6.0   26.0  14.0  0.0    92.0   0.0    0.0    0.0    -      -      -      -      -          14.8571           22.32           132.651            8              500
T14   46    34   0.0   0.0   0.0   0.0   4.0   20.0  2.0   0.0    70.0   0.0    0.0    62.0   0.0    -      -      -      -          18.1849           28.6            73.7469            4              500
T15   46    32   0.0   0.0   0.0   0.0   4.0   32.0  4.0   0.0    68.0   0.0    0.0    62.0   2.0    0.0    -      -      -          17.6134           27.76           81.1654            9              82
T16   44    36   0.0   0.0   0.0   0.0   6.0   48.0  14.0  0.0    68.0   0.0    0.0    62.0   2.0    0.0    0.0    -      -          18.8571           28.24           37.2829            4              100
T17   46    34   0.0   0.0   0.0   0.0   6.0   14.0  20.0  0.0    62.0   0.0    0.0    62.0   2.0    0.0    0.0    68.0   -          20.8739           28.12           79.653             7              500
T18   46    38   0.0   2.0   0.0   0.0   14.0  46.0  24.0  0.0    64.0   0.0    0.0    40.0   2.0    0.0    0.0    80.0   16.0       20.7395           28.24           107.662            8              500
T19   46    30   0.0   2.0   0.0   0.0   16.0  48.0  36.0  0.0    60.0   0.0    0.0    42.0   2.0    2.0    0.0    82.0   100.0      21.2437           28.96           139.102            9              500
