       T1       T2     T3       T4       T5       T6      T7       T8      T9       T10      T11    T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  ------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1     52       28     -        -        -        -       -        -       -        -        -      -        -        -      -        -      -        -      -          34.1865          42.1894          112.419            6              500
T2     48       26     26.9834  -        -        -       -        -       -        -        -      -        -        -      -        -      -        -      -          34.2141          41.2993          98.4094            5              500
T3     46       30     22.7597  18.6967  -        -       -        -       -        -        -      -        -        -      -        -      -        -      -          34.2946          42.0592          62.3104            6              500
T4     56       32     24.6232  28.3098  12.1541  -       -        -       -        -        -      -        -        -      -        -      -        -      -          34.2852          41.8468          102.247            7              500
T5     54       32     23.8604  22.7807  26.4109  5.8821  -        -       -        -        -      -        -        -      -        -      -        -      -          32.2013          39.8336          227.027           15              500
T6     54       32     23.3247  24.103   26.2106  6.16    11.9432  -       -        -        -      -        -        -      -        -      -        -      -          31.2083          40.5663          59.4865            6              58
T7   52.2105  25.2434  25.7124  28.2643  21.2263  9.6765  26.2918  6.0173  -        -        -      -        -        -      -        -      -        -      -          32.0264          40.3427          169.198            9              500
T8     46       26     24.5599  29.0339  21.4373  9.3074  24.3102  48.0    36.538   -        -      -        -        -      -        -      -        -      -          34.7375          41.9172          50.4377            4              500
T9     62       32     26.9262  27.768   19.4026  9.1677  25.8876  48.0    86.9454  12.0896  -      -        -        -      -        -      -        -      -          26.4533          35.5483          111.737            9              500
T10    58       30     23.8468  25.099   17.9811  8.1273  22.9882  48.0    82.7619  16.7333  0.5    -        -        -      -        -      -        -      -          29.211           37.4593          95.2321            9              500
T11    56       22     22.5221  20.1413  14.269   7.429   26.3946  48.0    76.0205  17.1848  92.0   10.5231  -        -      -        -      -        -      -          33.6325          35.6397          265.099           15              500
T12    62       22     22.0671  23.2666  16.0889  7.0665  31.4297  48.0    70.4809  17.6409  92.0   12.1492  14.2752  -      -        -      -        -      -          31.9845          34.779           94.4137            9              78
T13    54       26     22.3187  21.1603  11.6474  6.4169  18.5799  30.0    64.5462  15.2182  92.0   13.4684  13.6852  0.8    -        -      -        -      -          29.0306          34.6391          117.868            7              500
T14    48       24     23.9631  23.7115  10.9469  6.7933  20.3161  22.0    30.0     17.1792  52.0   11.8239  12.6352  62.0   34.1825  -      -        -      -          31.0373          39.2262          68.1435            4              500
T15    46       26     23.8828  23.7001  12.5541  6.9418  24.0513  48.0    39.3015  13.2484  46.0   13.172   13.1811  62.0   44.7108  0.0    -        -      -          30.2533          38.2861          129.924           15              82
T16    44       32     23.4103  24.4685  12.3877  6.6547  21.9168  48.0    44.834   16.4913  48.0   14.19    12.9491  62.0   50.8927  0.0    12.7431  -      -          31.8132          38.7518          37.9053            4              100
T17    44       34     24.492   17.8821  22.7911  6.1464  21.1389  3.5714  52.1586  14.0406  38.0   12.2919  13.8905  62.0   49.638   0.0    14.2113  72.0   -          33.8816          38.6564          86.4066            7              500
T18    46       24     24.7152  5.3323   11.2353  6.0994  20.2676  10.0    53.6972  14.868   70.0   7.4364   14.8135  40.0   53.0127  2.0    14.509   82.0   42.0       31.9953          38.5352          132.652           10              500
T19    48       26     24.948   23.7605  9.6158   5.9178  25.8383  42.0    57.5638  17.2851  74.0   7.9909   13.2836  40.0   52.4057  6.0    15.7336  84.0   100.0      31.7539          38.2652          140.167            9              500
