       T1       T2     T3       T4       T5    T6       T7       T8       T9      T10      T11    T12      T13    T14      T15      T16      T17    T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  ----  -------  -------  -------  ------  -------  -----  -------  -----  -------  -------  -------  -----  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     46      5.042   -        -        -     -        -        -        -       -        -      -        -      -        -        -        -      -      -            36.0062          42.9319          68.1238            4              500
T2     46     13.0333  16.9403  -        -     -        -        -        -       -        -      -        -      -        -        -        -      -      -            36.619           40.2238          105.472            8              500
T3     46     13.1963  28.7458  26.1555  -     -        -        -        -       -        -      -        -      -        -        -        -      -      -            35.7466          41.5644          118.901            9              500
T4     46     14.9752  28.5115  27.9697  28.0  -        -        -        -       -        -      -        -      -        -        -        -      -      -            36.0499          41.9715          46.6307            4              500
T5     46     15.4674  29.3157  28.1596  36.0  10.3348  -        -        -       -        -      -        -      -        -        -        -      -      -            36.1988          41.9316          89.2277            5              500
T6     46     17.1563  29.5048  26.6453  34.0  9.9145   6.5429   -        -       -        -      -        -      -        -        -        -      -      -            36.1732          41.5683          56.371             5              58
T7     48     16.0826  22.6711  21.4638  26.0  8.5985   21.6567  12.5468  -       -        -      -        -      -        -        -        -      -      -            36.0485          40.6635          149.184           12              500
T8     50     16.7522  23.6375  25.1653  30.0  8.8062   14.5108  15.4627  6.0472  -        -      -        -      -        -        -        -      -      -            34.5049          39.0432          137.548           12              78
T9     46     12.2101  19.1852  24.2047  26.0  8.924    10.0774  14.4133  48.0    13.9111  -      -        -      -        -        -        -      -      -            35.7227          39.7419          46.0294            4              500
T10    44     16.5927  23.4919  23.4335  22.0  9.5852   18.9506  12.7333  48.0    88.0     76.0   -        -      -        -        -        -      -      -            36.8179          38.2563          226.336           11              500
T11    46     14.5012  8.4767   21.2145  22.0  9.3075   11.7595  3.9833   48.0    88.0     82.0   43.4352  -      -        -        -        -      -      -            34.7459          38.5759          87.4936            8              500
T12    50     11.443   5.8171   23.6008  32.0  9.4754   19.1021  13.9534  48.0    88.0     82.0   46.0836  2.0    -        -        -        -      -      -            36.266           38.572           70.328             8              82
T13    46     11.2985  11.1685  26.4747  22.0  9.6223   13.7974  12.1939  48.0    78.0     82.0   47.287   62.0   0.4239   -        -        -      -      -            34.9918          40.5451          77.6032            4              500
T14  48.125   13.6365  26.253   27.2798  28.0  9.6014   20.1245  11.9909  48.0    62.0     78.0   41.1654  38.0   88.9587  13.7513  -        -      -      -            30.0892          36.8374          153.503           10              500
T15  50.0851  11.1375  29.5763  24.7939  24.0  7.5609   20.2017  15.6432  48.0    48.0     82.0   48.271   60.0   90.0657  24.0774  13.7597  -      -      -            34.4362          40.103           148.027            9              500
T16  48.0851  11.0308  24.7447  25.6646  22.0  7.4709   18.6918  15.1801  48.0    48.0     75.0   50.871   56.0   84.2694  16.1292  14.3039  2.0    -      -            34.1737          39.3644          114.678            6              500
T17    48     11.033   25.1993  25.6646  28.0  7.7342   19.4133  13.2399  48.0    52.0     76.0   50.7594  50.0   87.5186  18.1696  13.9823  2.0    41.0   -            35.2746          40.2681          41.1335            4              100
T18    46     10.671   31.1505  27.881   28.0  6.9749   20.2134  11.6934  48.0    66.0     78.0   47.3495  40.0   86.1639  21.9093  12.5962  4.0    100.0  19.5509      35.7869          40.9616          144.681           10              500
T19    48     12.3173  23.7151  24.4278  18.0  10.939   21.103   9.633    40.0    50.0     82.0   45.7869  60.0   76.3638  19.5525  13.8056  4.0    100.0  20.6534      30.6386          39.4353          278.118           15              500
