      T1    T2   T3    T4    T5     T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  -----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    2     6    -     -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.4034           33.4            42.2264            5              82
T2    2     76   58.0  -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          7.2269            21.48           227.423           15              500
T3    0     76   84.0  4.0   -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          18.7227           30.6            159.016           11              500
T4    0     70   82.0  48.0  20.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.8319           30.72           55.9076            4              500
T5    0     74   82.0  48.0  100.0  14.0  -     -     -     -      -      -      -      -      -      -      -      -      -          22.8571           30.88           155.788           10              500
T6    0     70   82.0  48.0  100.0  32.0  0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.521            31.2            71.1923            4              500
T7    0     68   82.0  48.0  100.0  32.0  0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          21.4454           30.72           190.941           10              500
T8    0     42   78.0  24.0  98.0   34.0  0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          19.5966           28.32           164.283           13              500
T9    0     48   82.0  8.0   100.0  34.0  0.0   0.0   0.0   0.0    -      -      -      -      -      -      -      -      -          21.1429           27.68           85.0249            6              500
T10   0     48   82.0  6.0   100.0  32.0  0.0   0.0   0.0   0.0    40.0   -      -      -      -      -      -      -      -          20.9412           27.84           40.1673            4              58
T11   0     44   82.0  42.0  100.0  36.0  0.0   0.0   0.0   0.0    44.0   0.0    -      -      -      -      -      -      -            24              30.68           101.873            6              500
T12   0     40   82.0  34.0  100.0  38.0  0.0   0.0   0.0   0.0    44.0   0.0    2.0    -      -      -      -      -      -          23.1933           29.36           105.304           10              78
T13   0     42   82.0  38.0  100.0  34.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    36.0   -      -      -      -      -            24              29.92           54.9656            4              100
T14   0     34   40.0  26.0  100.0  38.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    -      -      -      -          24.2353           31.84           66.818             4              500
T15   2     42   40.0  22.0  98.0   38.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    0.0    -      -      -          23.9664           31.56           68.2469            5              500
T16   2     36   42.0  0.0   96.0   36.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    0.0    0.0    -      -          24.3361           31.36           75.2358            6              500
T17   2     56   80.0  2.0   100.0  30.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    62.0   0.0    0.0    18.0   20.0   -          22.2521           31.12           136.894            7              500
T18   2     44   24.0  10.0  90.0   22.0  0.0   0.0   0.0   0.0    50.0   0.0    0.0    6.0    0.0    0.0    18.0   92.0   6.0        22.7899           28.16           268.409           13              500
T19   0     44   24.0  0.0   66.0   32.0  0.0   0.0   0.0   0.0    56.0   0.0    0.0    22.0   0.0    0.0    12.0   92.0   0.0        22.7227           28.92           149.964           11              500
