       T1       T2     T3       T4       T5       T6    T7       T8       T9       T10     T11    T12      T13    T14    T15      T16      T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ----  -------  -------  -------  ------  -----  -------  -----  -----  -------  -------  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1   37.9217  14.3001  -        -        -        -     -        -        -        -       -      -        -      -      -        -        -        -      -            36.7355          43.3217          42.2264            5              82
T2   37.5658  93.2163  58.0541  -        -        -     -        -        -        -       -      -        -      -      -        -        -        -      -            20.0173          30.7839          227.423           15              500
T3   39.5416  90.6034  84.0     9.4095   -        -     -        -        -        -       -      -        -      -      -        -        -        -      -            31.6629          40.1719          159.016           11              500
T4   35.1232  85.1289  82.0     48.0     41.3333  -     -        -        -        -       -      -        -      -      -        -        -        -      -            36.5101          41.0036          55.9076            4              500
T5   37.6711  87.8306  82.0     48.0     100.0    14.0  -        -        -        -       -      -        -      -      -        -        -        -      -            35.3335          40.9266          155.788           10              500
T6   40.1216  85.9335  82.0     48.0     100.0    32.0  10.7743  -        -        -       -      -        -      -      -        -        -        -      -            34.848            41.09           71.1923            4              500
T7   36.2138  87.7114  82.0     48.0     100.0    32.0  12.6465  8.451    -        -       -      -        -      -      -        -        -        -      -            34.1415          40.743           190.941           10              500
T8   37.7686  69.2053  78.0     24.0     98.0     34.0  12.4733  18.2259  9.8673   -       -      -        -      -      -        -        -        -      -            32.6047          38.3957          164.283           13              500
T9   36.8006  72.2529  82.0     17.94    100.0    34.0  14.3101  18.9803  20.6784  6.2598  -      -        -      -      -        -        -        -      -            34.1992          38.026           85.0249            6              500
T10  36.4336  74.551   82.0     17.1147  100.0    32.0  14.3121  18.4469  20.5045  6.3398  40.57  -        -      -      -        -        -        -      -            33.7904          38.1452          40.1673            4              58
T11  38.7292  60.4849  82.0     43.9048  100.0    36.0  13.5418  18.784   20.9918  6.2986  44.0   10.9166  -      -      -        -        -        -      -            36.1653          40.9292          101.873            6              500
T12  35.3713  65.7531  82.0     35.3333  100.0    38.0  10.3774  16.723   21.0699  6.2188  44.0   13.7349  2.0    -      -        -        -        -      -            35.2813          39.3609          105.304           10              78
T13  37.1257  63.9585  82.0     40.5714  100.0    34.0  10.5767  17.6871  21.6559  6.3788  46.0   13.2672  2.0    36.0   -        -        -        -      -             36.14           39.8333          54.9656            4              100
T14  38.1826  48.3821  40.0     26.0     100.0    38.0  11.6394  17.5589  21.274   6.3233  46.0   13.1303  0.0    62.0   24.3085  -        -        -      -            35.672           41.7793          66.818             4              500
T15  42.2509  55.4137  40.0     22.0     98.0     38.0  11.6035  16.2474  20.3683  6.1072  46.0   12.4466  0.0    62.0   25.5952  8.9135   -        -      -            35.6916          41.718           68.2469            5              500
T16  43.3276  70.3248  42.0     7.4651   96.0     36.0  11.7917  16.9464  21.8594  6.4361  46.0   11.9849  0.0    62.0   24.7417  14.2432  15.0121  -      -            36.9026          41.3431          75.2358            6              500
T17  42.5469  81.821   80.0     4.0      100.0    30.0  12.87    19.5925  15.4359  9.3312  46.0   9.1361   2.0    62.0   28.6029  15.955   24.9633  20.0   -            35.2165          41.1478          136.894            7              500
T18  42.9924  71.1142  24.0     10.0     90.0     22.0  14.1466  23.7057  17.2574  8.2243  50.0   10.6721  0.0    6.0    29.3745  12.9467  25.0204  92.0   16.4588      35.5328          38.3059          268.409           13              500
T19  39.4314  75.7694  24.0     0.5714   66.0     32.0  12.4337  21.5195  20.1367  7.9759  56.0   11.7018  0.0    22.0   26.5962  15.1071  22.4367  92.0   30.5121      35.152           39.1202          149.964           11              500
