      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50    0    -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          5.9496            4.72            106.048            8              500
T2    48    14   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          4.5714            6.84            80.4124            7              500
T3    48    12   0.0   0.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          9.8151            12.12           29.9159            5              500
T4    48    14   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          11.5294           13.2            51.971             7              500
T5    48    14   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          14.0168           15.72           50.8199            5              500
T6    48    20   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          11.5966           10.92           86.8697           15              58
T7    48    14   0.0   2.0   0.0   0.0   28.0  0.0   -     -      -      -      -      -      -      -      -      -      -          11.7311           9.92            80.4004            6              500
T8    48    14   0.0   2.0   0.0   0.0   24.0  48.0  0.0   -      -      -      -      -      -      -      -      -      -          13.479            14.32           30.3072            4              500
T9    48    16   0.0   2.0   0.0   0.0   24.0  48.0  78.0  0.0    -      -      -      -      -      -      -      -      -           4.437            6.56            104.211           12              500
T10   48    24   0.0   0.0   0.0   0.0   16.0  40.0  62.0  0.0    0.0    -      -      -      -      -      -      -      -          5.8487             8.4            96.8117           13              500
T11   48    24   0.0   2.0   0.0   0.0   12.0  48.0  38.0  0.0    88.0   0.0    -      -      -      -      -      -      -          13.5798           17.2            208.997           15              500
T12   48    24   0.0   0.0   0.0   0.0   16.0  48.0  62.0  2.0    90.0   0.0    0.0    -      -      -      -      -      -          11.5294           14.96           83.7981           15              78
T13   50    24   0.0   0.0   0.0   0.0   4.0   48.0  50.0  0.0    88.0   0.0    0.0    0.0    -      -      -      -      -          10.958            13.4            81.9085            7              500
T14   44    18   0.0   2.0   0.0   0.0   8.0   34.0  20.0  0.0    82.0   0.0    0.0    62.0   0.0    -      -      -      -          11.0588           12.92           86.6945            6              500
T15   44    18   0.0   2.0   0.0   0.0   6.0   48.0  28.0  0.0    82.0   0.0    0.0    56.0   2.0    0.0    -      -      -          10.8908           12.16           72.3425           12              82
T16   50    10   0.0   2.0   0.0   0.0   6.0   48.0  26.0  0.0    82.0   0.0    0.0    52.0   2.0    0.0    0.0    -      -          12.0336           14.2            25.4894            4              100
T17   44    20   0.0   2.0   0.0   0.0   2.0   48.0  38.0  0.0    64.0   0.0    0.0    62.0   2.0    0.0    0.0    24.0   -          9.8824            12.68           53.336             7              500
T18   20    0    0.0   2.0   0.0   0.0   4.0   48.0  20.0  0.0    80.0   0.0    0.0    38.0   2.0    0.0    4.0    80.0   0.0        8.9412            11.52           100.397           11              500
T19   14    2    0.0   0.0   0.0   0.0   10.0  14.0  24.0  0.0    58.0   0.0    0.0    44.0   2.0    0.0    0.0    64.0   98.0       8.3361             12             167.902           15              500
