      T1     T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50      0     -        -        -        -        -        -        -        -        -      -        -        -      -        -      -        -      -          7.9961           7.0055           106.048            8              500
T2    48     14     1.4048   -        -        -        -        -        -        -        -      -        -        -      -        -      -        -      -          5.4439           8.6152           80.4124            7              500
T3    48     12     28.4493  10.7969  -        -        -        -        -        -        -      -        -        -      -        -      -        -      -          12.7762          15.4021          29.9159            5              500
T4    48     14     28.0262  29.0267  9.894    -        -        -        -        -        -      -        -        -      -        -      -        -      -          14.8013          17.0059          51.971             7              500
T5    48     14     26.1311  29.2262  20.4902  0.2857   -        -        -        -        -      -        -        -      -        -      -        -      -          18.5778          19.2664          50.8199            5              500
T6    48     20     26.3754  24.7845  18.0749  10.5975  9.2849   -        -        -        -      -        -        -      -        -      -        -      -          17.823           15.7812          86.8697           15              58
T7    48     14     21.7867  15.1986  12.8621  4.7009   36.025   4.1586   -        -        -      -        -        -      -        -      -        -      -          20.0017          17.0946          80.4004            6              500
T8    48     14     22.9948  5.3323   12.6448  4.7385   33.7428  48.0     4.801    -        -      -        -        -      -        -      -        -      -          20.1004          19.8166          30.3072            4              500
T9    48     16     21.3573  5.3323   6.4857   10.2473  30.0903  48.0     93.8873  15.2308  -      -        -        -      -        -      -        -      -          15.7398          15.158           104.211           12              500
T10   48     24     20.7906  13.5804  10.2532  7.5234   27.9853  42.9657  79.3417  24.8772  2.0    -        -        -      -        -      -        -      -          15.3826          15.1554          96.8117           13              500
T11   48     24     24.0846  7.2026   0.0      6.5901   22.7333  48.0     58.7069  13.9657  88.0   2.062    -        -      -        -      -        -      -          18.8949          21.2331          208.997           15              500
T12   48     24     24.702   12.6031  9.0253   9.7744   26.8426  48.0     75.5738  21.425   90.0   11.8285  12.5462  -      -        -      -        -      -          19.3959          20.748           83.7981           15              78
T13   50     24     26.0823  12.4643  7.7884   9.8416   24.3403  48.0     72.4258  14.4277  88.0   12.6044  15.4384  0.0    -        -      -        -      -          19.577           20.2236          81.9085            7              500
T14   44     18     24.9909  7.0342   0.2105   5.3275   19.2508  34.0     32.2086  6.6536   82.0   11.9388  14.1903  62.0   18.3936  -      -        -      -          16.866           17.1378          86.6945            6              500
T15   44     18     22.7398  10.4469  0.2105   8.2211   27.1713  48.0     51.0677  15.7561  82.0   12.6982  13.0923  56.0   43.9467  0.0    -        -      -          19.8065          18.3618          72.3425           12              82
T16   50   10.2353  22.947   9.2352   0.0      8.1451   23.8676  48.0     43.8043  13.9993  82.0   11.9475  14.4165  52.0   42.507   0.0    12.1191  -      -          19.9026          19.8358          25.4894            4              100
T17   44   20.7636  16.1317  9.1429   8.8362   10.2347  18.9139  48.0     61.9043  15.9863  64.0   9.4338   12.0392  62.0   49.3963  0.0    14.5577  24.0   -          18.8266          19.2525          53.336             7              500
T18   20   1.2601   26.9468  7.0833   0.0      5.6296   16.887   48.0     32.7291  9.7416   80.0   8.8909   8.4472   38.0   50.7678  0.0    13.5838  80.0   20.0       14.6926          16.3068          100.397           11              500
T19   14    3.357   28.946   14.4695  3.8974   6.595    30.3136  14.0     53.73    4.8944   58.0   7.6417   12.3301  44.0   49.7182  0.0    19.7794  68.0   98.0       15.562           16.9609          167.902           15              500
