      T1     T2     T3       T4       T5       T6       T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18      T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -------  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    52      0     -        -        -        -        -        -        -        -        -      -        -        -      -        -      -        -        -          7.0448           8.1053           82.0333            6              500
T2    46     14     0.3333   -        -        -        -        -        -        -        -      -        -        -      -        -      -        -        -          5.3162           7.7453           56.1095            4              500
T3    48      6     27.1962  14.5308  -        -        -        -        -        -        -      -        -        -      -        -      -        -        -          12.6083          16.1476          108.833           14              500
T4    48   10.8081  28.0814  28.4219  8.9616   -        -        -        -        -        -      -        -        -      -        -      -        -        -          17.0477          17.711           66.4177            7              500
T5    48     14     28.4401  29.6209  19.2092  4.2646   -        -        -        -        -      -        -        -      -        -      -        -        -          19.6861          20.6319          52.164             4              500
T6    48   9.1955   27.7238  25.2019  18.9226  11.051   15.5223  -        -        -        -      -        -        -      -        -      -        -        -          18.1069          14.1782          97.9892           15              58
T7    48   7.1621   27.1583  5.3323   10.8162  4.3931   33.1453  4.589    -        -        -      -        -        -      -        -      -        -        -          19.9636          17.7378          89.1101            6              500
T8    48     14     27.9821  5.3323   10.0905  3.7122   32.5484  48.0     5.7971   -        -      -        -        -      -        -      -        -        -          20.7061          22.0363          40.0097            4              500
T9    48   2.0821   23.7087  5.3323   10.2299  9.1274   29.7546  48.0     93.7587  18.0731  -      -        -        -      -        -      -        -        -          17.7335          15.739           140.742           14              500
T10   48   8.7667   28.2469  13.5078  9.2059   8.2796   30.142   44.5051  85.9982  24.9538  5.7    -        -        -      -        -      -        -        -          15.0668          15.2452          93.9165           12              500
T11   48     26     27.0769  5.502    0.0      6.9079   24.0817  48.0     59.2337  21.9677  88.0   10.0823  -        -      -        -      -        -        -          19.3185          20.9334          219.019           15              500
T12   48     26     26.4723  6.3959   0.0      7.6241   26.954   48.0     65.04    22.6902  90.0   9.9977   14.2354  -      -        -      -        -        -          20.0693          21.2113          30.9783            4              78
T13   48   3.0159   27.9084  15.1129  7.6523   8.9281   21.1782  48.0     76.1172  16.2546  90.0   10.6943  15.5075  0.0    -        -      -        -        -          20.0771          20.1437          94.5282            7              500
T14   40    0.75    28.9439  5.3323   0.2105   2.1366   17.4835  6.0      13.3691  0.25     34.0   6.6297   13.1552  62.0   17.0287  -      -        -        -          14.6037          14.9386          146.786           10              500
T15   34   1.3914   29.3505  7.0157   0.8538   8.2091   25.5232  30.0     39.5647  14.9247  32.0   9.9186   14.3645  58.0   47.5776  0.0    -        -        -          18.8336          16.4424          93.2073           12              82
T16   42   0.9167   30.112   7.2227   0.2105   5.5036   21.7308  48.0     31.4426  9.7125   40.0   9.6852   13.6212  50.0   46.7712  0.0    13.6078  -        -          19.3439          18.7274          32.7364            4              100
T17   42   0.2105   21.8644  7.3371   9.6383   10.1279  20.0435  48.0     46.4264  15.596   26.0   8.2756   10.1046  58.0   52.0835  0.0    15.4617  24.0     -          18.165           16.3088          79.7783            9              500
T18   44   1.2485   22.9952  5.3323   0.0      8.1648   15.0861  48.0     25.945   12.5241  32.0   7.985    13.3016  38.0   52.719   0.0    15.472   76.0     0.0        18.7012          19.4578          34.6221            4              500
T19   42   2.1602   28.4775  13.5734  6.454    8.0636   27.3507  42.0     53.0577  9.512    68.0   5.5163   11.7155  44.0   52.8321  0.0    19.0182  79.3333  96.0       18.1027          18.1108          128.941           12              500
