      T1     T2     T3       T4       T5       T6      T7       T8       T9       T10      T11    T12      T13      T14    T15      T16    T17      T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  ------  -------  -------  -------  -------  -----  -------  -------  -----  -------  -----  -------  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    50      0     -        -        -        -       -        -        -        -        -      -        -        -      -        -      -        -      -          7.9292           6.9975           106.048            8              500
T2    48     14     1.4048   -        -        -       -        -        -        -        -      -        -        -      -        -      -        -      -          5.4439           8.6152           80.4124            7              500
T3    48     12     26.8801  10.7969  -        -       -        -        -        -        -      -        -        -      -        -      -        -      -          12.6585          15.3832          29.9159            5              500
T4    48     14     27.2429  28.1496  9.3579   -       -        -        -        -        -      -        -        -      -        -      -        -      -          14.7495          17.0023          51.971             7              500
T5    48     14     25.6144  28.4505  19.3981  0.2857  -        -        -        -        -      -        -        -      -        -      -        -      -          18.4339          19.225           50.8199            5              500
T6    48     20     25.2764  23.9988  16.9639  9.9971  8.9568   -        -        -        -      -        -        -      -        -      -        -      -          17.4594          15.6491          86.8697           15              58
T7    48     14     20.3422  14.9562  11.0646  4.5687  35.7099  4.1586   -        -        -      -        -        -      -        -      -        -      -          19.3345          16.8513          80.4004            6              500
T8    48     14     21.3282  5.3323   10.5987  4.0961  33.4276  48.0     4.2312   -        -      -        -        -      -        -      -        -      -          19.5596          19.6722          30.3072            4              500
T9    48     16     19.6271  5.3323   6.0194   8.4225  29.7736  48.0     93.8873  11.8461  -      -        -        -      -        -      -        -      -          14.6791          14.558           104.211           12              500
T10   48     24     19.1239  12.2659  8.7479   6.6314  27.5018  42.9657  78.7609  23.7557  2.0    -        -        -      -        -      -        -      -          14.6935          14.8457          96.8117           13              500
T11   48     24     22.5038  7.036    0.0      6.2233  22.3999  48.0     58.7069  12.7223  88.0   1.7763   -        -      -        -      -        -      -          18.8005          21.1535          208.997           15              500
T12   48     24     23.2058  11.1432  8.741    8.5575  26.342   48.0     75.3062  19.1651  90.0   10.4259  11.9878  -      -        -      -        -      -          18.9165          20.4552          83.7981           15              78
T13   50     24     24.9748  11.6345  7.5169   9.0121  22.9726  48.0     72.0793  12.4347  88.0   11.1246  15.2717  0.0    -        -      -        -      -          19.0115          19.7684          81.9085            7              500
T14   44     18     23.8834  6.8676   0.2105   5.1107  18.5414  34.0     32.0184  6.2218   82.0   10.44    13.9798  62.0   17.9331  -      -        -      -          16.6211          17.0023          86.6945            6              500
T15   44     18     20.6627  9.6474   0.2105   7.3433  25.7286  48.0     50.49    13.5867  82.0   10.828   12.9018  56.0   41.7351  0.0    -        -      -          19.2538          18.0712          72.3425           12              82
T16   50   10.2353  21.439   8.5468   0.0      7.1374  22.4248  48.0     43.4567  12.1115  82.0   10.2644  13.8337  52.0   39.5476  0.0    11.1954  -      -          19.4581          19.5779          25.4894            4              100
T17   44   20.7636  14.4775  8.4308   7.6183   8.8478  18.0539  48.0     61.0147  14.2146  64.0   8.0433   11.8792  62.0   48.5019  0.0    13.5006  24.0   -          18.1887          18.8093          53.336             7              500
T18   20   1.2601   24.6726  6.9167   0.0      5.0459  16.687   48.0     32.4624  8.932    80.0   7.6635   8.2567   38.0   50.1935  0.0    13.1353  80.0   20.0       14.4678          16.1029          100.397           11              500
T19   14    3.357   27.1066  13.6397  3.8974   6.1705  29.9314  14.0     53.542   4.4278   58.0   6.4175   11.6414  44.0   48.3179  0.0    18.3309  68.0   98.0       15.2278          16.7887          167.902           15              500
