      T1     T2     T3       T4       T5       T6      T7       T8       T9       T10      T11    T12     T13      T14    T15      T16    T17      T18      T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  ------  -------  -------  -------  -------  -----  ------  -------  -----  -------  -----  -------  -------  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    52      0     -        -        -        -       -        -        -        -        -      -       -        -      -        -      -        -        -           6.93            8.0971           82.0333            6              500
T2    46     14     0.3333   -        -        -       -        -        -        -        -      -       -        -      -        -      -        -        -          5.2943           7.7453           56.1095            4              500
T3    48      6     26.2946  13.7226  -        -       -        -        -        -        -      -       -        -      -        -      -        -        -          12.3389          16.0668          108.833           14              500
T4    48   10.8081  27.271   27.6452  8.8366   -       -        -        -        -        -      -       -        -      -        -      -        -        -          16.8863          17.6543          66.4177            7              500
T5    48     14     27.5614  28.988   17.9958  3.7883  -        -        -        -        -      -       -        -      -        -      -        -        -          19.3166          20.5431          52.164             4              500
T6    48   9.1955   26.6663  24.3613  17.6817  9.7883  14.3613  -        -        -        -      -       -        -      -        -      -        -        -          17.623           13.9994          97.9892           15              58
T7    48   7.1621   25.8856  5.3323   8.9442   4.2264  33.012   4.589    -        -        -      -       -        -      -        -      -        -        -          19.1925          17.3848          89.1101            6              500
T8    48     14     27.0872  5.3323   8.3823   3.7122  32.415   48.0     5.596    -        -      -       -        -      -        -      -        -        -          20.131           21.853           40.0097            4              500
T9    48   2.0821   22.5915  5.3323   9.689    7.9449  29.4557  48.0     93.7587  16.0704  -      -       -        -      -        -      -        -        -          16.563           15.1619          140.742           14              500
T10   48   8.7667   26.5439  12.0115  8.3094   7.0683  29.8253  44.5051  85.838   23.8626  5.7    -       -        -      -        -      -        -        -          14.3885          14.7576          93.9165           12              500
T11   48     26     26.1819  5.502    0.0      6.2364  24.0817  48.0     59.1911  21.0677  88.0   8.996   -        -      -        -      -        -        -          19.2069          20.8285          219.019           15              500
T12   48     26     25.5774  6.2292   0.0      6.9526  26.4206  48.0     64.9975  21.5408  90.0   8.9114  13.4749  -      -        -      -        -        -          19.9201          21.0596          30.9783            4              78
T13   48   3.0159   26.7571  14.125   7.3808   7.7178  19.8105  48.0     75.8278  14.5556  90.0   9.2475  15.3408  0.0    -        -      -        -        -          19.5388          19.8233          94.5282            7              500
T14   40    0.75    27.769   5.3323   0.2105   2.0658  16.0808  6.0      13.3691  0.25     34.0   6.3215  13.1552  62.0   15.8008  -      -        -        -          14.4463          14.8545          146.786           10              500
T15   34   1.3914   27.9672  7.0157   0.8538   7.4281  24.0799  30.0     38.7043  14.2159  32.0   8.792   14.1979  58.0   45.7926  0.0    -        -        -          18.2784          16.1203          93.2073           12              82
T16   42   0.9167   29.1288  7.0561   0.2105   5.1509  20.2863  48.0     30.9481  9.5307   40.0   8.5063  13.6212  50.0   44.7362  0.0    12.5873  -        -          18.9219          18.4493          32.7364            4              100
T17   42   0.2105   20.5521  6.8133   8.6758   8.306   18.7786  48.0     45.6249  13.7595  26.0   7.1751  10.1046  58.0   50.6998  0.0    14.0749  24.0     -          17.4757          15.8049          79.7783            9              500
T18   44   1.2485   20.9475  5.3323   0.0      6.6587  14.555   48.0     25.945   11.6122  32.0   6.8178  13.0793  38.0   51.1753  0.0    14.0852  76.0     0.0        18.2294          19.1489          34.6221            4              500
T19   42   2.1602   27.4228  12.6146  6.454    7.2451  26.7685  42.0     52.6844  9.0993   68.0   5.0587  10.9543  44.0   51.0902  0.0    18.2289  79.3333  96.0       17.7344           17.81           128.941           12              500
