      T1     T2     T3       T4       T5       T6       T7       T8       T9       T10      T11      T12      T13    T14      T15      T16      T17     T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -------  ------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    52   0.3636   -        -        -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            7.5422           6.6631           114.325            8              500
T2    48   14.0639  4.0178   -        -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            10.3662          11.6447          52.3146            6              500
T3    48   15.6449  31.4526  27.0469  -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            15.3522          13.8573          120.602           13              500
T4    48    8.871   32.1155  29.3124  0.4353   -        -        -        -        -        -        -        -      -        -        -        -       -      -            16.4647          16.6298          46.2645            5              500
T5    48   8.7903   32.3705  30.215   14.0     0.0      -        -        -        -        -        -        -      -        -        -        -       -      -            19.4203          21.3807          54.1041            4              500
T6    48   8.7918   31.0746  29.52    16.0     11.128   9.7994   -        -        -        -        -        -      -        -        -        -       -      -            18.4264          17.0591          106.79            15              58
T7    48   12.4474  18.6894  16.7194  14.0     6.6859   22.671   10.3951  -        -        -        -        -      -        -        -        -       -      -            20.8603          16.6812          129.977           15              500
T8    48   11.8798  15.5386  14.0341  32.0     7.1445   24.9999  12.4904  1.2303   -        -        -        -      -        -        -        -       -      -            18.1825          11.9839           87.77            13              78
T9    48   17.8249  8.7257   17.0351  16.0     6.7623   20.8962  11.2414  48.0     1.1111   -        -        -      -        -        -        -       -      -            21.4423          20.0375          35.4468            4              500
T10   48      4     5.3323   30.1447  32.0     5.7583   14.3552  11.1639  48.0     90.0     32.0     -        -      -        -        -        -       -      -            18.9218          21.0168          220.984           15              500
T11   48      4     5.3323   16.7629  0.0      2.4695   0.0      0.697    48.0     90.0     84.0     6.9308   -      -        -        -        -       -      -            17.9158          19.3202          112.721           10              500
T12   48     5.6    5.3323   17.4908  22.0     3.0949   15.5175  6.7271   48.0     90.0     82.0     48.2544  2.0    -        -        -        -       -      -            20.2435          21.4039          67.0576           12              82
T13   42      4     5.3323   14.3512  0.0      0.6026   0.25     0.3333   38.0     28.0     84.0     50.5295  64.0   0.25     -        -        -       -      -            12.4733          12.3729          134.891            8              500
T14   48   9.7351   5.3323   20.6116  18.5477  8.1546   17.3602  8.4319   44.6667  55.3     78.0     41.9045  38.0   90.9261  10.2364  -        -       -      -            18.9307          17.4036          138.445           15              500
T15   48   10.2904  5.3323   23.7999  34.0     10.7311  19.1292  12.0251  46.0     47.7619  76.7892  31.9079  42.0   93.3347  23.733   13.5286  -       -      -            18.8546          16.3332          179.761           15              500
T16   48   12.1162  5.9064   21.7315  40.0     10.5973  19.8067  11.0159  46.0     46.7302  82.0     34.1138  38.0   88.6412  22.6368  14.3636  0.0     -      -            20.025           16.8381          96.7425            7              500
T17   48   12.606   5.3323   22.5088  36.0     9.91     20.1249  10.6052  48.0     58.5714  79.6667  35.8718  38.0   85.7908  25.0719  14.4086  0.0     3.6    -            21.5445          19.401           33.0895            4              100
T18   42   16.3833  15.851   24.7445  14.4     6.7466   9.2063   4.0018   24.0     58.0     47.3333  37.2908  52.0   73.5394  7.9389   14.3729  2.0     98.0   22.2875      17.1011          15.1253          180.084           15              500
T19   46   12.5521  17.1696  19.7017  18.0     11.2996  17.9451  7.8254   42.6667  61.0     30.7474  42.774   40.9   74.5057  6.2515   14.5833  2.2667  98.8   39.5102      17.4067          12.3154          148.352            9              500
