      T1     T2     T3       T4       T5       T6       T7       T8       T9       T10      T11      T12      T13    T14      T15      T16      T17     T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -------  -----  -------  -------  -------  ------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1    52   0.3636   -        -        -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            7.4831           6.6551           114.325            8              500
T2    48   13.3972  3.7328   -        -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            10.1072          11.5292          52.3146            6              500
T3    48   15.4968  30.9526  26.5666  -        -        -        -        -        -        -        -        -      -        -        -        -       -      -            15.2383          13.843           120.602           13              500
T4    48   8.4962   31.5074  27.8625  0.4353   -        -        -        -        -        -        -        -      -        -        -        -       -      -            16.131           16.532           46.2645            5              500
T5    48   8.4155   31.8705  29.0201  14.0     0.0      -        -        -        -        -        -        -      -        -        -        -       -      -            19.3337          21.3446          54.1041            4              500
T6    48   8.2217   30.4665  27.8796  16.0     10.1645  8.974    -        -        -        -        -        -      -        -        -        -       -      -            18.046           16.8994          106.79            15              58
T7    48   11.0328  17.5821  14.862   14.0     5.5953   21.2377  9.5446   -        -        -        -        -      -        -        -        -       -      -            20.3057          16.3207          129.977           15              500
T8    48   10.4318  14.3303  12.6038  32.0     5.8517   23.318   10.1769  1.2303   -        -        -        -      -        -        -        -       -      -            17.5638          11.5869           87.77            13              78
T9    48   15.878   8.5591   15.008   16.0     5.9407   19.7857  9.6726   48.0     1.1111   -        -        -      -        -        -        -       -      -            21.1158          19.8127          35.4468            4              500
T10   48      4     5.3323   28.8928  32.0     5.3521   12.8033  10.2247  48.0     90.0     32.0     -        -      -        -        -        -       -      -            18.8856          21.0093          220.984           15              500
T11   48      4     5.3323   16.2629  0.0      2.4695   0.0      0.697    48.0     90.0     84.0     6.9308   -      -        -        -        -       -      -            17.8864          19.3154          112.721           10              500
T12   48     4.8    5.3323   16.2051  22.0     2.7973   14.3656  6.0786   48.0     90.0     82.0     46.7633  2.0    -        -        -        -       -      -            19.8716          21.1705          67.0576           12              82
T13   42      4     5.3323   13.0655  0.0      0.6026   0.25     0.3333   38.0     28.0     84.0     48.7716  64.0   0.25     -        -        -       -      -            12.3583          12.308           134.891            8              500
T14   48   9.1492   5.3323   18.6593  18.5477  7.031    15.0114  7.3348   44.6667  55.3     78.0     40.4073  38.0   90.8835  9.5993   -        -       -      -            17.8313          16.8516          138.445           15              500
T15   48   9.9874   5.3323   22.5264  34.0     8.7956   17.1247  10.5897  46.0     47.7619  76.7892  30.9335  42.0   93.3347  23.2444  12.6465  -       -      -            17.9079          15.8564          179.761           15              500
T16   48   11.9423  5.9064   19.7791  40.0     9.7901   17.7977  9.3483   46.0     46.7302  82.0     33.3839  38.0   88.6412  21.8134  14.3636  0.0     -      -            19.0671          16.2474          96.7425            7              500
T17   48   12.2424  5.3323   20.5565  36.0     8.83     18.1158  9.2562   48.0     58.5714  79.6667  34.8342  38.0   85.7908  24.2059  14.1981  0.0     3.6    -            20.7009          18.9019          33.0895            4              100
T18   42   15.3246  15.3292  22.7113  14.4     6.2784   8.7018   3.5443   24.0     58.0     47.3333  35.9421  52.0   73.4218  7.8099   13.7901  2.0     98.0   20.8889      16.558           14.7647          180.084           15              500
T19   46   11.0339  15.8524  17.7494  18.0     8.7036   16.31    6.4944   42.6667  61.0     30.7474  41.3652  40.9   74.3881  5.8915   13.0231  2.2667  98.8   39.3769      16.355           11.7357          148.352            9              500
