      T1    T2   T3    T4    T5     T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  -----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    0     0    -     -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          1.0756              0             32.7586            4              82
T2    4     84   0.0   -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          1.0084            1.08            135.556           13              500
T3    0     74   76.0  0.0   -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          3.3277            6.44            47.8934            4              500
T4    0     58   76.0  48.0  0.0    -     -     -     -     -      -      -      -      -      -      -      -      -      -          4.1008            6.84            32.6662            4              500
T5    0     30   78.0  48.0  94.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          5.2101            8.56            127.636           11              500
T6    0     20   78.0  48.0  96.0   14.0  0.0   -     -     -      -      -      -      -      -      -      -      -      -          8.9076            13.4            48.3005            4              500
T7    4     48   78.0  48.0  100.0  22.0  0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          8.4706            12.56           62.5649            5              500
T8    2     48   74.0  48.0  98.0   26.0  0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          8.7731            12.4            47.8432            5              500
T9    2     54   74.0  48.0  0.0    34.0  0.0   0.0   0.0   0.0    -      -      -      -      -      -      -      -      -          8.0672             12             104.84             9              500
T10   0     42   76.0  48.0  0.0    4.0   0.0   0.0   0.0   0.0    0.0    -      -      -      -      -      -      -      -          7.7647             9.2            122.464           15              58
T11   0     22   80.0  48.0  82.0   16.0  0.0   0.0   0.0   0.0    54.0   0.0    -      -      -      -      -      -      -          12.8739           15.04           70.2158            5              500
T12   0     20   78.0  48.0  0.0    22.0  0.0   0.0   0.0   0.0    48.0   0.0    0.0    -      -      -      -      -      -          13.2437           14.12           92.1324           15              78
T13   0     24   80.0  48.0  82.0   16.0  0.0   0.0   0.0   0.0    52.0   0.0    0.0    34.0   -      -      -      -      -          14.2521           15.32           26.4032            4              100
T14   0     6    24.0  48.0  64.0   18.0  0.0   0.0   0.0   0.0    54.0   0.0    0.0    62.0   0.0    -      -      -      -          11.9664           16.16           55.8821            4              500
T15   0     20   24.0  48.0  60.0   10.0  0.0   0.0   0.0   0.0    60.0   0.0    0.0    62.0   0.0    0.0    -      -      -          12.2017           14.96           73.3361            9              500
T16   0     28   24.0  48.0  4.0    2.0   0.0   0.0   0.0   0.0    58.0   0.0    0.0    64.0   0.0    0.0    0.0    -      -          9.1765            11.12           47.8088            7              500
T17   4     42   80.0  38.0  94.0   14.0  0.0   0.0   0.0   0.0    68.0   0.0    0.0    40.0   0.0    0.0    36.0   0.0    -          8.4034            10.68           161.224           11              500
T18   0     34   24.0  48.0  90.0   14.0  0.0   0.0   0.0   0.0    58.0   0.0    0.0    4.0    0.0    0.0    24.0   80.0   0.0        10.6555           16.8            172.603           12              500
T19   0     30   24.0  34.0  60.0   14.0  0.0   0.0   0.0   0.0    64.0   0.0    0.0    56.0   0.0    0.0    22.0   84.0   0.0        13.6471           16.08           61.4516            7              500
