       T1       T2     T3       T4       T5      T6      T7       T8       T9       T10      T11     T12      T13     T14    T15      T16      T17      T18     T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  ------  ------  -------  -------  -------  -------  ------  -------  ------  -----  -------  -------  -------  ------  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1      0     11.1618  -        -        -       -       -        -        -        -        -       -        -       -      -        -        -        -       -            4.7726            3.109           32.7586            4              82
T2   37.7452  95.068   2.2532   -        -       -       -        -        -        -        -       -        -       -      -        -        -        -       -            9.1471           8.1173           135.556           13              500
T3   9.3063   88.1233  76.0     1.3483   -       -       -        -        -        -        -       -        -       -      -        -        -        -       -            8.7463           12.2977          47.8934            4              500
T4   1.8056   76.9799  76.0     48.0     0.0     -       -        -        -        -        -       -        -       -      -        -        -        -       -             8.875           11.4184          32.6662            4              500
T5   22.0853  67.8413  79.3333  48.0     94.0    1.6333  -        -        -        -        -       -        -       -      -        -        -        -       -            10.994           14.1605          127.636           11              500
T6   29.5563  52.9196  78.0     48.0     96.0    14.0    12.8205  -        -        -        -       -        -       -      -        -        -        -       -            14.2969          18.4883          48.3005            4              500
T7   31.7743  71.0849  78.0     48.0     100.0   22.0    14.4974  8.422    -        -        -       -        -       -      -        -        -        -       -            15.4574          18.3224          62.5649            5              500
T8   23.482   74.3965  76.6667  48.0     98.0    26.0    12.9691  12.4392  4.1549   -        -       -        -       -      -        -        -        -       -            17.1687          18.3783          47.8432            5              500
T9   19.1283  75.7611  76.6667  48.0     1.1611  34.0    13.8186  16.2608  20.8159  9.7067   -       -        -       -      -        -        -        -       -            16.2659          18.2239          104.84             9              500
T10  20.3821  61.9447  78.0     48.0     2.0833  6.532   9.6724   12.1209  21.8516  10.2693  2.3161  -        -       -      -        -        -        -       -            15.9741          15.1555          122.464           15              58
T11  17.6625  40.5968  80.0     48.0     82.0    16.0    15.0842  1.9377   22.4769  8.3171   54.0    1.1918   -       -      -        -        -        -       -             17.15           19.467           70.2158            5              500
T12  18.4068  34.4097  79.3333  48.0     0.2105  22.0    10.5794  11.0417  20.6339  10.2794  48.0    12.2097  0.0     -      -        -        -        -       -            19.4648          19.2281          92.1324           15              78
T13  18.4141  35.5639  80.0     48.0     82.0    16.0    12.5328  13.0934  18.3353  10.2569  52.0    12.1746  0.0     34.0   -        -        -        -       -            19.8908          20.326           26.4032            4              100
T14  12.9718  10.8081  24.0     48.0     64.0    18.0    13.5064  0.5167   8.5956   8.2788   54.0    10.276   0.0     62.0   22.3731  -        -        -       -            15.9004          20.1455          55.8821            4              500
T15  23.0396  43.9637  24.0     48.0     60.0    10.0    10.4451  3.8404   13.2543  9.5346   60.0    9.0025   0.0     62.0   26.809   4.8902   -        -       -            17.7341          20.066           73.3361            9              500
T16  19.0489  48.689   24.0     48.0     4.4444  5.497   12.6176  9.5213   10.2971  9.3572   58.0    9.5875   0.0     64.0   27.4293  20.5475  14.9847  -       -            16.3923          16.9124          47.8088            7              500
T17  37.101   66.1088  80.0     44.6667  94.8    14.0    11.7667  17.9105  12.088   8.0912   68.0    8.3431   0.8381  41.6   22.0379  8.4789   41.0785  0.3333  -            18.4036          17.9673          161.224           11              500
T18  33.0392  49.4233  24.0     48.0     90.0    14.0    13.3977  14.9319  3.6535   6.4369   58.0    7.8767   0.0     4.0    26.5682  9.4547   32.1302  80.0    10.5885      17.3094          22.3605          172.603           12              500
T19  3.1004   45.6216  24.0     34.0     60.0    14.0    13.3803  14.009   2.9209   6.622    64.0    10.542   0.0     56.0   27.7359  11.7021  32.2915  84.0    27.8342      18.232           20.9726          61.4516            7              500
