       T1       T2     T3       T4       T5       T6      T7       T8       T9       T10      T11     T12      T13      T14    T15      T16    T17      T18    T19       official_test    initial_multi    train_runtime    train_epoch    train_samples
---  -------  -------  -------  -------  -------  ------  -------  -------  -------  -------  ------  -------  -------  -----  -------  -----  -------  -----  -------  ---------------  ---------------  ---------------  -------------  ---------------
T1     52       34     -        -        -        -       -        -        -        -        -       -        -        -      -        -      -        -      -            34.7857          42.9841          71.1846            4              500
T2     48       30     26.5333  -        -        -       -        -        -        -        -       -        -        -      -        -      -        -      -            34.9872          42.5951          73.1506            4              500
T3     50       32     27.4314  18.6967  -        -       -        -        -        -        -       -        -        -      -        -      -        -      -            34.9674          42.9017          52.1772            4              500
T4     58       32     24.7767  29.3454  14.0287  -       -        -        -        -        -       -        -        -      -        -      -        -      -            34.5935          42.2866          179.385           11              500
T5     54       32     24.583   25.9491  22.9892  6.7273  -        -        -        -        -       -        -        -      -        -      -        -      -            34.3308          41.7203          146.331            7              500
T6     58       32     23.9149  26.7308  22.9329  7.1534  11.808   -        -        -        -       -        -        -      -        -      -        -      -            33.9766          41.4899          101.181            8              58
T7   60.0606    32     26.3374  28.6796  22.1317  8.496   28.3189  10.6084  -        -        -       -        -        -      -        -      -        -      -            33.1549          41.0747          173.055            7              500
T8     54       32     25.8082  29.1394  22.065   8.7769  28.2039  48.0     30.0178  -        -       -        -        -      -        -      -        -      -            34.7194          42.7603          60.9757            4              500
T9   40.1557    32     26.19    28.9929  13.3132  8.8658  27.349   48.0     94.8289  13.7523  -       -        -        -      -        -      -        -      -            25.6857          34.3786          297.297           15              500
T10    52       32     25.5088  28.4406  14.0167  8.9732  29.2156  48.0     90.4647  14.6995  2.8414  -        -        -      -        -      -        -      -            27.6387          36.5019          48.9433            4              500
T11    44       30     27.3192  29.8759  15.648   6.4614  25.7343  48.0     88.9962  16.2428  92.0    9.862    -        -      -        -      -        -      -             33.49           37.3386          306.123           14              500
T12    48       30     25.4459  26.5466  17.1404  8.9385  31.8824  48.0     80.1553  10.7148  92.0    13.91    12.9407  -      -        -      -        -      -            33.7629          36.7151          72.6598            9              78
T13    58     26.4465  24.2215  23.8752  16.2622  8.0856  20.1602  48.0     70.0545  8.353    90.0    13.6217  13.5583  8.0    -        -      -        -      -            31.4513          37.4788          254.899           13              500
T14    56       32     24.2316  25.2452  16.7584  8.2728  24.6973  48.0     56.8438  11.099   54.0    11.8311  14.4654  62.0   32.9219  -      -        -      -            34.4187          39.917           77.8339            4              500
T15    60       32     24.771   26.8317  16.4569  8.1787  22.3072  48.0     54.6156  11.8935  52.0    12.7692  14.4602  60.0   39.4496  2.0    -        -      -            33.5928          39.9955          49.4143            6              82
T16    50       30     24.1114  27.4765  16.253   7.997   28.6304  48.0     61.2546  11.6464  64.0    12.4088  15.2331  60.0   44.395   0.0    9.6454   -      -            34.9129          40.3955          37.5418            4              100
T17    50       30     25.7097  25.8483  21.607   9.7239  21.1075  10.6825  59.789   10.767   48.0    11.3684  14.8434  62.0   45.1307  0.0    13.1663  38.0   -            35.4472          40.7794          91.0993            7              500
T18    46       32     25.4177  5.3323   12.1126  7.8179  26.2158  48.0     66.9918  9.9283   64.0    12.013   13.5989  40.0   47.302   0.0    12.1755  82.0   42.6667      34.0923          39.6523          115.646            9              500
T19    52       32     25.3187  16.15    19.4245  7.4158  23.5855  48.0     82.7066  11.2079  54.0    11.4195  12.4403  40.0   45.3105  4.0    14.1831  82.0   96.0         33.6848          39.0704          127.481            7              500
