      T1    T2   T3    T4    T5     T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  -----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    0     6    -     -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.2353           33.28           62.1789            6              82
T2    4     76   64.0  -     -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          9.5798            24.28           250.718           15              500
T3    2     74   76.0  14.0  -      -     -     -     -     -      -      -      -      -      -      -      -      -      -          17.1765           28.64           59.0225            4              500
T4    0     76   76.0  48.0  20.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.4622           30.12           62.2307            4              500
T5    2     76   76.0  48.0  100.0  16.0  -     -     -     -      -      -      -      -      -      -      -      -      -          22.3193           30.88           124.424            8              500
T6    2     72   76.0  48.0  100.0  22.0  0.0   -     -     -      -      -      -      -      -      -      -      -      -          22.9244           31.36           136.165            7              500
T7    0     62   76.0  48.0  100.0  28.0  0.0   0.0   -     -      -      -      -      -      -      -      -      -      -          22.6218           30.36           173.699            8              500
T8    2     34   76.0  48.0  100.0  32.0  0.0   0.0   0.0   -      -      -      -      -      -      -      -      -      -          21.2437           28.56           170.757           10              500
T9    2     26   76.0  24.0  94.0   32.0  0.0   0.0   0.0   0.0    -      -      -      -      -      -      -      -      -          21.2773           29.4            132.639            8              500
T10   2     26   76.0  20.0  94.0   32.0  0.0   0.0   0.0   0.0    40.0   -      -      -      -      -      -      -      -          20.9748           29.56           41.977             4              58
T11   2     24   76.0  30.0  90.0   34.0  0.0   0.0   0.0   0.0    44.0   0.0    -      -      -      -      -      -      -          22.958            30.68           77.8573            4              500
T12   2     20   76.0  24.0  82.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    -      -      -      -      -      -          22.3193           30.64           55.8804            6              78
T13   2     22   76.0  20.0  92.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    36.0   -      -      -      -      -          23.6303           30.76           36.3709            4              100
T14   2     14   24.0  48.0  76.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    60.0   0.0    -      -      -      -            24              31.92           78.7644            4              500
T15   2     22   24.0  48.0  82.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    60.0   0.0    2.0    -      -      -          24.0336           31.8            45.8646            4              500
T16   2     10   24.0  6.0   70.0   30.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    62.0   0.0    0.0    0.0    -      -          23.4622           31.36           107.672            8              500
T17   2     44   32.0  14.0  86.0   32.0  0.0   0.0   0.0   0.0    46.0   0.0    2.0    58.0   0.0    0.0    22.0   22.0   -          22.7899           30.8            102.921            5              500
T18   2     40   24.0  8.0   68.0   22.0  0.0   0.0   0.0   0.0    46.0   0.0    0.0    6.0    0.0    0.0    26.0   92.0   8.0        23.1933           28.04           306.97            15              500
T19   2     22   24.0  4.0   60.0   34.0  0.0   0.0   0.0   0.0    60.0   0.0    0.0    6.0    0.0    0.0    16.0   92.0   0.0        23.1597           28.12           148.828           11              500
